Precinct,County,Registered Voters,Beth Soles (I) (Rep)_Election Day Votes,Beth Soles (I) (Rep)_Advanced Voting Votes,Beth Soles (I) (Rep)_Absentee by Mail Votes,Beth Soles (I) (Rep)_Provisional Votes,Beth Soles (I) (Rep)_Choice Total,Total,
Tarboro,Camden,979,252,236,97,0,585,585,
Waverly,Camden,1530,309,518,218,0,1045,1045,
Woodbine,Camden,1973,305,605,196,1,1107,1107,
Browntown,Camden,698,133,222,74,0,429,429,
Harrietts Bluff,Camden,1834,391,674,175,0,1240,1240,
West Kingsland,Camden,2782,350,1068,237,0,1655,1655,
North Kingsland,Camden,2599,263,707,227,0,1197,1197,
Kingsland,Camden,2274,233,653,174,0,1060,1060,
East Kingsland,Camden,6866,634,2458,704,0,3796,3796,
North St Marys,Camden,2095,217,422,139,0,778,778,
St Marys,Camden,3218,443,984,314,0,1741,1741,
South St Marys,Camden,2139,235,793,290,2,1320,1320,
Mush Bluff,Camden,2816,372,1028,299,1,1700,1700,
West St Marys,Camden,3147,256,1386,545,0,2187,2187,
