Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Allgood Elem,DeKalb,2858,209,745,500,3,1457,65,187,131,1,384,1841,
Ashford Park Elem,DeKalb,2432,216,736,410,1,1363,72,284,138,0,494,1857,
Austin,DeKalb,2538,218,827,542,2,1589,69,233,169,1,472,2061,
Avondale,DeKalb,2906,301,877,721,0,1899,125,235,168,1,529,2428,
Austin Drive,DeKalb,2536,165,517,357,10,1049,47,128,101,3,279,1328,
Ashford Dunwoody Rd,DeKalb,2966,186,1034,586,5,1811,72,348,150,1,571,2382,
Ashford Parkside,DeKalb,3664,204,1012,764,5,1985,76,355,207,1,639,2624,
Avondale High,DeKalb,3151,108,986,822,3,1919,54,245,176,1,476,2395,
Boulevard,DeKalb,4675,223,1612,1049,3,2887,66,320,188,0,574,3461,
Briar Vista Elem,DeKalb,2965,181,729,713,1,1624,78,226,194,0,498,2122,
Briarlake Elem,DeKalb,1752,159,501,441,0,1101,50,160,109,0,319,1420,
Briarwood,DeKalb,2428,161,710,390,3,1264,64,242,139,1,446,1710,
Brockett Elem,DeKalb,2752,168,755,528,4,1455,42,242,146,3,433,1888,
Briarcliff,DeKalb,3122,182,723,727,6,1638,69,223,229,1,522,2160,
Brockett,DeKalb,2681,243,708,494,6,1451,75,203,127,1,406,1857,
Brookhaven,DeKalb,3444,271,1126,589,2,1988,109,356,190,0,655,2643,
Browns Mill Elem,DeKalb,3829,250,1207,685,4,2146,66,274,202,2,544,2690,
Bouldercrest Road,DeKalb,2004,138,666,287,2,1093,32,117,76,0,225,1318,
Bethune Middle,DeKalb,4838,294,1131,778,14,2217,54,250,190,5,499,2716,
Burgess Elem,DeKalb,3493,156,1115,749,6,2026,61,268,161,1,491,2517,
Columbia Drive,DeKalb,2526,179,466,384,8,1037,47,123,86,0,256,1293,
Canby Lane Elem,DeKalb,2004,183,428,332,9,952,43,124,107,0,274,1226,
Columbia Elem,DeKalb,1794,113,261,179,4,557,34,69,59,6,168,725,
Cedar Grove Elem,DeKalb,4097,254,1227,621,11,2113,57,273,147,0,477,2590,
Chamblee,DeKalb,2231,160,688,326,1,1175,56,199,127,2,384,1559,
Candler-Murphey Candler Elem,DeKalb,3712,238,1196,526,5,1965,71,274,131,2,478,2443,
Chapel Hill Elem,DeKalb,3349,220,1017,541,6,1784,51,196,159,1,407,2191,
Chesnut Elem,DeKalb,2363,224,718,335,2,1279,45,205,88,0,338,1617,
Clairemont West,DeKalb,3264,136,1039,983,3,2161,42,251,189,1,483,2644,
Clairmont Road,DeKalb,3223,178,776,856,5,1815,61,200,164,1,426,2241,
Clarkston,DeKalb,3878,321,812,372,9,1514,80,176,64,3,323,1837,
Clifton,DeKalb,1731,95,447,260,6,808,31,85,79,0,195,1003,
Columbia Middle,DeKalb,2178,125,500,264,2,891,29,112,70,4,215,1106,
Coan Recreation Center,DeKalb,4230,176,1365,806,1,2348,51,285,159,1,496,2844,
Cross Keys High,DeKalb,2260,163,546,469,4,1182,39,190,116,0,345,1527,
Crossroads,DeKalb,2898,206,718,483,6,1413,37,169,155,1,362,1775,
Candler,DeKalb,3537,204,853,486,11,1554,55,188,114,2,359,1913,
Cedar Grove Middle,DeKalb,1896,108,410,222,5,745,27,89,44,0,160,905,
Cedar Grove South,DeKalb,3962,236,1286,583,6,2111,48,301,165,0,514,2625,
Covington Hwy,DeKalb,995,47,79,48,5,179,9,24,15,1,49,228,
Covington,DeKalb,2376,127,589,304,3,1023,30,141,78,2,251,1274,
Clairemont East,DeKalb,3226,92,965,1038,3,2098,44,279,189,1,513,2611,
Coralwood,DeKalb,3153,150,936,896,3,1985,61,277,237,2,577,2562,
Candler Park,DeKalb,4018,113,1499,1170,2,2784,35,306,213,0,554,3338,
Clarkston Community Center,DeKalb,2495,198,529,345,9,1081,44,134,71,0,249,1330,
Chamblee 2,DeKalb,3137,160,1052,585,0,1797,61,358,174,0,593,2390,
Doraville North,DeKalb,3065,271,701,380,6,1358,93,173,119,2,387,1745,
Doraville South,DeKalb,1255,116,279,192,1,588,43,99,56,1,199,787,
Dresden Elem,DeKalb,5141,351,1248,803,6,2408,125,375,262,1,763,3171,
Decatur,DeKalb,1937,69,761,426,0,1256,32,165,91,0,288,1544,
Dunaire Elem,DeKalb,2268,161,554,352,5,1072,45,115,91,2,253,1325,
Dunwoody,DeKalb,3003,164,877,534,7,1582,52,308,144,0,504,2086,
Dunwoody 2,DeKalb,2044,102,689,382,4,1177,58,254,126,1,439,1616,
Druid Hills High,DeKalb,2725,122,576,621,1,1320,59,143,115,1,318,1638,
Dunwoody Library,DeKalb,2570,100,963,498,3,1564,33,343,149,0,525,2089,
East Lake,DeKalb,4139,212,1359,789,4,2364,55,297,156,3,511,2875,
Embry Hills,DeKalb,1721,103,525,379,0,1007,35,140,131,0,306,1313,
Evansdale Elem,DeKalb,3441,239,998,659,1,1897,73,256,190,1,520,2417,
Emory South,DeKalb,3241,175,943,827,4,1949,71,203,156,2,432,2381,
Emory Road,DeKalb,2290,111,570,387,4,1072,31,81,76,2,190,1262,
Fairington Elem,DeKalb,5455,388,1341,535,14,2278,65,252,129,4,450,2728,
Fernbank Elem,DeKalb,2125,117,597,683,2,1399,52,167,146,2,367,1766,
Flat Shoals Elem,DeKalb,2409,158,526,324,5,1013,45,112,83,3,243,1256,
Flat Shoals Parkway,DeKalb,3449,177,1098,588,3,1866,35,234,165,3,437,2303,
Flat Rock Elem,DeKalb,3142,220,1116,415,6,1757,47,233,125,1,406,2163,
Flat Shoals,DeKalb,2649,154,508,363,7,1032,39,137,90,1,267,1299,
Flakes Mill Fire Station,DeKalb,2103,100,611,336,6,1053,26,150,95,2,273,1326,
Flat Shoals Library,DeKalb,2788,204,576,345,3,1128,42,153,74,0,269,1397,
Freedom Middle,DeKalb,3227,262,747,470,8,1487,53,143,115,1,312,1799,
Glennwood,DeKalb,2715,90,772,698,4,1564,26,165,166,1,358,1922,
Glenhaven,DeKalb,1880,185,401,267,4,857,57,98,66,0,221,1078,
Gresham Road,DeKalb,3601,188,983,590,14,1775,43,204,182,3,432,2207,
