Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Allgood Elem,DeKalb,2858,219,752,511,4,1486,51,174,122,0,347,1833,
Ashford Park Elem,DeKalb,2432,215,753,444,0,1412,64,248,95,1,408,1820,
Austin,DeKalb,2538,202,875,586,3,1666,87,189,122,0,398,2064,
Avondale,DeKalb,2906,324,963,769,1,2057,95,146,111,0,352,2409,
Austin Drive,DeKalb,2536,158,522,343,7,1030,54,123,113,6,296,1326,
Ashford Dunwoody Rd,DeKalb,2966,183,1039,625,4,1851,76,321,118,2,517,2368,
Ashford Parkside,DeKalb,3664,211,1058,818,5,2092,66,310,147,1,524,2616,
Avondale High,DeKalb,3151,127,1060,850,4,2041,36,176,144,0,356,2397,
Boulevard,DeKalb,4675,229,1673,1070,2,2974,57,251,161,1,470,3444,
Briar Vista Elem,DeKalb,2965,193,803,787,0,1783,65,141,113,1,320,2103,
Briarlake Elem,DeKalb,1752,148,565,451,0,1164,55,102,91,0,248,1412,
Briarwood,DeKalb,2428,167,737,436,2,1342,58,221,93,2,374,1716,
Brockett Elem,DeKalb,2752,169,808,550,6,1533,38,187,124,1,350,1883,
Briarcliff,DeKalb,3122,185,762,776,6,1729,60,175,172,1,408,2137,
Brockett,DeKalb,2681,251,750,499,4,1504,67,160,115,1,343,1847,
Brookhaven,DeKalb,3444,293,1122,625,2,2042,84,345,147,0,576,2618,
Browns Mill Elem,DeKalb,3829,258,1197,677,3,2135,55,283,213,3,554,2689,
Bouldercrest Road,DeKalb,2004,130,638,273,2,1043,38,141,89,0,268,1311,
Bethune Middle,DeKalb,4838,286,1099,717,16,2118,62,267,246,4,579,2697,
Burgess Elem,DeKalb,3493,158,1220,760,8,2146,49,164,144,0,357,2503,
Columbia Drive,DeKalb,2526,175,474,342,5,996,51,118,119,3,291,1287,
Canby Lane Elem,DeKalb,2004,177,439,301,4,921,49,112,128,5,294,1215,
Columbia Elem,DeKalb,1794,117,259,169,6,551,31,69,65,4,169,720,
Cedar Grove Elem,DeKalb,4097,250,1196,554,9,2009,58,300,211,2,571,2580,
Chamblee,DeKalb,2231,168,698,387,2,1255,47,172,68,1,288,1543,
Candler-Murphey Candler Elem,DeKalb,3712,252,1142,480,5,1879,57,321,171,2,551,2430,
Chapel Hill Elem,DeKalb,3349,223,989,484,4,1700,51,219,206,3,479,2179,
Chesnut Elem,DeKalb,2363,224,753,341,2,1320,43,162,81,0,286,1606,
Clairemont West,DeKalb,3264,136,1096,1009,4,2245,43,183,146,0,372,2617,
Clairmont Road,DeKalb,3223,194,827,894,4,1919,41,150,127,1,319,2238,
Clarkston,DeKalb,3878,326,815,340,8,1489,79,180,98,4,361,1850,
Clifton,DeKalb,1731,101,430,249,5,785,26,98,90,1,215,1000,
Columbia Middle,DeKalb,2178,126,493,261,3,883,30,118,70,3,221,1104,
Coan Recreation Center,DeKalb,4230,183,1403,822,0,2408,36,241,132,2,411,2819,
Cross Keys High,DeKalb,2260,155,594,494,4,1247,46,146,85,0,277,1524,
Crossroads,DeKalb,2898,203,733,461,5,1402,40,152,170,2,364,1766,
Candler,DeKalb,3537,216,888,490,10,1604,42,161,103,2,308,1912,
Cedar Grove Middle,DeKalb,1896,95,389,212,4,700,40,103,52,1,196,896,
Cedar Grove South,DeKalb,3962,223,1207,568,5,2003,61,376,178,1,616,2619,
Covington Hwy,DeKalb,995,46,80,46,6,178,10,25,17,0,52,230,
Covington,DeKalb,2376,124,611,334,5,1074,33,118,50,0,201,1275,
Clairemont East,DeKalb,3226,97,1032,1089,4,2222,39,206,136,0,381,2603,
Coralwood,DeKalb,3153,176,985,988,3,2152,42,230,142,2,416,2568,
