Precinct,County,Registered Voters,"Luis """"Lou"""" Solis, Jr. (Rep)_Election Day Votes","Luis """"Lou"""" Solis, Jr. (Rep)_Advanced Voting Votes","Luis """"Lou"""" Solis, Jr. (Rep)_Absentee by Mail Votes","Luis """"Lou"""" Solis, Jr. (Rep)_Provisional Votes","Luis """"Lou"""" Solis, Jr. (Rep)_Choice Total",Keybo Taylor (Dem)_Election Day Votes,Keybo Taylor (Dem)_Advanced Voting Votes,Keybo Taylor (Dem)_Absentee by Mail Votes,Keybo Taylor (Dem)_Provisional Votes,Keybo Taylor (Dem)_Choice Total,Total,
HARBINS A,Gwinnett,7182,368,1539,515,3,2425,336,1552,854,4,2746,5171,
ROCKBRIDGE A,Gwinnett,3987,105,278,170,0,553,256,1268,639,1,2164,2717,
DACULA,Gwinnett,4777,242,907,249,1,1399,249,1101,595,1,1946,3345,
SUWANEE A,Gwinnett,1737,121,307,150,1,579,95,368,187,0,650,1229,
BAYCREEK A,Gwinnett,2720,243,547,309,0,1099,134,500,365,0,999,2098,
GOODWINS A,Gwinnett,3921,286,571,242,1,1100,259,777,533,1,1570,2670,
DULUTH A,Gwinnett,5042,236,903,451,2,1592,210,1012,898,0,2120,3712,
DUNCANS A,Gwinnett,4729,356,1557,491,2,2406,128,716,456,0,1300,3706,
PUCKETTS A,Gwinnett,5692,315,1979,664,0,2958,147,803,475,0,1425,4383,
CATES A,Gwinnett,2387,175,472,308,0,955,107,350,287,0,744,1699,
BERKSHIRE A,Gwinnett,2555,179,233,120,0,532,252,421,319,2,994,1526,
BERKSHIRE B,Gwinnett,5338,124,536,342,2,1004,286,1352,838,5,2481,3485,
DUNCANS C,Gwinnett,3040,331,1038,311,1,1681,92,407,267,0,766,2447,
GARNERS A,Gwinnett,3520,207,790,432,1,1430,131,696,447,1,1275,2705,
LAWRENCEVILLE A,Gwinnett,3635,164,478,268,0,910,244,642,384,3,1273,2183,
LAWRENCEVILLE B,Gwinnett,5097,138,630,283,1,1052,215,1466,713,2,2396,3448,
MARTINS A,Gwinnett,3303,141,232,126,2,501,309,747,400,4,1460,1961,
MARTINS B,Gwinnett,3001,131,352,181,0,664,263,627,358,2,1250,1914,
MARTINS C,Gwinnett,2549,169,316,199,1,685,228,503,337,4,1072,1757,
PINCKNEYVILLE A,Gwinnett,2791,121,155,86,3,365,318,586,334,5,1243,1608,
PINCKNEYVILLE B,Gwinnett,3485,125,247,128,2,502,288,739,379,5,1411,1913,
PINCKNEYVILLE C,Gwinnett,2082,249,296,273,1,819,118,324,337,4,783,1602,
PINCKNEYVILLE D,Gwinnett,2264,89,146,86,1,322,253,427,208,4,892,1214,
SUGAR HILL A,Gwinnett,4654,404,858,342,2,1606,247,645,458,3,1353,2959,
SUGAR HILL B,Gwinnett,5596,501,1187,431,12,2131,289,906,561,4,1760,3891,
HOG MOUNTAIN A,Gwinnett,5011,319,731,320,1,1371,316,1087,629,1,2033,3404,
HOG MOUNTAIN B,Gwinnett,4583,383,1063,436,2,1884,179,762,629,2,1572,3456,
ROCKYCREEK A,Gwinnett,5939,479,1467,431,0,2377,265,1146,614,3,2028,4405,
CATES B,Gwinnett,1587,145,339,186,1,671,82,229,183,1,495,1166,
CATES C,Gwinnett,2903,167,313,199,1,680,188,766,411,2,1367,2047,
HOG MOUNTAIN D,Gwinnett,3179,276,676,246,1,1199,153,491,398,1,1043,2242,
BERKSHIRE D,Gwinnett,2945,147,499,330,1,977,112,599,484,3,1198,2175,
BERKSHIRE E,Gwinnett,1997,161,462,203,0,826,75,347,286,1,709,1535,
BERKSHIRE F,Gwinnett,2254,175,221,165,0,561,185,366,296,1,848,1409,
CATES D,Gwinnett,3755,236,616,332,0,1184,181,828,558,2,1569,2753,
CATES E,Gwinnett,2942,221,570,316,1,1108,143,586,467,1,1197,2305,
PINCKNEYVILLE E,Gwinnett,2184,112,109,71,2,294,231,481,265,7,984,1278,
PINCKNEYVILLE F,Gwinnett,2546,112,232,124,1,469,232,464,316,2,1014,1483,
