Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Barwick,Thomas,630,124,214,41,0,379,32,39,19,0,90,7,3,1,0,11,480,
Boston,Thomas,1632,155,360,76,0,591,116,251,144,0,511,7,16,3,0,26,1128,
Central,Thomas,3523,188,1293,236,1,1718,79,480,236,0,795,15,26,13,0,54,2567,
Coolidge,Thomas,983,212,284,55,0,551,61,56,39,0,156,8,5,2,0,15,722,
Douglass,Thomas,2448,53,184,41,0,278,219,679,232,0,1130,13,16,7,0,36,1444,
LIttle Ochlocknee Baptist Church1132,Thomas,201,447,77,0,725,18,117,32,0,167,7,6,2,0,15,907,,
Fire Station #2,Thomas,1404,135,557,128,0,820,15,178,95,0,288,1,12,1,0,14,1122,
Gatlin Creek,Thomas,2069,210,813,144,0,1167,45,219,103,0,367,10,15,9,0,34,1568,
Harper,Thomas,2001,45,232,44,0,321,141,523,274,0,938,11,13,8,0,32,1291,
Jerger,Thomas,1898,99,652,172,0,923,67,308,145,0,520,4,13,4,0,21,1464,
Meigs,Thomas,864,132,167,44,0,343,139,56,35,1,231,10,2,0,0,12,586,
Metcalfe,Thomas,299,78,67,13,0,158,15,24,28,0,67,1,3,0,0,4,229,
New Covenant,Thomas,2155,219,815,117,0,1151,54,227,118,0,399,6,17,8,0,31,1581,
Ochlocknee,Thomas,1175,262,360,47,0,669,54,69,22,1,146,5,4,3,0,12,827,
Pavo,Thomas,673,182,178,40,0,400,18,30,37,0,85,3,2,2,0,7,492,
Remington Esc,Thomas,2190,138,650,170,0,958,75,365,156,0,596,14,23,10,0,47,1601,
Resource Center,Thomas,1363,10,65,15,0,90,137,404,228,0,769,4,6,1,0,11,870,
Scott,Thomas,2491,119,887,152,0,1158,74,449,203,2,728,11,16,7,0,34,1920,
Merrillville,Thomas,701,63,270,33,0,366,16,66,43,0,125,0,3,1,0,4,495,
Patten,Thomas,397,83,151,20,0,254,12,28,10,0,50,1,1,0,0,2,306,
