Precinct,County,Registered Voters,"Cecil T. """"Butch"""" Miller (I) (Rep)_Election Day Votes","Cecil T. """"Butch"""" Miller (I) (Rep)_Advanced Voting Votes","Cecil T. """"Butch"""" Miller (I) (Rep)_Absentee by Mail Votes","Cecil T. """"Butch"""" Miller (I) (Rep)_Provisional Votes","Cecil T. """"Butch"""" Miller (I) (Rep)_Choice Total",Total,
Wilson,Hall,0,459,1884,1170,2,3515,3515,
Chicopee,Hall,0,355,1040,346,1,1742,1742,
Oakwood I,Hall,0,319,745,249,0,1313,1313,
Oakwood II,Hall,0,463,1610,553,2,2628,2628,
Flowery Branch I,Hall,0,489,1692,587,0,2768,2768,
Flowery Branch II,Hall,0,461,1246,347,5,2059,2059,
Roberts,Hall,0,565,2161,890,1,3617,3617,
Morgan I,Hall,0,508,1721,438,0,2667,2667,
Morgan II,Hall,0,452,1858,596,2,2908,2908,
Candler,Hall,0,647,2038,654,0,3339,3339,
Tadmore,Hall,0,390,953,369,0,1712,1712,
Glade,Hall,0,413,1321,408,2,2144,2144,
Lula,Hall,0,589,1270,334,8,2201,2201,
Clermont,Hall,0,434,1745,370,1,2550,2550,
Quillians,Hall,0,242,1467,323,2,2034,2034,
Bark Camp,Hall,0,529,2519,711,4,3763,3763,
Chestatee,Hall,0,526,1514,535,2,2577,2577,
Fork,Hall,0,555,1257,463,0,2275,2275,
Whelchel,Hall,0,424,1872,579,0,2875,2875,
West Whelchel,Hall,0,374,1619,819,1,2813,2813,
Gainesville I,Hall,0,447,1195,605,4,2251,2251,
Gainesville II,Hall,0,202,383,292,1,878,878,
Gainesville III,Hall,0,508,963,399,1,1871,1871,
Gainesville IV,Hall,0,259,778,340,0,1377,1377,
Gainesville V,Hall,0,177,424,155,0,756,756,
Big Hickory,Hall,0,397,1907,495,1,2800,2800,
Friendship I,Hall,0,599,3795,1510,3,5907,5907,
Friendship II,Hall,0,440,1334,333,2,2109,2109,
Friendship III,Hall,0,409,2005,439,2,2855,2855,
Friendship IV,Hall,0,208,1804,364,4,2380,2380,
