Precinct,County,Registered Voters,B. J._Election Day Votes,B. J._Advanced Voting Votes,B. J._Absentee by Mail Votes,B. J._Provisional Votes,B. J._Choice Total,Total,
Coldwater,Chattooga,248,28,92,29,0,149,149,
Dirtseller,Chattooga,186,49,64,9,0,122,122,
Haywood,Chattooga,169,75,22,5,1,103,103,
Lyerly,Chattooga,934,233,280,73,2,588,588,
Trion,Chattooga,3496,398,931,228,0,1557,1557,
Summerville,Chattooga,5155,629,1860,531,1,3021,3021,
Teloga,Chattooga,593,88,250,72,0,410,410,
Dirttown,Chattooga,897,256,268,76,0,600,600,
Seminole,Chattooga,138,36,46,20,0,102,102,
Subligna,Chattooga,489,168,127,55,1,351,351,
Alpine,Chattooga,872,274,239,80,0,593,593,
Cloudland,Chattooga,378,88,119,41,0,248,248,
Pennville,Chattooga,588,76,209,46,0,331,331,
