index,County,Precinct,Registered Voters,Todd Chapman_Election Day Votes,Todd Chapman_Advanced Voting Votes,Todd Chapman_Absentee by Mail Votes,Todd Chapman_Provisional Votes,Todd Chapman_Choice Total,Michael Crow_Election Day Votes,Michael Crow_Advanced Voting Votes,Michael Crow_Absentee by Mail Votes,Michael Crow_Provisional Votes,Michael Crow_Choice Total,Mike Haynes (I)_Election Day Votes,Mike Haynes (I)_Advanced Voting Votes,Mike Haynes (I)_Absentee by Mail Votes,Mike Haynes (I)_Provisional Votes,Mike Haynes (I)_Choice Total,Total,
0,Hall,Wilson,0,281,1049,659,1,1990,216,648,426,1,1291,293,1457,1028,0,2778,6059,
1,Hall,Chicopee,0,228,685,225,1,1139,192,468,157,0,817,230,750,287,0,1267,3223,
2,Hall,Oakwood I,0,211,504,146,0,861,142,319,97,0,558,203,546,200,0,949,2368,
3,Hall,Oakwood II,0,275,869,305,0,1449,185,553,184,0,922,319,1201,474,1,1995,4366,
4,Hall,Flowery Branch I,0,256,932,316,0,1504,195,684,256,0,1135,353,1247,491,0,2091,4730,
5,Hall,Flowery Branch II,0,272,696,209,3,1180,175,523,164,1,863,342,923,291,3,1559,3602,
6,Hall,Roberts,0,329,1129,469,1,1928,203,792,328,0,1323,419,1683,725,0,2827,6078,
7,Hall,Morgan I,0,303,960,219,0,1482,195,575,153,0,923,375,1295,366,0,2036,4441,
8,Hall,Morgan II,0,279,1063,332,1,1675,191,673,232,0,1096,314,1396,482,2,2194,4965,
9,Hall,Candler,0,410,1215,342,0,1967,309,744,235,0,1288,417,1502,547,0,2466,5721,
10,Hall,Tadmore,0,448,1024,344,3,1819,354,707,249,0,1310,400,1002,416,3,1821,4950,
11,Hall,Glade,0,277,784,239,3,1303,143,451,146,0,740,273,979,332,0,1584,3627,
12,Hall,Lula,0,346,744,204,6,1300,224,409,98,5,736,416,948,263,4,1631,3667,
13,Hall,Clermont,0,248,1090,183,0,1521,128,443,79,0,650,306,1390,330,1,2027,4198,
14,Hall,Quillians,0,153,903,195,0,1251,73,331,66,1,471,182,1190,275,1,1648,3370,
15,Hall,Bark Camp,0,325,1471,377,0,2173,208,754,223,0,1185,374,1910,602,3,2889,6247,
16,Hall,Chestatee,0,299,839,286,0,1424,200,457,160,0,817,387,1171,455,1,2014,4255,
17,Hall,Fork,0,282,723,256,1,1262,184,402,152,0,738,398,999,367,1,1765,3765,
18,Hall,Whelchel,0,240,1079,297,0,1616,164,509,184,0,857,302,1473,486,0,2261,4734,
19,Hall,West Whelchel,0,198,790,391,0,1379,97,458,181,0,736,273,1309,711,1,2294,4409,
20,Hall,Gainesville I,0,262,691,312,2,1267,159,419,198,3,779,313,935,491,3,1742,3788,
21,Hall,Gainesville II,0,166,310,222,0,698,131,268,169,0,568,120,224,241,1,586,1852,
22,Hall,Gainesville III,0,349,656,229,0,1234,292,493,181,1,967,310,682,337,2,1331,3532,
23,Hall,Gainesville IV,0,145,445,167,0,757,114,304,102,0,520,189,612,295,0,1096,2373,
24,Hall,Gainesville V,0,109,247,94,0,450,73,145,52,0,270,122,320,145,0,587,1307,
25,Hall,Gillsville,0,200,246,56,1,503,105,131,41,1,278,245,264,77,0,586,1367,
26,Hall,Big Hickory,0,223,1012,239,1,1475,126,470,112,1,709,296,1526,415,0,2237,4421,
27,Hall,Friendship I,0,353,2028,810,0,3191,233,1288,561,1,2083,435,3006,1277,2,4720,9994,
28,Hall,Friendship II,0,236,732,167,2,1137,184,501,125,0,810,315,1040,267,1,1623,3570,
29,Hall,Friendship III,0,247,1166,269,2,1684,179,781,193,1,1154,274,1514,356,1,2145,4983,
30,Hall,Friendship IV,0,115,1078,196,2,1391,65,625,133,4,827,154,1372,302,1,1829,4047,
