Precinct,County,Registered Voters,Omeeka Loggins (I) (Dem)_Election Day Votes,Omeeka Loggins (I) (Dem)_Advanced Voting Votes,Omeeka Loggins (I) (Dem)_Absentee by Mail Votes,Omeeka Loggins (I) (Dem)_Provisional Votes,Omeeka Loggins (I) (Dem)_Choice Total,Total,
101,Richmond,896,132,205,150,3,490,490,
102,Richmond,1278,152,185,201,3,541,541,
103,Richmond,1428,157,293,272,2,724,724,
104,Richmond,2976,427,536,552,3,1518,1518,
105,Richmond,832,112,224,165,1,502,502,
106,Richmond,1182,163,132,133,1,429,429,
107,Richmond,1800,222,373,322,1,918,918,
108,Richmond,517,73,110,109,0,292,292,
109,Richmond,1052,114,258,175,1,548,548,
111,Richmond,1578,196,277,288,1,762,762,
112,Richmond,882,58,162,186,2,408,408,
114,Richmond,856,118,141,146,1,406,406,
201,Richmond,581,233,264,226,4,727,727,
115,Richmond,1332,64,69,68,0,201,201,
202,Richmond,4492,610,866,613,7,2096,2096,
203,Richmond,991,131,162,191,2,486,486,
204,Richmond,1578,219,338,238,3,798,798,
207,Richmond,2705,349,436,415,8,1208,1208,
208,Richmond,2651,339,519,415,4,1277,1277,
210,Richmond,1507,168,344,364,4,880,880,
301,Richmond,2409,310,599,400,2,1311,1311,
302,Richmond,1032,157,238,131,0,526,526,
303,Richmond,1417,128,372,218,1,719,719,
304,Richmond,365,49,86,60,0,195,195,
305,Richmond,428,35,127,83,0,245,245,
306,Richmond,3934,406,1006,670,3,2085,2085,
307,Richmond,1642,163,366,288,0,817,817,
308,Richmond,622,71,147,90,1,309,309,
309,Richmond,3340,348,1150,773,3,2274,2274,
310,Richmond,5163,540,1545,1024,3,3112,3112,
401,Richmond,2093,248,708,499,0,1455,1455,
402,Richmond,3311,463,564,538,4,1569,1569,
404,Richmond,1748,247,477,370,4,1098,1098,
405,Richmond,4424,364,1490,1125,2,2981,2981,
406,Richmond,3221,345,1029,806,4,2184,2184,
501,Richmond,3549,402,757,775,2,1936,1936,
502,Richmond,4138,507,984,883,7,2381,2381,
503,Richmond,4021,409,960,792,5,2166,2166,
504,Richmond,2339,320,419,320,5,1064,1064,
506,Richmond,416,48,89,47,2,186,186,
507,Richmond,968,162,234,145,1,542,542,
509,Richmond,2172,229,631,453,5,1318,1318,
601,Richmond,3988,409,911,591,13,1924,1924,
603,Richmond,3570,486,659,500,2,1647,1647,
604,Richmond,1811,268,342,264,0,874,874,
605,Richmond,3880,451,789,636,1,1877,1877,
607,Richmond,1812,197,537,418,1,1153,1153,
608,Richmond,1472,211,300,209,1,721,721,
701,Richmond,2403,279,553,405,2,1239,1239,
702,Richmond,1943,272,432,248,0,952,952,
703,Richmond,4644,539,1061,598,6,2204,2204,
705,Richmond,2276,237,561,412,1,1211,1211,
706,Richmond,3315,274,924,557,2,1757,1757,
707,Richmond,2122,313,534,255,2,1104,1104,
708,Richmond,305,17,90,34,0,141,141,
709,Richmond,576,52,141,113,0,306,306,
801,Richmond,523,100,48,71,1,220,220,
801B,Richmond,523,119,36,64,0,219,219,
802,Richmond,3251,559,461,408,2,1430,1430,
803,Richmond,252,31,37,29,1,98,98,
804,Richmond,2096,255,516,314,0,1085,1085,
804H,Richmond,2863,381,621,452,5,1459,1459,
805,Richmond,798,101,229,128,1,459,459,
806,Richmond,1212,189,250,155,1,595,595,
807,Richmond,1578,176,368,270,1,815,815,
808,Richmond,2366,343,577,383,1,1304,1304,
809,Richmond,879,82,318,194,2,596,596,
810,Richmond,425,40,128,68,0,236,236,
