Precinct,County,Registered Voters,"Charles Norris Almond, Jr. (I) (Rep)_Election Day Votes","Charles Norris Almond, Jr. (I) (Rep)_Advanced Voting Votes","Charles Norris Almond, Jr. (I) (Rep)_Absentee by Mail Votes","Charles Norris Almond, Jr. (I) (Rep)_Provisional Votes","Charles Norris Almond, Jr. (I) (Rep)_Choice Total",Total,
Elberton,Elbert,3798,312,1292,491,0,2095,2095,
Longstreet,Elbert,622,121,213,79,0,413,413,
Eliam,Elbert,748,168,275,106,0,549,549,
Petersburg,Elbert,377,110,98,61,0,269,269,
Wyche,Elbert,1095,155,467,148,0,770,770,
Moss-Ruckersville,Elbert,468,113,132,65,0,310,310,
Pike,Elbert,1596,254,508,247,0,1009,1009,
Gaines,Elbert,570,196,135,73,0,404,404,
Goshen,Elbert,1612,391,537,164,0,1092,1092,
Webbsboro,Elbert,408,101,141,49,0,291,291,
Centerville,Elbert,1011,221,355,100,0,676,676,
