Precinct,County,Registered Voters,Jon G. Burns (I) (Rep)_Election Day Votes,Jon G. Burns (I) (Rep)_Advanced Voting Votes,Jon G. Burns (I) (Rep)_Absentee by Mail Votes,Jon G. Burns (I) (Rep)_Provisional Votes,Jon G. Burns (I) (Rep)_Choice Total,Total,
Sylvania,Screven,0,106,359,156,0,621,621,
Hunters,Screven,0,104,117,47,8,276,276,
Newington,Screven,0,266,271,74,0,611,611,
Jenk Hill Fire Sta,Screven,0,142,326,104,1,573,573,
Rocky Ford,Screven,0,120,153,53,0,326,326,
Bay Branch,Screven,0,206,376,72,1,655,655,
Hiltonia,Screven,0,126,263,56,0,445,445,
Screven Rec Dept,Screven,0,46,103,36,1,186,186,
Greenhill Church,Screven,0,193,288,73,0,554,554,
Sr Citizens Center,Screven,0,110,301,106,0,517,517,
Jackson Fire Station,Screven,0,116,94,39,0,249,249,
Cooperville Fire Station,Screven,0,29,53,31,1,114,114,
