County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total Votes
Turner,Ashburn,3509.0,135.0,763.0,127.0,0.0,1025.0,293.0,677.0,246.0,1.0,1217.0,5.0,18.0,4.0,0.0,27.0,2269.0
Turner,Sycamore,1609.0,124.0,829.0,81.0,1.0,1035.0,28.0,94.0,26.0,0.0,148.0,1.0,2.0,1.0,0.0,4.0,1187.0
Turner,Rebecca,464.0,118.0,146.0,25.0,0.0,289.0,11.0,17.0,17.0,0.0,45.0,0.0,2.0,0.0,0.0,2.0,336.0
Floyd,Alto Park,3360.0,327.0,1137.0,290.0,10.0,1764.0,95.0,326.0,253.0,5.0,679.0,5.0,15.0,11.0,0.0,31.0,2474.0
Floyd,Armuchee,1269.0,283.0,398.0,108.0,2.0,791.0,34.0,75.0,46.0,0.0,155.0,3.0,2.0,1.0,0.0,6.0,952.0
Floyd,Barkers,2355.0,393.0,948.0,196.0,6.0,1543.0,38.0,102.0,83.0,0.0,223.0,5.0,9.0,1.0,0.0,15.0,1781.0
Floyd,Cave Spring,1617.0,423.0,332.0,126.0,2.0,883.0,63.0,65.0,112.0,2.0,242.0,11.0,2.0,2.0,0.0,15.0,1140.0
Floyd,Chulio,1155.0,277.0,338.0,95.0,11.0,721.0,36.0,44.0,60.0,0.0,140.0,3.0,3.0,1.0,0.0,7.0,868.0
Floyd,Etowah,4946.0,599.0,1925.0,433.0,7.0,2964.0,89.0,408.0,295.0,3.0,795.0,9.0,14.0,14.0,0.0,37.0,3796.0
Floyd,Everett Springs,421.0,175.0,74.0,26.0,5.0,280.0,26.0,9.0,20.0,0.0,55.0,2.0,0.0,0.0,0.0,2.0,337.0
