Precinct,County,Registered Voters,Hubert B. Parker (I) (Rep)_Election Day Votes,Hubert B. Parker (I) (Rep)_Advanced Voting Votes,Hubert B. Parker (I) (Rep)_Absentee by Mail Votes,Hubert B. Parker (I) (Rep)_Provisional Votes,Hubert B. Parker (I) (Rep)_Choice Total,Total,
Ellijay South,Gilmer,3172,393,1170,379,2,1944,1944,
Cartecay,Gilmer,1598,410,480,205,2,1097,1097,
Tails Creek,Gilmer,1782,461,475,144,0,1080,1080,
Town Creek,Gilmer,1234,312,330,108,0,750,750,
Leaches,Gilmer,2939,541,974,341,2,1858,1858,
Cherry Log,Gilmer,926,258,236,114,0,608,608,
Boardtown,Gilmer,1391,291,511,208,4,1014,1014,
Mountaintown,Gilmer,1139,276,365,129,1,771,771,
East Ellijay,Gilmer,1655,251,643,214,0,1108,1108,
Ellijay North,Gilmer,1810,283,614,207,1,1105,1105,
Yukon,Gilmer,1288,352,359,124,0,835,835,
Big Creek,Gilmer,1479,367,412,192,0,971,971,
Ellijay Northeast,Gilmer,1851,235,713,228,0,1176,1176,
