Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Hahira Train Depot,Lowndes,5526,860,1863,303,4,3030,162,456,208,4,830,25,42,6,3,76,3936,
Trinity,Lowndes,10900,633,2305,476,21,3435,395,1807,876,18,3096,56,104,53,1,214,6745,
Northside,Lowndes,17467,734,4447,948,31,6160,508,2454,1398,68,4428,59,127,54,4,244,10832,
Naylor,Lowndes,1291,227,333,53,1,614,58,175,76,0,309,4,10,2,0,16,939,
Rainwater,Lowndes,9877,596,2897,584,26,4103,299,1301,656,24,2280,35,62,19,2,118,6501,
Mildred,Lowndes,4283,49,222,50,6,327,339,839,536,16,1730,10,25,8,0,43,2100,
Clyattville,Lowndes,4755,629,1226,247,11,2113,146,364,261,7,778,15,28,9,3,55,2946,
Dasher,Lowndes,4255,618,1478,250,19,2365,74,267,137,2,480,22,22,10,0,54,2899,
S Lowndes,Lowndes,3967,702,1156,235,14,2107,147,275,199,4,625,18,20,7,2,47,2779,
VSU UC # 2,Lowndes,318,6,9,0,0,15,41,51,10,2,104,2,0,0,0,2,121,
Jaycee Shack,Lowndes,6273,108,428,119,7,662,367,1535,700,37,2639,16,45,12,2,75,3376,
Northgate Assembly,Lowndes,1997,93,352,58,12,515,45,224,88,8,365,9,12,4,2,27,907,
Mt Calvary,Lowndes,4447,44,87,34,9,174,205,869,334,52,1460,11,35,6,5,57,1691,
