Precinct,County,Registered Voters,Carrol Ann Coleman (I) (Rep)_Election Day Votes,Carrol Ann Coleman (I) (Rep)_Advanced Voting Votes,Carrol Ann Coleman (I) (Rep)_Absentee by Mail Votes,Carrol Ann Coleman (I) (Rep)_Provisional Votes,Carrol Ann Coleman (I) (Rep)_Choice Total,Total,
Pembroke,Bryan,2653,300,896,173,0,1369,1369,
Danielsiding,Bryan,2291,266,935,226,0,1427,1427,
Ellabell,Bryan,2341,414,877,161,1,1453,1453,
Black Creek,Bryan,2995,400,1005,197,1,1603,1603,
Ways Station,Bryan,1974,220,615,159,1,995,995,
RH Rec Complex,Bryan,3264,289,1077,263,1,1630,1630,
JF Gregory Park,Bryan,2885,181,1469,289,0,1939,1939,
Keller,Bryan,4270,377,2031,367,0,2775,2775,
Hwy 144 East,Bryan,5365,398,2341,519,1,3259,3259,
Public Safety Complex,Bryan,2570,265,819,185,1,1270,1270,
