Precinct,County,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,calc_participation
Floyd Springs,Floyd,1666.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,155.0,213.0,61.0,6.0,435.0,0.0,1.0,2.0,0.0,3.0,5.0,7.0,3.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,8.0,7.0,2.0,0.0,17.0,2.0,4.0,1.0,2.0,9.0,1.0,1.0,0.0,0.0,2.0,3.0,11.0,0.0,0.0,14.0,3.0,4.0,1.0,0.0,8.0,8.0,8.0,4.0,0.0,20.0,218.0,315.0,75.0,13.0,621.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,17.0,23.0,61.0,37.0,2.0,123.0,1.0,0.0,0.0,0.0,1.0,1304.0,78.3
Fosters Mill,Floyd,971.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,103.0,108.0,24.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,12.0,2.0,1.0,1.0,0.0,4.0,1.0,5.0,0.0,0.0,6.0,2.0,2.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,11.0,154.0,154.0,42.0,1.0,351.0,1.0,2.0,0.0,0.0,3.0,7.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,13.0,23.0,24.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,713.0,73.4
Garden Lakes,Floyd,2261.0,2.0,4.0,0.0,0.0,6.0,0.0,3.0,3.0,0.0,6.0,71.0,251.0,75.0,3.0,400.0,0.0,5.0,0.0,1.0,6.0,3.0,6.0,3.0,0.0,12.0,5.0,0.0,0.0,0.0,5.0,3.0,10.0,4.0,0.0,17.0,15.0,41.0,13.0,0.0,69.0,4.0,10.0,3.0,0.0,17.0,6.0,9.0,1.0,0.0,16.0,4.0,15.0,6.0,0.0,25.0,12.0,24.0,8.0,0.0,44.0,111.0,313.0,100.0,2.0,526.0,1.0,6.0,1.0,0.0,8.0,1.0,2.0,3.0,0.0,6.0,2.0,2.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,5.0,9.0,16.0,0.0,0.0,25.0,46.0,127.0,86.0,1.0,260.0,3.0,2.0,1.0,0.0,6.0,1463.0,64.7
Glenwood,Floyd,3635.0,0.0,2.0,1.0,0.0,3.0,2.0,4.0,5.0,0.0,11.0,183.0,360.0,103.0,0.0,646.0,3.0,5.0,2.0,0.0,10.0,15.0,20.0,6.0,0.0,41.0,3.0,3.0,0.0,0.0,6.0,9.0,25.0,2.0,0.0,36.0,13.0,16.0,26.0,0.0,55.0,4.0,10.0,6.0,0.0,20.0,10.0,13.0,4.0,0.0,27.0,7.0,8.0,4.0,0.0,19.0,14.0,33.0,16.0,0.0,63.0,248.0,580.0,130.0,1.0,959.0,2.0,8.0,3.0,0.0,13.0,6.0,10.0,2.0,0.0,18.0,3.0,5.0,2.0,0.0,10.0,2.0,0.0,3.0,0.0,5.0,12.0,25.0,2.0,0.0,39.0,77.0,171.0,128.0,2.0,378.0,4.0,3.0,2.0,0.0,9.0,2368.0,65.1
Howell,Floyd,1492.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,160.0,130.0,49.0,1.0,340.0,3.0,0.0,1.0,0.0,4.0,7.0,6.0,4.0,0.0,17.0,0.0,2.0,0.0,0.0,2.0,5.0,10.0,0.0,0.0,15.0,1.0,7.0,5.0,0.0,13.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,7.0,8.0,1.0,0.0,16.0,232.0,246.0,69.0,0.0,547.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,0.0,19.0,18.0,40.0,19.0,0.0,77.0,0.0,1.0,1.0,0.0,2.0,1072.0,71.8
East Lindale,Floyd,3398.0,1.0,3.0,3.0,0.0,7.0,2.0,4.0,0.0,0.0,6.0,148.0,429.0,115.0,0.0,692.0,2.0,4.0,2.0,0.0,8.0,7.0,22.0,2.0,0.0,31.0,5.0,1.0,1.0,0.0,7.0,11.0,13.0,3.0,0.0,27.0,22.0,31.0,14.0,0.0,67.0,3.0,13.0,6.0,0.0,22.0,5.0,9.0,1.0,0.0,15.0,8.0,11.0,9.0,0.0,28.0,10.0,32.0,8.0,0.0,50.0,238.0,588.0,140.0,2.0,968.0,2.0,5.0,1.0,0.0,8.0,6.0,11.0,1.0,0.0,18.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,3.0,0.0,37.0,60.0,189.0,129.0,0.0,378.0,1.0,2.0,2.0,0.0,5.0,2377.0,70.0
Mt Alto North,Floyd,5096.0,5.0,9.0,4.0,0.0,18.0,4.0,7.0,6.0,1.0,18.0,74.0,430.0,139.0,3.0,646.0,6.0,7.0,3.0,0.0,16.0,6.0,21.0,6.0,0.0,33.0,3.0,6.0,0.0,0.0,9.0,6.0,26.0,6.0,0.0,38.0,51.0,122.0,53.0,0.0,226.0,15.0,26.0,12.0,0.0,53.0,4.0,17.0,1.0,0.0,22.0,16.0,39.0,15.0,1.0,71.0,24.0,58.0,18.0,0.0,100.0,110.0,626.0,150.0,3.0,889.0,11.0,19.0,4.0,0.0,34.0,12.0,7.0,2.0,0.0,21.0,1.0,5.0,5.0,0.0,11.0,3.0,3.0,7.0,0.0,13.0,8.0,21.0,7.0,0.0,36.0,130.0,465.0,292.0,8.0,895.0,3.0,7.0,2.0,0.0,12.0,3161.0,62.0
Mt Alto South,Floyd,3923.0,4.0,1.0,1.0,0.0,6.0,2.0,5.0,5.0,0.0,12.0,106.0,324.0,111.0,1.0,542.0,5.0,1.0,2.0,0.0,8.0,6.0,11.0,4.0,0.0,21.0,5.0,7.0,0.0,0.0,12.0,7.0,12.0,2.0,0.0,21.0,39.0,67.0,20.0,0.0,126.0,15.0,23.0,9.0,0.0,47.0,5.0,4.0,3.0,0.0,12.0,18.0,23.0,3.0,0.0,44.0,25.0,42.0,12.0,0.0,79.0,144.0,492.0,126.0,4.0,766.0,3.0,8.0,2.0,0.0,13.0,3.0,15.0,6.0,0.0,24.0,4.0,2.0,2.0,0.0,8.0,1.0,1.0,0.0,0.0,2.0,10.0,15.0,0.0,0.0,25.0,142.0,361.0,235.0,4.0,742.0,1.0,3.0,8.0,0.0,12.0,2522.0,64.3
North Carolina,Floyd,1865.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,92.0,209.0,59.0,1.0,361.0,2.0,1.0,0.0,0.0,3.0,3.0,18.0,2.0,0.0,23.0,0.0,3.0,0.0,0.0,3.0,9.0,8.0,1.0,0.0,18.0,8.0,8.0,6.0,0.0,22.0,2.0,6.0,1.0,0.0,9.0,7.0,9.0,0.0,0.0,16.0,1.0,2.0,5.0,0.0,8.0,7.0,9.0,4.0,0.0,20.0,146.0,296.0,65.0,0.0,507.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,6.0,8.0,1.0,0.0,15.0,19.0,85.0,46.0,2.0,152.0,0.0,3.0,0.0,0.0,3.0,1176.0,63.1
Riverside,Floyd,826.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,4.0,52.0,77.0,13.0,1.0,143.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,9.0,2.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,3.0,8.0,2.0,0.0,13.0,0.0,5.0,1.0,0.0,6.0,2.0,4.0,1.0,0.0,7.0,1.0,3.0,0.0,0.0,4.0,4.0,10.0,3.0,0.0,17.0,80.0,111.0,26.0,3.0,220.0,1.0,4.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,9.0,32.0,39.0,22.0,0.0,93.0,0.0,1.0,0.0,0.0,1.0,546.0,66.1
East Rome,Floyd,4238.0,2.0,4.0,2.0,0.0,8.0,3.0,5.0,3.0,0.0,11.0,99.0,289.0,104.0,1.0,493.0,7.0,5.0,7.0,0.0,19.0,1.0,15.0,6.0,0.0,22.0,2.0,6.0,1.0,0.0,9.0,11.0,18.0,7.0,0.0,36.0,16.0,89.0,27.0,0.0,132.0,5.0,22.0,19.0,0.0,46.0,6.0,7.0,2.0,0.0,15.0,13.0,27.0,9.0,0.0,49.0,12.0,50.0,19.0,2.0,83.0,129.0,436.0,133.0,1.0,699.0,3.0,6.0,1.0,0.0,10.0,6.0,18.0,4.0,0.0,28.0,1.0,6.0,1.0,0.0,8.0,3.0,6.0,0.0,0.0,9.0,9.0,11.0,3.0,0.0,23.0,124.0,478.0,282.0,0.0,884.0,3.0,7.0,2.0,0.0,12.0,2596.0,61.3
