Precinct,County,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,
Shaw,Colquitt,3487,153,434,210,0,797,797,
Moultrie,Colquitt,4809,455,1409,442,0,2306,2306,
Autreyville,Colquitt,1512,286,438,86,2,812,812,
Bridgecreek,Colquitt,1191,276,452,90,2,820,820,
Crosland,Colquitt,289,87,37,20,0,144,144,
Doerun,Colquitt,619,182,128,32,0,342,342,
Funston,Colquitt,1030,296,281,71,3,651,651,
Hamilton,Colquitt,784,269,202,51,0,522,522,
Hartsfield,Colquitt,408,174,87,43,1,305,305,
Hopewell,Colquitt,1670,285,631,127,3,1046,1046,
Lee,Colquitt,1094,227,294,80,0,601,601,
Millcreek,Colquitt,422,112,138,42,0,292,292,
Monk,Colquitt,1555,356,474,110,0,940,940,
Murphy,Colquitt,973,192,441,64,0,697,697,
Norman Park,Colquitt,2586,452,736,193,0,1381,1381,
Robinson,Colquitt,860,239,212,55,0,506,506,
Thigpen,Colquitt,251,101,44,18,0,163,163,
Tyty,Colquitt,543,226,79,34,0,339,339,
Warrior,Colquitt,971,283,260,67,0,610,610,
