Precinct,County,Registered Voters,"C. Verlyn """"Lucky"""" Brock (I) (Rep)_Election Day Votes","C. Verlyn """"Lucky"""" Brock (I) (Rep)_Advanced Voting Votes","C. Verlyn """"Lucky"""" Brock (I) (Rep)_Absentee by Mail Votes","C. Verlyn """"Lucky"""" Brock (I) (Rep)_Provisional Votes","C. Verlyn """"Lucky"""" Brock (I) (Rep)_Choice Total",Total,
Shaw,Colquitt,3487,166,482,248,0,896,896,
Moultrie,Colquitt,4809,470,1461,470,1,2402,2402,
Autreyville,Colquitt,1512,284,449,94,2,829,829,
Bridgecreek,Colquitt,1191,279,461,96,2,838,838,
Crosland,Colquitt,289,92,38,18,0,148,148,
Doerun,Colquitt,619,189,133,33,0,355,355,
Funston,Colquitt,1030,295,282,73,3,653,653,
Hamilton,Colquitt,784,270,208,52,0,530,530,
Hartsfield,Colquitt,408,172,87,43,1,303,303,
Hopewell,Colquitt,1670,291,639,136,2,1068,1068,
Lee,Colquitt,1094,227,304,84,0,615,615,
Millcreek,Colquitt,422,112,137,42,0,291,291,
Monk,Colquitt,1555,356,485,113,0,954,954,
Murphy,Colquitt,973,193,448,68,0,709,709,
Norman Park,Colquitt,2586,460,755,209,0,1424,1424,
Robinson,Colquitt,860,244,212,56,0,512,512,
Thigpen,Colquitt,251,100,47,19,0,166,166,
Tyty,Colquitt,543,232,79,34,0,345,345,
Warrior,Colquitt,971,288,262,69,0,619,619,
