Precinct,County,Registered Voters,Angela C. Elder-Johnson (I) (Rep)_Election Day Votes,Angela C. Elder-Johnson (I) (Rep)_Advanced Voting Votes,Angela C. Elder-Johnson (I) (Rep)_Absentee by Mail Votes,Angela C. Elder-Johnson (I) (Rep)_Provisional Votes,Angela C. Elder-Johnson (I) (Rep)_Choice Total,Total,
City Hall,Oconee,3910,331,1804,523,0,2658,2658,
Colham Ferry,Oconee,1847,201,920,249,1,1371,1371,
Antioch,Oconee,1397,246,604,190,0,1040,1040,
Farmington,Oconee,737,159,275,82,0,516,516,
Bishop,Oconee,1938,236,914,226,2,1378,1378,
High Shoals,Oconee,1939,233,1006,226,0,1465,1465,
North Oconee,Oconee,1244,186,607,165,0,958,958,
Dark Corner,Oconee,3541,466,1810,427,1,2704,2704,
Bogart,Oconee,2384,355,978,322,0,1655,1655,
Marswood Hall,Oconee,4091,317,1842,791,1,2951,2951,
East Oconee,Oconee,2647,162,1184,364,0,1710,1710,
Civic Center,Oconee,4396,340,2069,713,0,3122,3122,
