Precinct,County,Registered Voters,Daphne Jarriel Totten (Rep)_Election Day Votes,Daphne Jarriel Totten (Rep)_Advanced Voting Votes,Daphne Jarriel Totten (Rep)_Absentee by Mail Votes,Daphne Jarriel Totten (Rep)_Provisional Votes,Daphne Jarriel Totten (Rep)_Choice Total,Total,
1A,Effingham,1965,429,704,150,1,1284,1284,
1B,Effingham,3005,671,990,240,1,1902,1902,
1C,Effingham,1446,468,319,91,0,878,878,
1D,Effingham,2031,577,595,132,1,1305,1305,
2A,Effingham,3038,687,1036,277,1,2001,2001,
2B,Effingham,3010,592,892,255,1,1740,1740,
2C,Effingham,4621,754,1663,425,3,2845,2845,
3A,Effingham,1398,344,451,104,0,899,899,
3B,Effingham,1553,325,452,112,0,889,889,
3C,Effingham,2060,334,766,142,1,1243,1243,
3D,Effingham,3125,544,1124,213,3,1884,1884,
4A,Effingham,3726,540,1394,291,2,2227,2227,
4B,Effingham,1888,265,593,151,0,1009,1009,
4C,Effingham,2837,469,1038,238,0,1745,1745,
5A,Effingham,2924,488,1031,221,2,1742,1742,
5B,Effingham,3962,603,1259,313,1,2176,2176,
5C,Effingham,1684,285,586,155,1,1027,1027,
