Precinct,County,Registered Voters,Linda McDaniel (I) (Rep)_Election Day Votes,Linda McDaniel (I) (Rep)_Advanced Voting Votes,Linda McDaniel (I) (Rep)_Absentee by Mail Votes,Linda McDaniel (I) (Rep)_Provisional Votes,Linda McDaniel (I) (Rep)_Choice Total,Total,
1A,Effingham,1965,431,722,151,1,1305,1305,
1B,Effingham,3005,682,1007,244,1,1934,1934,
1C,Effingham,1446,471,330,97,0,898,898,
1D,Effingham,2031,584,599,138,1,1322,1322,
2A,Effingham,3038,694,1049,282,1,2026,2026,
2B,Effingham,3010,597,906,269,1,1773,1773,
2C,Effingham,4621,753,1696,434,4,2887,2887,
3A,Effingham,1398,355,466,109,0,930,930,
3B,Effingham,1553,345,471,126,0,942,942,
3C,Effingham,2060,341,788,145,1,1275,1275,
3D,Effingham,3125,553,1164,222,3,1942,1942,
4A,Effingham,3726,540,1435,306,2,2283,2283,
4B,Effingham,1888,271,612,161,0,1044,1044,
4C,Effingham,2837,472,1044,248,0,1764,1764,
5A,Effingham,2924,495,1040,228,2,1765,1765,
5B,Effingham,3962,610,1291,320,1,2222,2222,
5C,Effingham,1684,294,596,157,1,1048,1048,
