Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
Alexander,Burke,389,82,55,15,0,152,26,16,65,0,107,1,1,0,0,2,261,
Four Points,Burke,2558,445,469,136,0,1050,111,212,137,0,460,15,21,16,0,52,1562,
Girard,Burke,733,105,71,40,0,216,90,55,80,0,225,6,4,0,0,10,451,
Gough,Burke,434,40,59,15,0,114,47,38,97,0,182,3,0,0,0,3,299,
Greenscut,Burke,1036,141,213,40,0,394,77,89,88,0,254,6,11,0,0,17,665,
Keysville,Burke,476,59,40,14,0,113,93,10,30,0,133,5,2,2,0,9,255,
Midville,Burke,492,90,19,11,0,120,82,24,62,0,168,3,1,2,0,6,294,
Munnerlyn,Burke,299,58,46,3,0,107,23,28,26,0,77,0,1,1,0,2,186,
Sardis,Burke,1049,200,118,54,0,372,127,73,52,0,252,8,2,0,0,10,634,
Scotts Crossroads,Burke,294,37,20,4,0,61,36,35,42,0,113,1,3,1,0,5,179,
Telfair,Burke,1121,144,168,48,0,360,63,121,120,0,304,9,5,3,0,17,681,
St Clair,Burke,442,67,81,26,0,174,36,37,58,0,131,3,1,0,0,4,309,
Vidette,Burke,313,70,24,10,0,104,38,15,42,0,95,3,1,2,0,6,205,
North Waynesboro,Burke,2949,82,325,65,0,472,268,476,486,0,1230,4,18,11,0,33,1735,
South Waynesboro,Burke,3290,218,881,149,0,1248,206,425,313,0,944,10,24,12,0,46,2238,
Blakeney,Burke,681,34,116,10,0,160,69,88,72,0,229,1,1,0,0,2,391,
