Precinct,County,Registered Voters,Khadijah Abdur-Rahman (Dem)_Election Day Votes,Khadijah Abdur-Rahman (Dem)_Advanced Voting Votes,Khadijah Abdur-Rahman (Dem)_Absentee by Mail Votes,Khadijah Abdur-Rahman (Dem)_Provisional Votes,Khadijah Abdur-Rahman (Dem)_Choice Total,Total,
10A,Fulton,3186,231,942,522,5,1700,1700,
10B,Fulton,3965,235,1477,833,9,2554,2554,
10C,Fulton,2598,137,682,315,3,1137,1137,
10G,Fulton,1332,98,497,224,1,820,820,
10H1,Fulton,439,30,149,73,13,265,265,
10H2,Fulton,2623,173,540,325,7,1045,1045,
10I,Fulton,331,12,156,89,0,257,257,
10R,Fulton,928,96,196,82,9,383,383,
11C,Fulton,3149,159,1340,555,3,2057,2057,
CH01,Fulton,376,13,116,41,4,174,174,
CH02,Fulton,338,33,74,43,0,150,150,
CH03,Fulton,410,25,90,33,0,148,148,
CH04A,Fulton,825,36,265,100,0,401,401,
CH05,Fulton,429,26,75,43,0,144,144,
CP011,Fulton,1353,93,398,157,5,653,653,
CP012,Fulton,1469,83,524,206,5,818,818,
CP01B,Fulton,422,19,137,48,0,204,204,
CP02,Fulton,1208,74,356,163,1,594,594,
CP04A,Fulton,13,0,3,0,0,3,3,
CP04B,Fulton,38,1,4,8,0,13,13,
CP051,Fulton,1756,147,533,241,0,921,921,
CP05B,Fulton,153,20,38,9,4,71,71,
CP06A,Fulton,732,49,126,38,0,213,213,
CP07B,Fulton,7,2,2,0,0,4,4,
CP07D,Fulton,790,65,126,37,0,228,228,
CP07F,Fulton,266,22,35,6,0,63,63,
CP081,Fulton,373,34,54,15,5,108,108,
CP083,Fulton,240,11,19,3,0,33,33,
CP084,Fulton,1,0,0,0,0,0,0,
CP08A,Fulton,756,64,86,26,0,176,176,
EP02A,Fulton,2407,161,543,304,21,1029,1029,
EP02C,Fulton,522,17,190,64,0,271,271,
FA01A,Fulton,4032,240,1446,596,15,2297,2297,
FA01B,Fulton,5860,29,2291,847,8,3175,3175,
FA01C,Fulton,769,62,289,106,1,458,458,
FA01D,Fulton,321,19,121,8,15,163,163,
FC01,Fulton,325,21,129,25,2,177,177,
FC02,Fulton,585,14,28,8,2,52,52,
FC03,Fulton,17,1,8,0,7,16,16,
HP01,Fulton,3824,325,978,452,5,1760,1760,
PA01,Fulton,3006,205,924,361,14,1504,1504,
SC01A,Fulton,41,2,38,7,0,47,47,
SC01B,Fulton,2088,124,1125,294,10,1553,1553,
SC01C,Fulton,2249,85,1040,448,1,1574,1574,
SC02,Fulton,1426,42,718,251,2,1013,1013,
SC04,Fulton,1080,79,344,152,2,577,577,
SC05A,Fulton,721,58,322,85,4,469,469,
SC05D,Fulton,2808,184,1298,348,2,1832,1832,
SC05E,Fulton,688,45,253,126,3,427,427,
SC07A,Fulton,4506,244,1869,1013,10,3136,3136,
SC07C,Fulton,41,1,9,3,0,13,13,
SC07D,Fulton,2038,136,860,89,3,1088,1088,
SC08B,Fulton,4096,277,1540,636,11,2464,2464,
SC08D,Fulton,605,40,231,80,0,351,351,
SC08E,Fulton,724,59,302,64,3,428,428,
SC08G,Fulton,14,0,3,0,0,3,3,
SC08H,Fulton,1,0,0,0,0,0,0,
SC09A,Fulton,1865,179,534,225,4,942,942,
SC09B,Fulton,1920,128,720,355,2,1205,1205,
SC09C,Fulton,1852,182,530,290,0,1002,1002,
SC10,Fulton,1912,156,420,186,5,767,767,
SC11A,Fulton,1656,148,532,261,22,963,963,
SC11B,Fulton,1691,114,546,309,0,969,969,
SC13,Fulton,2895,167,1343,414,1,1925,1925,
SC14A,Fulton,1030,67,323,97,0,487,487,
SC15,Fulton,4522,279,1997,805,6,3087,3087,
SC15A,Fulton,2482,136,1299,103,0,1538,1538,
SC16A,Fulton,5175,290,2453,849,0,3592,3592,
SC211,Fulton,1828,101,834,294,0,1229,1229,
SC212,Fulton,4244,261,1728,603,9,2601,2601,
SC23A,Fulton,3854,341,1127,630,10,2108,2108,
SC23B,Fulton,557,56,167,110,2,335,335,
SC23C,Fulton,2606,208,865,393,2,1468,1468,
SC27,Fulton,2361,152,722,459,0,1333,1333,
SC29A,Fulton,3154,270,950,538,9,1767,1767,
SC30A,Fulton,157,5,43,58,5,111,111,
SC30B,Fulton,1110,61,356,151,0,568,568,
UC01A,Fulton,4234,335,1228,335,12,1910,1910,
UC01B,Fulton,428,39,142,29,4,214,214,
UC02A,Fulton,5609,328,2183,1131,18,3660,3660,
UC02B,Fulton,32,2,11,3,0,16,16,
UC02C,Fulton,3614,150,1237,131,14,1532,1532,
UC031,Fulton,2745,157,664,438,24,1283,1283,
UC032,Fulton,393,21,138,76,1,236,236,
