Precinct,County,Registered Voters,Brandon Beach (I) (Rep)_Election Day Votes,Brandon Beach (I) (Rep)_Advanced Voting Votes,Brandon Beach (I) (Rep)_Absentee by Mail Votes,Brandon Beach (I) (Rep)_Provisional Votes,Brandon Beach (I) (Rep)_Choice Total,Total,
AP05,Fulton,4776,327,1666,721,4,2718,2718,
AP06,Fulton,1967,141,841,268,0,1250,1250,
AP07A,Fulton,3910,235,1214,476,12,1937,1937,
AP07B,Fulton,1882,105,726,260,11,1102,1102,
AP09A,Fulton,4437,297,1489,600,8,2394,2394,
AP10,Fulton,992,63,416,130,26,635,635,
AP12A,Fulton,746,55,210,74,5,344,344,
AP12B,Fulton,947,56,178,107,5,346,346,
AP12C,Fulton,2367,135,892,277,11,1315,1315,
ML02A,Fulton,2580,285,1090,356,2,1733,1733,
ML02B,Fulton,1914,165,817,285,1,1268,1268,
ML03,Fulton,3718,311,1571,537,6,2425,2425,
ML03A,Fulton,301,17,145,17,2,181,181,
ML04,Fulton,3322,241,1325,465,26,2057,2057,
ML05,Fulton,4843,320,1694,609,12,2635,2635,
ML06A,Fulton,2181,164,519,165,4,852,852,
ML06B,Fulton,3119,195,838,349,4,1386,1386,
ML07A,Fulton,836,132,288,103,0,523,523,
ML07B,Fulton,1675,243,604,222,1,1070,1070,
