Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
01A,Fulton,3694,41,145,56,5,247,160,1662,737,20,2579,3,11,10,1,25,2851,
01B,Fulton,4327,79,159,62,1,301,242,1842,895,5,2984,11,16,15,0,42,3327,
01C,Fulton,1908,21,20,8,0,49,180,372,165,0,717,4,6,3,0,13,779,
01D,Fulton,754,7,13,13,1,34,24,284,123,4,435,0,2,1,0,3,472,
01E,Fulton,3720,40,167,79,1,287,101,1559,775,0,2435,7,19,11,0,37,2759,
01F,Fulton,1593,14,13,6,1,34,110,256,108,7,481,2,4,0,0,6,521,
01G,Fulton,2312,15,55,15,2,87,131,730,295,3,1159,2,12,3,0,17,1263,
01H,Fulton,896,6,7,3,0,16,64,212,122,7,405,1,0,3,0,4,425,
01I,Fulton,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
01J,Fulton,2848,17,42,12,1,72,217,720,333,17,1287,3,9,6,0,18,1377,
01P,Fulton,1444,16,7,4,1,28,208,220,171,4,603,3,2,2,0,7,638,
01R,Fulton,1550,20,8,5,4,37,202,137,117,12,468,4,2,6,0,12,517,
01S,Fulton,2118,20,23,12,1,56,228,486,207,7,928,5,3,2,0,10,994,
01T,Fulton,1799,27,26,13,1,67,156,469,180,3,808,6,2,3,0,11,886,
02A,Fulton,4884,83,410,170,3,666,137,1728,1087,23,2975,11,25,18,0,54,3695,
02A1,Fulton,733,13,67,6,2,88,25,271,56,2,354,3,4,1,0,8,450,
02B,Fulton,4020,36,96,30,6,168,165,764,290,23,1242,6,9,4,2,21,1431,
02C,Fulton,2034,23,75,31,9,138,75,689,382,29,1175,2,3,6,0,11,1324,
02D,Fulton,5539,92,283,97,6,478,224,1879,1071,26,3200,11,19,11,5,46,3724,
02E,Fulton,2009,35,74,34,0,143,94,892,477,0,1463,6,6,4,0,16,1622,
02F1,Fulton,3221,39,163,74,4,280,94,1254,741,3,2092,7,19,10,1,37,2409,
02F2,Fulton,851,17,33,11,4,65,41,254,135,2,432,3,2,2,0,7,504,
02G,Fulton,3895,82,193,74,0,349,163,1610,745,5,2523,7,21,15,1,44,2916,
02J,Fulton,2273,33,82,46,2,163,86,887,428,11,1412,5,16,12,0,33,1608,
02K,Fulton,1461,25,92,18,0,135,43,583,298,0,924,3,3,8,0,14,1073,
02L1,Fulton,5546,98,375,190,5,668,167,1989,1273,11,3440,11,27,22,0,60,4168,
02L1A,Fulton,1477,24,79,9,3,115,72,552,96,4,724,2,4,1,1,8,847,
02L2,Fulton,2249,44,140,36,2,222,105,829,375,5,1314,0,5,5,0,10,1546,
02S,Fulton,790,14,17,12,0,43,37,281,132,0,450,3,3,3,0,9,502,
02W,Fulton,978,22,61,21,0,104,48,374,122,0,544,0,2,5,0,7,655,
