Precinct,County,Registered Voters,"Patrick """"Pat"""" Labat (Dem)_Election Day Votes","Patrick """"Pat"""" Labat (Dem)_Advanced Voting Votes","Patrick """"Pat"""" Labat (Dem)_Absentee by Mail Votes","Patrick """"Pat"""" Labat (Dem)_Provisional Votes","Patrick """"Pat"""" Labat (Dem)_Choice Total",Total,
01A,Fulton,3694,172,1685,691,24,2572,2572,
01B,Fulton,4327,268,1847,838,5,2958,2958,
01C,Fulton,1908,195,376,158,0,729,729,
01D,Fulton,754,24,284,112,8,428,428,
01E,Fulton,3720,117,1567,733,1,2418,2418,
01F,Fulton,1593,119,253,98,7,477,477,
01G,Fulton,2312,138,746,281,3,1168,1168,
01H,Fulton,896,64,205,119,5,393,393,
01I,Fulton,1,0,1,0,0,1,1,
01J,Fulton,2848,224,724,325,15,1288,1288,
01P,Fulton,1444,207,217,166,4,594,594,
01R,Fulton,1550,210,143,120,11,484,484,
01S,Fulton,2118,236,464,196,7,903,903,
01T,Fulton,1799,180,461,178,4,823,823,
02A,Fulton,4884,179,1879,1030,19,3107,3107,
02A1,Fulton,733,30,307,50,1,388,388,
02B,Fulton,4020,175,805,279,23,1282,1282,
02C,Fulton,2034,83,706,375,30,1194,1194,
02D,Fulton,5539,280,1960,1040,27,3307,3307,
02E,Fulton,2009,101,887,435,0,1423,1423,
02F1,Fulton,3221,117,1293,677,5,2092,2092,
02F2,Fulton,851,48,266,131,4,449,449,
02G,Fulton,3895,205,1637,717,6,2565,2565,
02J,Fulton,2273,104,890,408,8,1410,1410,
02K,Fulton,1461,46,610,275,0,931,931,
02L1,Fulton,5546,204,2121,1232,10,3567,3567,
02L1A,Fulton,1477,81,560,78,5,724,724,
02L2,Fulton,2249,129,859,355,4,1347,1347,
02S,Fulton,790,44,278,129,0,451,451,
02W,Fulton,978,61,399,122,0,582,582,
03A,Fulton,2230,137,378,211,19,745,745,
03B,Fulton,777,55,98,63,0,216,216,
03C,Fulton,1879,138,340,229,6,713,713,
03D,Fulton,1235,86,218,102,21,427,427,
03E,Fulton,2894,298,480,206,39,1023,1023,
03F,Fulton,2328,134,824,328,3,1289,1289,
03G,Fulton,1033,80,149,40,4,273,273,
03H,Fulton,1091,85,222,95,0,402,402,
03I,Fulton,1607,104,333,106,18,561,561,
03L,Fulton,748,67,93,43,0,203,203,
03M,Fulton,965,156,240,83,2,481,481,
03N,Fulton,2804,228,460,153,23,864,864,
03P1A,Fulton,4404,273,1382,498,14,2167,2167,
03P2,Fulton,23,0,7,0,0,7,7,
03S,Fulton,908,97,202,105,0,404,404,
03T,Fulton,1742,145,496,126,4,771,771,
04A,Fulton,1554,95,319,160,0,574,574,
04B,Fulton,2948,124,411,206,0,741,741,
04C,Fulton,150,11,27,12,1,51,51,
04D,Fulton,1736,152,452,186,5,795,795,
04F,Fulton,2786,189,771,201,11,1172,1172,
04G,Fulton,1025,118,190,81,1,390,390,
04I,Fulton,4604,74,450,172,6,702,702,
04J,Fulton,1617,47,110,17,10,184,184,
04K,Fulton,2736,192,697,351,14,1254,1254,
04L,Fulton,2014,167,555,188,6,916,916,
04M,Fulton,979,102,151,67,5,325,325,
04S,Fulton,2541,263,601,300,8,1172,1172,
04T,Fulton,1297,133,340,155,19,647,647,
04V,Fulton,3573,372,702,220,3,1297,1297,
04W,Fulton,3365,56,130,27,6,219,219,
04X1,Fulton,2283,165,599,262,2,1028,1028,
04X2,Fulton,846,59,237,93,0,389,389,
05A1,Fulton,2936,134,1264,590,1,1989,1989,
05A2,Fulton,3343,143,1436,590,10,2179,2179,
05B,Fulton,2171,169,615,259,3,1046,1046,
05C,Fulton,135,6,27,5,0,38,38,
05D,Fulton,541,19,58,9,2,88,88,
05F,Fulton,248,22,85,24,0,131,131,
05J,Fulton,684,36,272,118,1,427,427,
05K,Fulton,2826,150,715,273,5,1143,1143,
06B,Fulton,1889,92,782,367,7,1248,1248,
06D,Fulton,6160,325,2188,1937,10,4460,4460,
06D1,Fulton,2539,68,987,152,4,1211,1211,
06D2,Fulton,850,25,326,48,1,400,400,
06E,Fulton,2344,114,868,381,3,1366,1366,
06F,Fulton,2841,116,1143,494,5,1758,1758,
06G,Fulton,588,20,221,121,1,363,363,
06I,Fulton,4072,298,1425,532,22,2277,2277,
06J,Fulton,2770,93,1055,690,1,1839,1839,
06L1,Fulton,991,36,369,223,2,630,630,
06L2,Fulton,726,26,261,131,1,419,419,
06N,Fulton,1770,76,524,282,10,892,892,
06Q,Fulton,571,48,210,61,4,323,323,
06R,Fulton,2015,61,697,360,2,1120,1120,
07A,Fulton,7691,490,2375,1195,18,4078,4078,
07B,Fulton,2952,144,959,563,1,1667,1667,
07C,Fulton,4512,213,1199,916,11,2339,2339,
07D,Fulton,4879,281,1598,621,20,2520,2520,
07E,Fulton,2247,66,755,528,5,1354,1354,
07F,Fulton,3790,200,1314,607,22,2143,2143,
07H,Fulton,2060,94,695,402,0,1191,1191,
07J,Fulton,3041,174,1061,501,10,1746,1746,
07M,Fulton,2401,147,674,377,0,1198,1198,
07N,Fulton,2139,133,650,353,9,1145,1145,
08A,Fulton,3084,188,1065,446,7,1706,1706,
08B,Fulton,3498,148,1266,545,0,1959,1959,
08C,Fulton,1500,59,511,240,0,810,810,
08D,Fulton,1073,27,370,181,13,591,591,
08E,Fulton,2568,95,841,495,0,1431,1431,
08F1,Fulton,2187,83,811,358,4,1256,1256,
08G,Fulton,3086,147,763,541,5,1456,1456,
08H,Fulton,2556,85,833,498,2,1418,1418,
08J,Fulton,3344,156,1346,445,6,1953,1953,
08K,Fulton,1049,75,388,206,0,669,669,
08L,Fulton,4505,222,1590,790,20,2622,2622,
08M,Fulton,2295,133,764,325,4,1226,1226,
08N1,Fulton,824,25,279,137,2,443,443,
08N2,Fulton,1616,66,519,310,2,897,897,
08P,Fulton,1887,119,640,217,6,982,982,
09A,Fulton,3856,196,1556,570,8,2330,2330,
09B,Fulton,464,27,77,63,0,167,167,
