Precinct,County,Registered Voters,Fani Willis (Dem)_Election Day Votes,Fani Willis (Dem)_Advanced Voting Votes,Fani Willis (Dem)_Absentee by Mail Votes,Fani Willis (Dem)_Provisional Votes,Fani Willis (Dem)_Choice Total,Total,
01A,Fulton,3694,174,1699,705,24,2602,2602,
01B,Fulton,4327,262,1864,857,5,2988,2988,
01C,Fulton,1908,194,375,160,0,729,729,
01D,Fulton,754,26,281,114,7,428,428,
01E,Fulton,3720,119,1581,747,1,2448,2448,
01F,Fulton,1593,119,255,102,7,483,483,
01G,Fulton,2312,141,748,280,4,1173,1173,
01H,Fulton,896,66,209,119,6,400,400,
01I,Fulton,1,0,1,0,0,1,1,
01J,Fulton,2848,229,728,326,17,1300,1300,
01P,Fulton,1444,208,222,168,4,602,602,
01R,Fulton,1550,207,145,122,12,486,486,
01S,Fulton,2118,237,471,204,8,920,920,
01T,Fulton,1799,178,468,184,4,834,834,
02A,Fulton,4884,181,1898,1051,20,3150,3150,
02A1,Fulton,733,29,309,50,2,390,390,
02B,Fulton,4020,177,806,285,28,1296,1296,
02C,Fulton,2034,84,712,383,30,1209,1209,
02D,Fulton,5539,277,1976,1053,30,3336,3336,
02E,Fulton,2009,102,901,444,0,1447,1447,
02F1,Fulton,3221,115,1294,692,6,2107,2107,
02F2,Fulton,851,48,268,134,4,454,454,
02G,Fulton,3895,207,1644,726,6,2583,2583,
02J,Fulton,2273,102,899,417,9,1427,1427,
02K,Fulton,1461,47,608,279,0,934,934,
02L1,Fulton,5546,210,2150,1251,11,3622,3622,
02L1A,Fulton,1477,82,561,79,6,728,728,
02L2,Fulton,2249,130,861,357,5,1353,1353,
02S,Fulton,790,46,282,133,0,461,461,
02W,Fulton,978,60,400,123,0,583,583,
03A,Fulton,2230,144,386,219,18,767,767,
03B,Fulton,777,55,99,61,0,215,215,
03C,Fulton,1879,140,348,228,7,723,723,
03D,Fulton,1235,88,218,105,22,433,433,
03E,Fulton,2894,298,480,207,44,1029,1029,
03F,Fulton,2328,139,821,335,4,1299,1299,
03G,Fulton,1033,78,150,41,3,272,272,
03H,Fulton,1091,87,221,95,0,403,403,
03I,Fulton,1607,104,336,109,19,568,568,
03L,Fulton,748,65,94,43,0,202,202,
03M,Fulton,965,161,242,83,2,488,488,
03N,Fulton,2804,225,471,154,23,873,873,
03P1A,Fulton,4404,272,1395,510,13,2190,2190,
03P2,Fulton,23,0,7,0,0,7,7,
03S,Fulton,908,97,203,103,0,403,403,
03T,Fulton,1742,146,499,128,5,778,778,
04A,Fulton,1554,98,317,157,0,572,572,
04B,Fulton,2948,127,406,210,0,743,743,
04C,Fulton,150,11,27,12,1,51,51,
04D,Fulton,1736,155,454,187,5,801,801,
04F,Fulton,2786,189,779,205,11,1184,1184,
04G,Fulton,1025,116,192,82,1,391,391,
04I,Fulton,4604,76,457,173,7,713,713,
