Precinct,County,Registered Voters,Alan Toney (I)_Election Day Votes,Alan Toney (I)_Advanced Voting Votes,Alan Toney (I)_Absentee by Mail Votes,Alan Toney (I)_Provisional Votes,Alan Toney (I)_Choice Total,Total,
01A,Fulton,3694,159,1483,597,18,2257,2257,
01B,Fulton,4327,237,1634,728,4,2603,2603,
01C,Fulton,1908,169,312,137,0,618,618,
01D,Fulton,754,24,251,91,7,373,373,
01E,Fulton,3720,106,1401,635,1,2143,2143,
01F,Fulton,1593,103,218,91,4,416,416,
01G,Fulton,2312,122,655,239,3,1019,1019,
01H,Fulton,896,50,164,99,4,317,317,
01I,Fulton,1,0,1,0,0,1,1,
01J,Fulton,2848,200,622,261,12,1095,1095,
01P,Fulton,1444,161,190,141,4,496,496,
01R,Fulton,1550,169,113,99,8,389,389,
01S,Fulton,2118,208,403,160,3,774,774,
01T,Fulton,1799,153,386,154,4,697,697,
02A,Fulton,4884,178,1701,931,19,2829,2829,
02A1,Fulton,733,32,278,46,2,358,358,
02B,Fulton,4020,146,669,234,26,1075,1075,
02C,Fulton,2034,76,610,323,28,1037,1037,
02D,Fulton,5539,243,1732,905,18,2898,2898,
02E,Fulton,2009,98,800,370,0,1268,1268,
02F1,Fulton,3221,106,1180,601,5,1892,1892,
02F2,Fulton,851,45,225,109,2,381,381,
02G,Fulton,3895,181,1430,619,6,2236,2236,
02J,Fulton,2273,96,767,341,7,1211,1211,
02K,Fulton,1461,43,513,233,0,789,789,
02L1,Fulton,5546,199,1857,1112,7,3175,3175,
02L1A,Fulton,1477,74,488,68,5,635,635,
02L2,Fulton,2249,123,781,305,6,1215,1215,
02S,Fulton,790,37,240,113,0,390,390,
02W,Fulton,978,58,365,103,0,526,526,
03A,Fulton,2230,102,316,190,16,624,624,
03B,Fulton,777,50,78,58,0,186,186,
03C,Fulton,1879,109,251,187,4,551,551,
03D,Fulton,1235,70,175,85,14,344,344,
03E,Fulton,2894,243,405,172,30,850,850,
03F,Fulton,2328,126,759,289,3,1177,1177,
03G,Fulton,1033,70,126,37,2,235,235,
03H,Fulton,1091,71,174,73,1,319,319,
03I,Fulton,1607,90,308,102,18,518,518,
