Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
01A,Fulton,3694,45,154,67,5,271,157,1638,709,20,2524,7,27,20,1,55,2850,
01B,Fulton,4327,75,177,76,1,329,233,1811,854,5,2903,22,33,18,0,73,3305,
01C,Fulton,1908,20,17,6,0,43,175,368,156,0,699,9,11,6,0,26,768,
01D,Fulton,754,8,18,13,1,40,22,276,118,6,422,1,4,0,1,6,468,
01E,Fulton,3720,36,189,91,1,317,103,1528,738,0,2369,7,26,11,0,44,2730,
01F,Fulton,1593,4,13,5,1,23,119,254,100,5,478,4,6,6,2,18,519,
01G,Fulton,2312,14,53,16,1,84,129,724,280,3,1136,2,21,7,1,31,1251,
01H,Fulton,896,3,7,8,0,18,62,206,113,6,387,6,6,3,0,15,420,
01I,Fulton,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
01J,Fulton,2848,22,44,15,2,83,214,701,308,15,1238,5,27,10,0,42,1363,
01P,Fulton,1444,10,5,6,2,23,207,222,161,3,593,7,1,3,0,11,627,
01R,Fulton,1550,15,8,8,2,33,198,135,114,12,459,10,4,4,1,19,511,
01S,Fulton,2118,17,25,12,0,54,232,473,200,8,913,7,8,4,0,19,986,
01T,Fulton,1799,29,27,19,1,76,154,465,172,3,794,8,6,5,0,19,889,
02A,Fulton,4884,103,466,216,7,792,120,1671,1001,18,2810,13,33,19,1,66,3668,
