Precinct,County,Registered Voters,"Kevin """"Troop"""" Johnson (Rep)_Election Day Votes","Kevin """"Troop"""" Johnson (Rep)_Advanced Voting Votes","Kevin """"Troop"""" Johnson (Rep)_Absentee by Mail Votes","Kevin """"Troop"""" Johnson (Rep)_Provisional Votes","Kevin """"Troop"""" Johnson (Rep)_Choice Total",Total,
Ellijay South,Gilmer,3172,385,1157,378,2,1922,1922,
Cartecay,Gilmer,1598,407,487,194,2,1090,1090,
Tails Creek,Gilmer,1782,465,475,140,0,1080,1080,
Town Creek,Gilmer,1234,318,334,107,0,759,759,
Leaches,Gilmer,2939,547,976,343,2,1868,1868,
Cherry Log,Gilmer,926,258,236,116,0,610,610,
Boardtown,Gilmer,1391,295,506,207,3,1011,1011,
Mountaintown,Gilmer,1139,273,362,129,1,765,765,
East Ellijay,Gilmer,1655,247,626,216,0,1089,1089,
Ellijay North,Gilmer,1810,281,610,206,1,1098,1098,
Yukon,Gilmer,1288,346,352,121,0,819,819,
Big Creek,Gilmer,1479,369,404,189,0,962,962,
Ellijay Northeast,Gilmer,1851,231,705,226,0,1162,1162,
