Precinct,County,Registered Voters,Butch Parrish (I) (Rep)_Election Day Votes,Butch Parrish (I) (Rep)_Advanced Voting Votes,Butch Parrish (I) (Rep)_Absentee by Mail Votes,Butch Parrish (I) (Rep)_Provisional Votes,Butch Parrish (I) (Rep)_Choice Total,Ann P.D. Gleason (Dem)_Election Day Votes,Ann P.D. Gleason (Dem)_Advanced Voting Votes,Ann P.D. Gleason (Dem)_Absentee by Mail Votes,Ann P.D. Gleason (Dem)_Provisional Votes,Ann P.D. Gleason (Dem)_Choice Total,Total,calc_participation
Oak Park,Emanuel,686.0,257.0,149.0,43.0,0.0,449.0,12.0,8.0,9.0,0.0,29.0,478.0,69.7
Cross-Green,Emanuel,241.0,51.0,35.0,10.0,0.0,96.0,40.0,19.0,23.0,0.0,82.0,178.0,73.9
Swainsboro,Emanuel,6988.0,689.0,1837.0,577.0,1.0,3104.0,323.0,635.0,394.0,0.0,1352.0,4456.0,63.8
Summertown,Emanuel,504.0,154.0,110.0,37.0,0.0,301.0,20.0,17.0,27.0,0.0,64.0,365.0,72.4
Stillmore,Emanuel,608.0,149.0,99.0,30.0,0.0,278.0,51.0,35.0,17.0,0.0,103.0,381.0,62.7
Blundale,Emanuel,756.0,221.0,251.0,65.0,0.0,537.0,8.0,14.0,4.0,0.0,26.0,563.0,74.5
Canoochee,Emanuel,681.0,248.0,138.0,33.0,0.0,419.0,23.0,34.0,22.0,0.0,79.0,498.0,73.1
Garfield,Emanuel,489.0,199.0,74.0,24.0,0.0,297.0,28.0,20.0,20.0,0.0,68.0,365.0,74.6
Nunez,Emanuel,384.0,126.0,83.0,22.0,0.0,231.0,22.0,13.0,7.0,0.0,42.0,273.0,71.1
Twin City,Emanuel,1551.0,307.0,374.0,93.0,0.0,774.0,113.0,129.0,89.0,0.0,331.0,1105.0,71.2
Adrian,Emanuel,827.0,237.0,160.0,95.0,0.0,492.0,27.0,20.0,15.0,1.0,63.0,555.0,67.1
Jack Strickland Comm Center,Candler,6300.0,451.0,2357.0,422.0,0.0,3230.0,163.0,612.0,320.0,1.0,1096.0,4326.0,68.7
Statesboro,Bulloch,6312.0,402.0,1181.0,411.0,4.0,1998.0,389.0,913.0,577.0,8.0,1887.0,3885.0,61.5
Portal,Bulloch,1735.0,438.0,282.0,120.0,0.0,840.0,88.0,95.0,108.0,0.0,291.0,1131.0,65.2
Register,Bulloch,969.0,83.0,64.0,37.0,1.0,185.0,25.0,38.0,33.0,0.0,96.0,281.0,29.0
Primary School,Jenkins,974.0,45.0,150.0,46.0,0.0,241.0,92.0,148.0,117.0,0.0,357.0,598.0,61.4
Court House,Jenkins,1039.0,42.0,197.0,63.0,0.0,302.0,82.0,147.0,103.0,0.0,332.0,634.0,61.0
Perkins,Jenkins,1021.0,130.0,316.0,84.0,3.0,533.0,32.0,59.0,56.0,0.0,147.0,680.0,66.6
Senior Citizens Center,Jenkins,974.0,145.0,355.0,89.0,0.0,589.0,17.0,49.0,35.0,0.0,101.0,690.0,70.8
Four Points,Jenkins,1058.0,202.0,212.0,69.0,0.0,483.0,63.0,95.0,68.0,1.0,227.0,710.0,67.1
