Precinct,County,Registered Voters,Todd Chapman_Election Day Votes,Todd Chapman_Advanced Voting Votes,Todd Chapman_Absentee by Mail Votes,Todd Chapman_Provisional Votes,Todd Chapman_Choice Total,Michael Crow_Election Day Votes,Michael Crow_Advanced Voting Votes,Michael Crow_Absentee by Mail Votes,Michael Crow_Provisional Votes,Michael Crow_Choice Total,Mike Haynes (I)_Election Day Votes,Mike Haynes (I)_Advanced Voting Votes,Mike Haynes (I)_Absentee by Mail Votes,Mike Haynes (I)_Provisional Votes,Mike Haynes (I)_Choice Total,Total,Ind_total
Wilson,Hall,0.0,281.0,1049.0,659.0,1.0,1990.0,216.0,648.0,426.0,1.0,1291.0,293.0,1457.0,1028.0,0.0,2778.0,6059.0,2778.0
Chicopee,Hall,0.0,228.0,685.0,225.0,1.0,1139.0,192.0,468.0,157.0,0.0,817.0,230.0,750.0,287.0,0.0,1267.0,3223.0,1267.0
Oakwood I,Hall,0.0,211.0,504.0,146.0,0.0,861.0,142.0,319.0,97.0,0.0,558.0,203.0,546.0,200.0,0.0,949.0,2368.0,949.0
Oakwood II,Hall,0.0,275.0,869.0,305.0,0.0,1449.0,185.0,553.0,184.0,0.0,922.0,319.0,1201.0,474.0,1.0,1995.0,4366.0,1995.0
Flowery Branch I,Hall,0.0,256.0,932.0,316.0,0.0,1504.0,195.0,684.0,256.0,0.0,1135.0,353.0,1247.0,491.0,0.0,2091.0,4730.0,2091.0
Flowery Branch II,Hall,0.0,272.0,696.0,209.0,3.0,1180.0,175.0,523.0,164.0,1.0,863.0,342.0,923.0,291.0,3.0,1559.0,3602.0,1559.0
Roberts,Hall,0.0,329.0,1129.0,469.0,1.0,1928.0,203.0,792.0,328.0,0.0,1323.0,419.0,1683.0,725.0,0.0,2827.0,6078.0,2827.0
Morgan I,Hall,0.0,303.0,960.0,219.0,0.0,1482.0,195.0,575.0,153.0,0.0,923.0,375.0,1295.0,366.0,0.0,2036.0,4441.0,2036.0
Morgan II,Hall,0.0,279.0,1063.0,332.0,1.0,1675.0,191.0,673.0,232.0,0.0,1096.0,314.0,1396.0,482.0,2.0,2194.0,4965.0,2194.0
Candler,Hall,0.0,410.0,1215.0,342.0,0.0,1967.0,309.0,744.0,235.0,0.0,1288.0,417.0,1502.0,547.0,0.0,2466.0,5721.0,2466.0
Tadmore,Hall,0.0,448.0,1024.0,344.0,3.0,1819.0,354.0,707.0,249.0,0.0,1310.0,400.0,1002.0,416.0,3.0,1821.0,4950.0,1821.0
Glade,Hall,0.0,277.0,784.0,239.0,3.0,1303.0,143.0,451.0,146.0,0.0,740.0,273.0,979.0,332.0,0.0,1584.0,3627.0,1584.0
Lula,Hall,0.0,346.0,744.0,204.0,6.0,1300.0,224.0,409.0,98.0,5.0,736.0,416.0,948.0,263.0,4.0,1631.0,3667.0,1631.0
Clermont,Hall,0.0,248.0,1090.0,183.0,0.0,1521.0,128.0,443.0,79.0,0.0,650.0,306.0,1390.0,330.0,1.0,2027.0,4198.0,2027.0
Quillians,Hall,0.0,153.0,903.0,195.0,0.0,1251.0,73.0,331.0,66.0,1.0,471.0,182.0,1190.0,275.0,1.0,1648.0,3370.0,1648.0
Bark Camp,Hall,0.0,325.0,1471.0,377.0,0.0,2173.0,208.0,754.0,223.0,0.0,1185.0,374.0,1910.0,602.0,3.0,2889.0,6247.0,2889.0
