Precinct,County,Registered Voters,Thomas Yarborough (I)_Election Day Votes,Thomas Yarborough (I)_Advanced Voting Votes,Thomas Yarborough (I)_Absentee by Mail Votes,Thomas Yarborough (I)_Provisional Votes,Thomas Yarborough (I)_Choice Total,Total,Richard S. Joslyn (I)_Election Day Votes,Richard S. Joslyn (I)_Advanced Voting Votes,Richard S. Joslyn (I)_Absentee by Mail Votes,Richard S. Joslyn (I)_Provisional Votes,Richard S. Joslyn (I)_Choice Total,calc_participation
Gray,Jones,0.0,251.0,1149.0,280.0,0.0,1680.0,1680.0,,,,,,
Hawkins,Jones,0.0,358.0,830.0,392.0,0.0,1580.0,1580.0,,,,,,
Ethridge,Jones,0.0,213.0,590.0,180.0,0.0,983.0,983.0,,,,,,
Clinton,Jones,0.0,311.0,927.0,263.0,2.0,1503.0,1503.0,,,,,,
Roberts,Jones,0.0,486.0,686.0,276.0,1.0,1449.0,1449.0,,,,,,
Davidson,Jones,0.0,323.0,468.0,118.0,0.0,909.0,909.0,,,,,,
Pope,Jones,0.0,346.0,590.0,175.0,1.0,1112.0,1112.0,,,,,,
Barron,Jones,0.0,292.0,423.0,129.0,0.0,844.0,844.0,,,,,,
Sanders,Jones,0.0,94.0,14.0,15.0,0.0,123.0,123.0,,,,,,
Finney,Jones,0.0,597.0,812.0,296.0,1.0,1706.0,1706.0,,,,,,
Devereux Fire Station,Hancock,1006.0,,,,,,537.0,112.0,265.0,160.0,0.0,537.0,53.4
St Mark,Hancock,576.0,,,,,,247.0,72.0,117.0,58.0,0.0,247.0,42.9
Courthouse,Hancock,931.0,,,,,,424.0,86.0,204.0,133.0,1.0,424.0,45.5
Second Beulah,Hancock,472.0,,,,,,257.0,53.0,97.0,107.0,0.0,257.0,54.4
Mayfield Community Center,Hancock,356.0,,,,,,151.0,48.0,36.0,67.0,0.0,151.0,42.4
Power of God,Hancock,731.0,,,,,,310.0,78.0,133.0,99.0,0.0,310.0,42.4
Warren Chapel,Hancock,268.0,,,,,,150.0,25.0,69.0,56.0,0.0,150.0,56.0
Youth Center,Hancock,975.0,,,,,,422.0,81.0,178.0,163.0,0.0,422.0,43.3
Second Darrien,Hancock,364.0,,,,,,207.0,61.0,55.0,91.0,0.0,207.0,56.9
Sparta 4C,Hancock,148.0,,,,,,79.0,16.0,18.0,45.0,0.0,79.0,53.4
