Precinct,County,Registered Voters,Rebecca Liles Grist (I) (Dem)_Election Day Votes,Rebecca Liles Grist (I) (Dem)_Advanced Voting Votes,Rebecca Liles Grist (I) (Dem)_Absentee by Mail Votes,Rebecca Liles Grist (I) (Dem)_Provisional Votes,Rebecca Liles Grist (I) (Dem)_Choice Total,Total,Ann Pickett (I) (Rep)_Election Day Votes,Ann Pickett (I) (Rep)_Advanced Voting Votes,Ann Pickett (I) (Rep)_Absentee by Mail Votes,Ann Pickett (I) (Rep)_Provisional Votes,Ann Pickett (I) (Rep)_Choice Total,calc_participation,Dem_total,Rep_total
East Macon 1,Bibb,2108.0,238.0,362.0,319.0,6.0,925.0,925.0,,,,,,43.9,925.0,
East Macon 2,Bibb,3932.0,455.0,993.0,740.0,7.0,2195.0,2195.0,,,,,,55.8,2195.0,
East Macon 3,Bibb,3494.0,363.0,855.0,583.0,7.0,1808.0,1808.0,,,,,,51.7,1808.0,
East Macon 4,Bibb,2280.0,352.0,498.0,453.0,6.0,1309.0,1309.0,,,,,,57.4,1309.0,
East Macon 5,Bibb,2552.0,308.0,633.0,486.0,2.0,1429.0,1429.0,,,,,,56.0,1429.0,
Godfrey 1,Bibb,6283.0,600.0,1479.0,977.0,5.0,3061.0,3061.0,,,,,,48.7,3061.0,
Godfrey 2,Bibb,2158.0,219.0,341.0,258.0,1.0,819.0,819.0,,,,,,38.0,819.0,
Godfrey 3,Bibb,3292.0,393.0,720.0,451.0,6.0,1570.0,1570.0,,,,,,47.7,1570.0,
Godfrey 4,Bibb,2231.0,256.0,344.0,263.0,1.0,864.0,864.0,,,,,,38.7,864.0,
Godfrey 5,Bibb,4761.0,655.0,1122.0,641.0,4.0,2422.0,2422.0,,,,,,50.9,2422.0,
Hazzard 1,Bibb,3377.0,465.0,764.0,511.0,3.0,1743.0,1743.0,,,,,,51.6,1743.0,
Hazzard 2,Bibb,4173.0,675.0,1065.0,494.0,5.0,2239.0,2239.0,,,,,,53.7,2239.0,
Hazzard 3,Bibb,7068.0,686.0,1988.0,1103.0,12.0,3789.0,3789.0,,,,,,53.6,3789.0,
Hazzard 4,Bibb,4745.0,598.0,1382.0,750.0,4.0,2734.0,2734.0,,,,,,57.6,2734.0,
Howard 1,Bibb,3436.0,376.0,1008.0,641.0,3.0,2028.0,2028.0,,,,,,59.0,2028.0,
Howard 2,Bibb,3394.0,388.0,958.0,564.0,4.0,1914.0,1914.0,,,,,,56.4,1914.0,
Howard 3,Bibb,6397.0,718.0,1851.0,981.0,4.0,3554.0,3554.0,,,,,,55.6,3554.0,
Howard 4,Bibb,1711.0,200.0,491.0,253.0,1.0,945.0,945.0,,,,,,55.2,945.0,
Howard 5,Bibb,2272.0,346.0,592.0,239.0,4.0,1181.0,1181.0,,,,,,52.0,1181.0,
Howard 6,Bibb,2213.0,266.0,662.0,316.0,8.0,1252.0,1252.0,,,,,,56.6,1252.0,
Howard 7,Bibb,2897.0,380.0,818.0,479.0,3.0,1680.0,1680.0,,,,,,58.0,1680.0,
Rutland 1,Bibb,5704.0,780.0,1499.0,740.0,4.0,3023.0,3023.0,,,,,,53.0,3023.0,
Rutland 2,Bibb,3409.0,541.0,735.0,369.0,5.0,1650.0,1650.0,,,,,,48.4,1650.0,
Vineville 1,Bibb,3572.0,374.0,867.0,561.0,3.0,1805.0,1805.0,,,,,,50.5,1805.0,
Vineville 2,Bibb,2067.0,255.0,428.0,362.0,0.0,1045.0,1045.0,,,,,,50.6,1045.0,
Vineville 3,Bibb,3127.0,332.0,756.0,527.0,4.0,1619.0,1619.0,,,,,,51.8,1619.0,
Vineville 4,Bibb,4097.0,543.0,951.0,625.0,9.0,2128.0,2128.0,,,,,,51.9,2128.0,
Vineville 5,Bibb,2359.0,277.0,668.0,357.0,2.0,1304.0,1304.0,,,,,,55.3,1304.0,
Vineville 6,Bibb,3021.0,389.0,764.0,510.0,5.0,1668.0,1668.0,,,,,,55.2,1668.0,
Warrior 1,Bibb,2617.0,466.0,535.0,320.0,2.0,1323.0,1323.0,,,,,,50.6,1323.0,
Warrior 2,Bibb,3232.0,395.0,840.0,387.0,3.0,1625.0,1625.0,,,,,,50.3,1625.0,
Senior Center,Stephens,0.0,,,,,,10273.0,1395.0,7206.0,1668.0,4.0,10273.0,,,10273.0
