Precinct,County,Registered Voters,Jackie Ward Taylor (I) (Rep)_Election Day Votes,Jackie Ward Taylor (I) (Rep)_Advanced Voting Votes,Jackie Ward Taylor (I) (Rep)_Absentee by Mail Votes,Jackie Ward Taylor (I) (Rep)_Provisional Votes,Jackie Ward Taylor (I) (Rep)_Choice Total,Total,
Hollis Hand,Troup,3554,512,1345,554,1,2412,2412,
Administration Bldg,Troup,3907,350,647,341,4,1342,1342,
Hammett Rd,Troup,4354,487,969,436,5,1897,1897,
Griggs Center,Troup,2457,185,244,158,4,591,591,
West Point,Troup,2054,305,261,156,3,725,725,
Hogansville,Troup,3806,381,1445,328,3,2157,2157,
East Vernon,Troup,3117,644,1128,396,4,2172,2172,
Rosemont,Troup,3893,615,1674,502,4,2795,2795,
McClendon,Troup,3533,587,1501,352,7,2447,2447,
Long Cane,Troup,3249,690,1092,296,3,2081,2081,
Gardner Newman,Troup,2876,333,989,293,5,1620,1620,
Gray Hill,Troup,1878,502,492,133,7,1134,1134,
Highland,Troup,1686,175,462,163,2,802,802,
Northside,Troup,2600,290,852,287,4,1433,1433,
