Precinct,County,Registered Voters,Shane Frailey (I) (Rep)_Election Day Votes,Shane Frailey (I) (Rep)_Advanced Voting Votes,Shane Frailey (I) (Rep)_Absentee by Mail Votes,Shane Frailey (I) (Rep)_Provisional Votes,Shane Frailey (I) (Rep)_Choice Total,Total,
Hollis Hand,Troup,3554,517,1352,580,1,2450,2450,
Administration Bldg,Troup,3907,351,644,332,4,1331,1331,
Hammett Rd,Troup,4354,489,971,440,5,1905,1905,
Griggs Center,Troup,2457,185,236,156,4,581,581,
West Point,Troup,2054,300,264,167,4,735,735,
Hogansville,Troup,3806,389,1469,346,3,2207,2207,
East Vernon,Troup,3117,646,1145,405,4,2200,2200,
Rosemont,Troup,3893,620,1679,520,4,2823,2823,
McClendon,Troup,3533,587,1511,354,7,2459,2459,
Long Cane,Troup,3249,698,1105,296,3,2102,2102,
Gardner Newman,Troup,2876,335,998,300,5,1638,1638,
Gray Hill,Troup,1878,507,491,130,7,1135,1135,
Highland,Troup,1686,172,472,167,2,813,813,
Northside,Troup,2600,296,858,288,4,1446,1446,
