Precinct,County,Registered Voters,Sandra Heath Taylor (I) (Rep)_Election Day Votes,Sandra Heath Taylor (I) (Rep)_Advanced Voting Votes,Sandra Heath Taylor (I) (Rep)_Absentee by Mail Votes,Sandra Heath Taylor (I) (Rep)_Provisional Votes,Sandra Heath Taylor (I) (Rep)_Choice Total,Total,
Hollis Hand,Troup,3554,503,1332,562,1,2398,2398,
Administration Bldg,Troup,3907,362,642,330,4,1338,1338,
Hammett Rd,Troup,4354,496,974,434,4,1908,1908,
Griggs Center,Troup,2457,180,241,152,4,577,577,
West Point,Troup,2054,295,248,157,4,704,704,
Hogansville,Troup,3806,382,1448,337,3,2170,2170,
East Vernon,Troup,3117,642,1115,389,4,2150,2150,
Rosemont,Troup,3893,617,1658,506,4,2785,2785,
McClendon,Troup,3533,582,1494,346,6,2428,2428,
Long Cane,Troup,3249,683,1073,289,3,2048,2048,
Gardner Newman,Troup,2876,340,982,286,5,1613,1613,
Gray Hill,Troup,1878,505,491,124,7,1127,1127,
Highland,Troup,1686,173,456,159,2,790,790,
Northside,Troup,2600,296,852,282,4,1434,1434,
