Precinct,County,Registered Voters,Becky E. Hites (Rep)_Election Day Votes,Becky E. Hites (Rep)_Advanced Voting Votes,Becky E. Hites (Rep)_Absentee by Mail Votes,Becky E. Hites (Rep)_Provisional Votes,Becky E. Hites (Rep)_Choice Total,David Scott (I) (Dem)_Election Day Votes,David Scott (I) (Dem)_Advanced Voting Votes,David Scott (I) (Dem)_Absentee by Mail Votes,David Scott (I) (Dem)_Provisional Votes,David Scott (I) (Dem)_Choice Total,Total,
CH01,Fulton,376,13,25,15,1,54,9,104,38,3,154,208,
CH02,Fulton,338,35,78,34,0,147,13,51,33,0,97,244,
CH03,Fulton,410,50,116,31,0,197,14,62,26,0,102,299,
CH04A,Fulton,825,42,218,65,0,325,18,214,96,0,328,653,
CH05,Fulton,429,43,131,44,0,218,10,50,40,0,100,318,
CP06A,Fulton,732,5,9,1,0,15,48,121,40,0,209,224,
CP081,Fulton,373,3,1,1,0,5,32,54,15,5,106,111,
CP083,Fulton,240,2,0,0,0,2,11,19,3,0,33,35,
CP084,Fulton,1,0,0,0,0,0,0,0,0,0,0,0,
CP08A,Fulton,756,8,2,0,0,10,55,83,28,0,166,176,
EP04B,Fulton,2624,11,26,8,0,45,144,1059,277,3,1483,1528,
EP04C,Fulton,1318,0,13,1,1,15,0,394,40,1,435,450,
FA01A,Fulton,4032,41,152,70,1,264,224,1394,597,16,2231,2495,
FA01B,Fulton,5860,4,226,88,0,318,26,2204,832,8,3070,3388,
FA01C,Fulton,769,6,15,6,0,27,59,285,102,1,447,474,
FA01D,Fulton,321,2,9,2,2,15,18,119,6,13,156,171,
PA01,Fulton,3006,49,217,117,6,389,178,856,335,11,1380,1769,
SC04,Fulton,1080,53,106,37,2,198,64,320,143,2,529,727,
SC05A,Fulton,721,1,5,3,0,9,53,314,86,4,457,466,
SC05B,Fulton,3646,16,41,21,1,79,176,1766,493,7,2442,2521,
SC05D,Fulton,2808,16,45,14,0,75,175,1284,360,2,1821,1896,
SC05E,Fulton,688,6,33,30,0,69,40,247,118,3,408,477,
SC07A,Fulton,4506,34,215,87,0,336,231,1785,1021,11,3048,3384,
SC07C,Fulton,41,0,1,1,0,2,1,8,2,0,11,13,
SC07D,Fulton,2038,8,35,4,1,48,131,842,89,2,1064,1112,
SC08B,Fulton,4096,24,48,23,1,96,258,1531,649,13,2451,2547,
SC08C,Fulton,91,0,0,0,0,0,6,47,17,0,70,70,
SC08D,Fulton,605,1,1,3,0,5,38,235,78,0,351,356,
SC08E,Fulton,724,1,8,2,0,11,57,300,64,4,425,436,
SC08F,Fulton,793,5,6,1,0,12,39,283,101,0,423,435,
SC08G,Fulton,14,0,0,0,0,0,0,3,0,0,3,3,
SC08H,Fulton,1,0,0,0,0,0,0,0,0,0,0,0,
SC09A,Fulton,1865,8,19,8,1,36,176,530,231,4,941,977,
SC09B,Fulton,1920,9,16,4,0,29,120,722,367,2,1211,1240,
SC09C,Fulton,1852,10,20,10,0,40,181,532,296,0,1009,1049,
SC10,Fulton,1912,6,12,11,0,29,153,423,182,5,763,792,
SC11A,Fulton,1656,11,20,7,1,39,137,533,263,19,952,991,
SC11B,Fulton,1691,7,17,9,0,33,113,535,317,2,967,1000,
SC13,Fulton,2895,17,69,14,2,102,159,1323,424,3,1909,2011,
SC15,Fulton,4522,17,72,42,0,131,268,1983,826,6,3083,3214,
SC15A,Fulton,2482,6,15,4,0,25,130,1299,107,0,1536,1561,
SC17A,Fulton,60,0,0,1,0,1,1,32,10,0,43,44,
SC17B,Fulton,10,0,1,0,0,1,0,1,0,3,4,5,
SC17C,Fulton,1293,13,14,7,0,34,65,499,187,0,751,785,
SC18B,Fulton,915,2,11,5,0,18,38,454,161,0,653,671,
SC18C,Fulton,2100,6,40,19,0,65,74,994,416,0,1484,1549,
SC19A,Fulton,213,2,2,4,0,8,4,85,43,1,133,141,
SC19B,Fulton,1628,3,14,8,0,25,135,433,219,10,797,822,
SC20,Fulton,2562,6,38,6,4,54,107,1464,363,24,1958,2012,
SC211,Fulton,1828,9,27,16,0,52,99,817,294,0,1210,1262,
SC212,Fulton,4244,18,74,39,1,132,249,1704,600,11,2564,2696,
SC23A,Fulton,3854,26,30,14,0,70,322,1118,637,11,2088,2158,
SC23B,Fulton,557,4,6,8,0,18,52,165,110,2,329,347,
SC23C,Fulton,2606,18,26,8,0,52,199,871,401,2,1473,1525,
SC27,Fulton,2361,10,16,13,0,39,148,732,472,0,1352,1391,
SC29A,Fulton,3154,9,41,11,0,61,273,932,549,9,1763,1824,
UC01A,Fulton,4234,20,57,18,0,95,319,1195,343,12,1869,1964,
UC01B,Fulton,428,3,4,0,2,9,44,139,29,4,216,225,
UC01D,Fulton,6,0,0,0,0,0,0,0,0,0,0,0,
UC01E,Fulton,512,1,8,3,0,12,40,263,71,0,374,386,
UC02A,Fulton,5609,21,65,44,1,131,316,2181,1140,15,3652,3783,
UC02B,Fulton,32,1,5,0,0,6,2,9,3,0,14,20,
UC02C,Fulton,3614,19,63,15,0,97,135,1224,131,12,1502,1599,
UC031,Fulton,2745,22,91,118,2,233,149,633,418,23,1223,1456,
UC032,Fulton,393,5,14,16,0,35,19,130,75,1,225,260,
