Precinct,County,Registered Voters,Keith E. Gammage (I) (Dem)_Election Day Votes,Keith E. Gammage (I) (Dem)_Advanced Voting Votes,Keith E. Gammage (I) (Dem)_Absentee by Mail Votes,Keith E. Gammage (I) (Dem)_Provisional Votes,Keith E. Gammage (I) (Dem)_Choice Total,Total,
01A,Fulton,3694,168,1677,688,22,2555,2555,
01B,Fulton,4327,260,1822,829,3,2914,2914,
01C,Fulton,1908,194,371,158,0,723,723,
01D,Fulton,754,24,281,107,7,419,419,
01E,Fulton,3720,115,1557,726,1,2399,2399,
01F,Fulton,1593,119,254,99,7,479,479,
01G,Fulton,2312,137,746,276,3,1162,1162,
01H,Fulton,896,66,206,120,5,397,397,
01I,Fulton,1,0,1,0,0,1,1,
01J,Fulton,2848,231,721,320,16,1288,1288,
01P,Fulton,1444,204,220,164,4,592,592,
01R,Fulton,1550,209,145,117,12,483,483,
01S,Fulton,2118,237,473,198,8,916,916,
01T,Fulton,1799,181,462,178,4,825,825,
02A,Fulton,4884,182,1853,1019,19,3073,3073,
02A1,Fulton,733,30,303,49,2,384,384,
02B,Fulton,4020,175,795,280,27,1277,1277,
02C,Fulton,2034,82,703,377,29,1191,1191,
02D,Fulton,5539,272,1949,1037,28,3286,3286,
02E,Fulton,2009,103,886,430,0,1419,1419,
02F1,Fulton,3221,111,1279,673,5,2068,2068,
02F2,Fulton,851,47,265,133,4,449,449,
02G,Fulton,3895,202,1625,713,6,2546,2546,
02J,Fulton,2273,101,889,404,9,1403,1403,
02K,Fulton,1461,43,600,271,0,914,914,
02L1,Fulton,5546,205,2098,1221,10,3534,3534,
02L1A,Fulton,1477,78,549,77,5,709,709,
02L2,Fulton,2249,130,856,352,5,1343,1343,
02S,Fulton,790,44,278,128,0,450,450,
02W,Fulton,978,59,393,120,0,572,572,
03A,Fulton,2230,138,375,219,20,752,752,
03B,Fulton,777,57,99,62,0,218,218,
03C,Fulton,1879,138,335,224,6,703,703,
03D,Fulton,1235,85,216,98,20,419,419,
03E,Fulton,2894,293,475,203,40,1011,1011,
03F,Fulton,2328,133,817,323,3,1276,1276,
03G,Fulton,1033,76,151,43,4,274,274,
03H,Fulton,1091,86,221,96,1,404,404,
03I,Fulton,1607,105,329,106,19,559,559,
03L,Fulton,748,67,90,41,0,198,198,
03M,Fulton,965,156,239,80,2,477,477,
03N,Fulton,2804,222,463,149,23,857,857,
03P1A,Fulton,4404,266,1383,496,14,2159,2159,
03P2,Fulton,23,0,7,0,0,7,7,
03S,Fulton,908,94,200,105,0,399,399,
03T,Fulton,1742,145,485,127,4,761,761,
04A,Fulton,1554,98,312,161,0,571,571,
04B,Fulton,2948,120,407,203,0,730,730,
04C,Fulton,150,11,27,12,1,51,51,
04D,Fulton,1736,148,442,185,5,780,780,
04F,Fulton,2786,186,767,198,10,1161,1161,
04G,Fulton,1025,117,193,76,1,387,387,
04I,Fulton,4604,73,454,173,6,706,706,
04J,Fulton,1617,47,108,15,8,178,178,
04K,Fulton,2736,187,701,352,14,1254,1254,
04L,Fulton,2014,169,552,182,6,909,909,
04M,Fulton,979,102,151,70,5,328,328,
04S,Fulton,2541,258,602,294,8,1162,1162,
04T,Fulton,1297,133,337,151,20,641,641,
04V,Fulton,3573,368,714,222,3,1307,1307,
04W,Fulton,3365,55,130,27,6,218,218,
04X1,Fulton,2283,165,600,259,2,1026,1026,
04X2,Fulton,846,58,236,95,0,389,389,
05A1,Fulton,2936,135,1264,590,1,1990,1990,
05A2,Fulton,3343,141,1430,590,11,2172,2172,
05B,Fulton,2171,172,611,255,3,1041,1041,
05C,Fulton,135,6,27,6,0,39,39,
05D,Fulton,541,18,59,9,2,88,88,
05F,Fulton,248,23,85,24,0,132,132,
05J,Fulton,684,38,271,116,1,426,426,
05K,Fulton,2826,151,710,270,4,1135,1135,
06B,Fulton,1889,88,763,367,7,1225,1225,
06D,Fulton,6160,323,2162,1888,11,4384,4384,
06D1,Fulton,2539,68,974,154,4,1200,1200,
06D2,Fulton,850,21,317,49,1,388,388,
06E,Fulton,2344,112,862,379,1,1354,1354,
06F,Fulton,2841,114,1140,484,5,1743,1743,
06G,Fulton,588,19,217,122,1,359,359,
06I,Fulton,4072,297,1406,529,22,2254,2254,
06J,Fulton,2770,93,1043,680,1,1817,1817,
06L1,Fulton,991,38,368,217,2,625,625,
06L2,Fulton,726,26,258,126,1,411,411,
06N,Fulton,1770,77,504,273,10,864,864,
06Q,Fulton,571,49,212,61,5,327,327,
06R,Fulton,2015,57,679,355,2,1093,1093,
07A,Fulton,7691,477,2295,1190,18,3980,3980,
07B,Fulton,2952,130,884,548,0,1562,1562,
07C,Fulton,4512,207,1156,901,11,2275,2275,
07D,Fulton,4879,275,1541,594,18,2428,2428,
07E,Fulton,2247,68,745,527,5,1345,1345,
07F,Fulton,3790,185,1243,591,21,2040,2040,
07H,Fulton,2060,86,659,396,0,1141,1141,
07J,Fulton,3041,170,1034,481,11,1696,1696,
07M,Fulton,2401,141,649,368,0,1158,1158,
07N,Fulton,2139,134,649,349,9,1141,1141,
08A,Fulton,3084,182,1008,436,7,1633,1633,
08B,Fulton,3498,144,1185,526,0,1855,1855,
08C,Fulton,1500,57,452,228,0,737,737,
08D,Fulton,1073,23,334,174,14,545,545,
08E,Fulton,2568,91,769,472,0,1332,1332,
08F1,Fulton,2187,80,725,348,4,1157,1157,
08G,Fulton,3086,138,741,526,5,1410,1410,
08H,Fulton,2556,82,755,472,2,1311,1311,
08J,Fulton,3344,146,1276,423,6,1851,1851,
08K,Fulton,1049,73,383,205,0,661,661,
08L,Fulton,4505,220,1543,776,20,2559,2559,
08M,Fulton,2295,128,714,303,2,1147,1147,
08N1,Fulton,824,21,249,130,2,402,402,
08N2,Fulton,1616,64,494,307,2,867,867,
08P,Fulton,1887,119,635,214,5,973,973,
09A,Fulton,3856,191,1529,565,9,2294,2294,
09B,Fulton,464,28,77,66,0,171,171,
09C,Fulton,3353,262,860,457,22,1601,1601,
09D,Fulton,2299,221,428,283,8,940,940,
09E,Fulton,3261,267,945,315,1,1528,1528,
09F,Fulton,3917,163,1438,636,4,2241,2241,
09G,Fulton,3943,227,1502,613,9,2351,2351,
09H,Fulton,1185,78,411,148,1,638,638,
09I,Fulton,1397,135,249,170,2,556,556,
