Precinct,County,Registered Voters,Kim Schofield (I) (Dem)_Election Day Votes,Kim Schofield (I) (Dem)_Advanced Voting Votes,Kim Schofield (I) (Dem)_Absentee by Mail Votes,Kim Schofield (I) (Dem)_Provisional Votes,Kim Schofield (I) (Dem)_Choice Total,Total,
01S,Fulton,2118,236,474,206,5,921,921,
01T,Fulton,1799,1,8,4,0,13,13,
11J,Fulton,2092,181,504,308,16,1009,1009,
12D,Fulton,1408,105,353,133,2,593,593,
12H2,Fulton,2998,279,691,385,4,1359,1359,
12J,Fulton,3154,257,701,334,13,1305,1305,
12M,Fulton,2990,363,639,302,16,1320,1320,
CP01B,Fulton,422,21,140,47,1,209,209,
CP02,Fulton,1208,79,358,167,1,605,605,
CP04A,Fulton,13,0,3,0,0,3,3,
CP04B,Fulton,38,2,7,9,0,18,18,
EP01A,Fulton,2978,185,959,328,13,1485,1485,
EP01B,Fulton,3473,215,954,443,9,1621,1621,
EP02C,Fulton,522,16,193,63,0,272,272,
EP02D,Fulton,420,29,159,49,0,237,237,
EP02E,Fulton,1668,103,440,160,0,703,703,
EP03A,Fulton,4925,317,1557,801,3,2678,2678,
