Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
01A,Fulton,3694,46,171,71,4,292,135,1560,669,20,2384,18,75,39,2,134,2810,
01B,Fulton,4327,76,188,83,1,348,202,1716,812,5,2735,42,84,48,0,174,3257,
01C,Fulton,1908,17,18,8,0,43,170,355,154,0,679,14,15,7,0,36,758,
01D,Fulton,754,7,17,11,1,36,21,265,112,6,404,3,10,5,1,19,459,
01E,Fulton,3720,40,206,111,1,358,87,1439,688,0,2214,14,72,42,0,128,2700,
01F,Fulton,1593,5,10,4,1,20,114,247,102,4,467,6,11,4,2,23,510,
01G,Fulton,2312,21,58,19,1,99,122,693,275,3,1093,6,40,13,1,60,1252,
01H,Fulton,896,6,8,2,0,16,62,195,118,5,380,3,7,6,0,16,412,
01I,Fulton,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
01J,Fulton,2848,23,42,9,1,75,202,684,316,15,1217,13,27,16,2,58,1350,
01P,Fulton,1444,9,7,7,1,24,198,212,164,3,577,8,6,5,0,19,620,
01R,Fulton,1550,11,6,6,2,25,195,133,112,12,452,11,7,5,1,24,501,
01S,Fulton,2118,16,27,12,1,56,212,437,199,7,855,19,26,4,0,49,960,
01T,Fulton,1799,28,31,15,1,75,145,437,176,3,761,18,18,3,0,39,875,
02A,Fulton,4884,98,486,231,7,822,104,1566,942,17,2629,22,82,47,0,151,3602,
02A1,Fulton,733,15,77,8,2,102,21,241,41,2,305,4,20,4,0,28,435,
02B,Fulton,4020,33,95,25,8,161,156,718,273,21,1168,14,43,15,2,74,1403,
02C,Fulton,2034,24,77,33,8,142,66,655,363,24,1108,8,22,13,6,49,1299,
02D,Fulton,5539,92,330,153,11,586,200,1707,950,23,2880,24,89,38,2,153,3619,
02E,Fulton,2009,37,94,49,0,180,84,826,434,0,1344,12,39,10,0,61,1585,
02F1,Fulton,3221,48,202,96,3,349,79,1139,664,3,1885,13,65,42,1,121,2355,
