Precinct,County,Registered Voters,Arthur E. Ferdinand (I) (Dem)_Election Day Votes,Arthur E. Ferdinand (I) (Dem)_Advanced Voting Votes,Arthur E. Ferdinand (I) (Dem)_Absentee by Mail Votes,Arthur E. Ferdinand (I) (Dem)_Provisional Votes,Arthur E. Ferdinand (I) (Dem)_Choice Total,Total,
01A,Fulton,3694,169,1627,647,24,2467,2467,
01B,Fulton,4327,256,1728,788,5,2777,2777,
01C,Fulton,1908,192,369,154,0,715,715,
01D,Fulton,754,25,273,105,7,410,410,
01E,Fulton,3720,116,1481,681,1,2279,2279,
01F,Fulton,1593,119,251,96,7,473,473,
01G,Fulton,2312,140,718,279,2,1139,1139,
01H,Fulton,896,66,204,118,5,393,393,
01I,Fulton,1,0,1,0,0,1,1,
01J,Fulton,2848,231,717,315,16,1279,1279,
01P,Fulton,1444,205,214,160,4,583,583,
01R,Fulton,1550,210,143,120,11,484,484,
01S,Fulton,2118,237,465,195,8,905,905,
01T,Fulton,1799,174,451,174,4,803,803,
02A,Fulton,4884,181,1842,986,19,3028,3028,
02A1,Fulton,733,30,302,49,2,383,383,
02B,Fulton,4020,175,785,274,26,1260,1260,
02C,Fulton,2034,82,696,374,28,1180,1180,
02D,Fulton,5539,276,1932,1011,31,3250,3250,
02E,Fulton,2009,96,844,378,0,1318,1318,
02F1,Fulton,3221,113,1263,666,6,2048,2048,
02F2,Fulton,851,48,261,127,4,440,440,
02G,Fulton,3895,202,1569,700,6,2477,2477,
02J,Fulton,2273,101,856,371,9,1337,1337,
02K,Fulton,1461,48,576,260,0,884,884,
02L1,Fulton,5546,205,2067,1193,10,3475,3475,
02L1A,Fulton,1477,82,549,78,4,713,713,
02L2,Fulton,2249,128,848,347,5,1328,1328,
02S,Fulton,790,44,276,127,0,447,447,
02W,Fulton,978,61,398,120,0,579,579,
03A,Fulton,2230,139,372,213,19,743,743,
03B,Fulton,777,55,99,60,0,214,214,
03C,Fulton,1879,141,332,221,7,701,701,
