Precinct,County,Registered Voters,"Cathelene """"Tina"""" Robinson (I) (Dem)_Election Day Votes","Cathelene """"Tina"""" Robinson (I) (Dem)_Advanced Voting Votes","Cathelene """"Tina"""" Robinson (I) (Dem)_Absentee by Mail Votes","Cathelene """"Tina"""" Robinson (I) (Dem)_Provisional Votes","Cathelene """"Tina"""" Robinson (I) (Dem)_Choice Total",Total,
01A,Fulton,3694,171,1682,682,23,2558,2558,
01B,Fulton,4327,261,1828,834,4,2927,2927,
01C,Fulton,1908,189,368,158,0,715,715,
01D,Fulton,754,24,282,108,7,421,421,
01E,Fulton,3720,117,1563,726,1,2407,2407,
01F,Fulton,1593,118,248,101,6,473,473,
01G,Fulton,2312,139,742,276,3,1160,1160,
01H,Fulton,896,63,206,117,5,391,391,
01I,Fulton,1,0,1,0,0,1,1,
01J,Fulton,2848,230,709,317,16,1272,1272,
01P,Fulton,1444,200,218,165,4,587,587,
01R,Fulton,1550,206,142,120,12,480,480,
01S,Fulton,2118,233,468,202,7,910,910,
01T,Fulton,1799,173,463,177,4,817,817,
02A,Fulton,4884,182,1871,1029,19,3101,3101,
02A1,Fulton,733,31,304,49,2,386,386,
02B,Fulton,4020,171,788,282,25,1266,1266,
02C,Fulton,2034,84,703,376,29,1192,1192,
02D,Fulton,5539,271,1948,1033,26,3278,3278,
02E,Fulton,2009,105,889,434,0,1428,1428,
02F1,Fulton,3221,115,1287,667,6,2075,2075,
02F2,Fulton,851,48,264,132,4,448,448,
02G,Fulton,3895,204,1624,715,6,2549,2549,
02J,Fulton,2273,103,889,403,9,1404,1404,
02K,Fulton,1461,45,601,273,0,919,919,
02L1,Fulton,5546,202,2108,1234,10,3554,3554,
02L1A,Fulton,1477,80,556,78,5,719,719,
02L2,Fulton,2249,130,854,351,5,1340,1340,
02S,Fulton,790,44,281,130,0,455,455,
02W,Fulton,978,59,399,122,0,580,580,
03A,Fulton,2230,135,378,215,16,744,744,
03B,Fulton,777,54,97,60,0,211,211,
03C,Fulton,1879,134,335,222,6,697,697,
03D,Fulton,1235,85,213,98,17,413,413,
03E,Fulton,2894,300,477,209,41,1027,1027,
03F,Fulton,2328,131,813,327,3,1274,1274,
03G,Fulton,1033,77,150,44,4,275,275,
03H,Fulton,1091,86,222,97,0,405,405,
03I,Fulton,1607,104,334,105,19,562,562,
03L,Fulton,748,65,94,41,0,200,200,
03M,Fulton,965,158,241,81,2,482,482,
03N,Fulton,2804,227,457,149,22,855,855,
03P1A,Fulton,4404,270,1382,503,10,2165,2165,
03P2,Fulton,23,0,7,0,0,7,7,
03S,Fulton,908,94,204,101,0,399,399,
03T,Fulton,1742,144,490,125,4,763,763,
04A,Fulton,1554,97,317,159,0,573,573,
