Precinct,County,Registered Voters,Mandisha A. Thomas (Dem)_Election Day Votes,Mandisha A. Thomas (Dem)_Advanced Voting Votes,Mandisha A. Thomas (Dem)_Absentee by Mail Votes,Mandisha A. Thomas (Dem)_Provisional Votes,Mandisha A. Thomas (Dem)_Choice Total,Total,
CH01,Fulton,376,13,114,40,4,171,171,
CH02,Fulton,338,32,77,42,0,151,151,
CH03,Fulton,410,25,95,36,0,156,156,
CH04A,Fulton,825,37,279,111,0,427,427,
CH05,Fulton,429,27,82,45,0,154,154,
FA01A,Fulton,4032,244,1457,626,17,2344,2344,
FA01B,Fulton,5860,28,2291,855,8,3182,3182,
FA01D,Fulton,321,19,126,8,16,169,169,
PA01,Fulton,3006,204,937,366,15,1522,1522,
SC04,Fulton,1080,81,348,159,4,592,592,
SC05A,Fulton,721,56,323,84,4,467,467,
SC07A,Fulton,4506,252,1886,1038,10,3186,3186,
SC07C,Fulton,41,1,9,3,0,13,13,
SC07D,Fulton,2038,136,864,89,3,1092,1092,
SC08F,Fulton,793,43,285,95,0,423,423,
SC08G,Fulton,14,0,3,0,0,3,3,
SC08H,Fulton,1,0,0,0,0,0,0,
SC13,Fulton,2895,168,1358,416,1,1943,1943,
SC17B,Fulton,10,0,1,0,3,4,4,
UC01A,Fulton,4234,335,1228,349,12,1924,1924,
UC01D,Fulton,6,0,0,0,0,0,0,
UC02A,Fulton,5609,330,2203,1150,16,3699,3699,
UC02C,Fulton,3614,152,1228,127,8,1515,1515,
