Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
01A,Fulton,3694,170,1520,668,19,2377,29,241,74,6,350,2727,
01B,Fulton,4327,243,1675,814,6,2738,67,259,101,0,427,3165,
01C,Fulton,1908,165,323,128,0,616,36,53,37,0,126,742,
01D,Fulton,754,21,255,101,8,385,9,33,16,0,58,443,
01E,Fulton,3720,106,1438,733,0,2277,31,220,92,1,344,2621,
01F,Fulton,1593,104,217,92,6,419,18,49,16,0,83,502,
01G,Fulton,2312,120,664,251,2,1037,26,111,40,2,179,1216,
01H,Fulton,896,48,171,85,4,308,17,33,32,3,85,393,
01I,Fulton,1,0,1,0,0,1,0,0,0,0,0,1,
01J,Fulton,2848,183,610,224,12,1029,53,135,91,4,283,1312,
01P,Fulton,1444,160,183,122,4,469,50,36,45,0,131,600,
01R,Fulton,1550,154,112,83,9,358,52,32,38,5,127,485,
01S,Fulton,2118,190,382,146,8,726,52,96,53,0,201,927,
01T,Fulton,1799,152,406,139,3,700,35,71,53,1,160,860,
02A,Fulton,4884,170,1677,974,18,2839,48,363,205,3,619,3458,
02A1,Fulton,733,30,285,49,3,367,8,37,1,0,46,413,
02B,Fulton,4020,157,699,249,21,1126,45,140,53,8,246,1372,
02C,Fulton,2034,73,616,325,27,1041,25,122,64,8,219,1260,
02D,Fulton,5539,238,1756,955,26,2975,65,310,126,10,511,3486,
02E,Fulton,2009,104,821,431,0,1356,25,109,37,0,171,1527,
02F1,Fulton,3221,100,1199,680,5,1984,31,160,81,1,273,2257,
02F2,Fulton,851,47,242,110,2,401,12,35,26,3,76,477,
02G,Fulton,3895,176,1508,706,3,2393,65,231,73,3,372,2765,
02J,Fulton,2273,97,809,398,11,1315,24,137,69,1,231,1546,
02K,Fulton,1461,47,568,265,0,880,16,86,34,0,136,1016,
02L1,Fulton,5546,203,1912,1141,8,3264,55,364,237,3,659,3923,
02L1A,Fulton,1477,75,507,80,4,666,17,94,14,1,126,792,
02L2,Fulton,2249,111,782,333,5,1231,31,140,58,1,230,1461,
02S,Fulton,790,43,264,113,0,420,10,21,20,0,51,471,
02W,Fulton,978,54,354,125,0,533,13,60,12,0,85,618,
03A,Fulton,2230,113,314,155,12,594,30,76,70,8,184,778,
03B,Fulton,777,50,80,47,0,177,11,20,14,0,45,222,
03C,Fulton,1879,109,273,150,7,539,35,67,73,0,175,714,
03D,Fulton,1235,72,183,73,18,346,16,41,32,4,93,439,
03E,Fulton,2894,224,398,163,31,816,82,87,57,12,238,1054,
03F,Fulton,2328,114,767,326,3,1210,38,142,50,0,230,1440,
03G,Fulton,1033,72,118,28,4,222,11,33,16,0,60,282,
03H,Fulton,1091,72,171,70,1,314,16,45,20,0,81,395,
03I,Fulton,1607,90,320,109,18,537,18,43,16,3,80,617,
03L,Fulton,748,46,71,27,0,144,24,24,14,0,62,206,
03M,Fulton,965,149,229,75,2,455,29,33,15,0,77,532,
03N,Fulton,2804,191,386,118,19,714,39,84,32,4,159,873,
03P1A,Fulton,4404,238,1263,496,10,2007,56,209,72,1,338,2345,
03P2,Fulton,23,0,7,0,0,7,0,0,0,0,0,7,
03S,Fulton,908,81,153,66,0,300,19,47,34,0,100,400,
03T,Fulton,1742,124,400,107,4,635,32,97,26,1,156,791,
04A,Fulton,1554,81,265,125,0,471,23,56,33,0,112,583,
04B,Fulton,2948,103,350,157,0,610,21,70,41,0,132,742,
04C,Fulton,150,7,22,8,0,37,3,4,4,1,12,49,
04D,Fulton,1736,126,388,151,4,669,32,74,39,1,146,815,
04F,Fulton,2786,164,672,178,10,1024,39,136,34,1,210,1234,
04G,Fulton,1025,90,144,64,1,299,28,41,18,0,87,386,
04I,Fulton,4604,66,395,158,4,623,19,82,29,3,133,756,
04J,Fulton,1617,39,88,14,8,149,9,21,5,1,36,185,
04K,Fulton,2736,158,562,266,11,997,40,145,91,3,279,1276,
04L,Fulton,2014,146,478,174,3,801,34,86,27,2,149,950,
04M,Fulton,979,81,122,55,4,262,24,36,13,1,74,336,
04S,Fulton,2541,216,466,215,9,906,52,141,72,0,265,1171,
04T,Fulton,1297,96,272,117,14,499,35,74,33,5,147,646,
04V,Fulton,3573,297,586,169,3,1055,81,120,58,1,260,1315,
04W,Fulton,3365,45,124,26,6,201,12,8,2,1,23,224,
04X1,Fulton,2283,139,503,196,2,840,32,102,60,0,194,1034,
04X2,Fulton,846,52,202,79,0,333,8,43,17,0,68,401,
05A1,Fulton,2936,115,1156,553,1,1825,36,159,80,1,276,2101,
05A2,Fulton,3343,128,1313,544,10,1995,28,190,80,2,300,2295,
05B,Fulton,2171,143,538,205,2,888,36,78,51,1,166,1054,
05C,Fulton,135,5,23,6,0,34,2,5,2,0,9,43,
05D,Fulton,541,19,53,9,2,83,4,5,0,0,9,92,
05F,Fulton,248,20,80,21,1,122,4,9,3,0,16,138,
05J,Fulton,684,34,239,113,1,387,8,46,22,0,76,463,
05K,Fulton,2826,131,630,227,5,993,25,102,42,0,169,1162,
06B,Fulton,1889,83,725,369,6,1183,25,114,42,1,182,1365,
06D,Fulton,6160,301,2003,1908,10,4222,73,417,315,2,807,5029,
06D1,Fulton,2539,84,926,165,3,1178,17,173,26,1,217,1395,
06D2,Fulton,850,24,298,53,1,376,8,78,10,0,96,472,
06E,Fulton,2344,117,780,382,2,1281,24,153,71,5,253,1534,
06F,Fulton,2841,114,1063,486,6,1669,22,180,71,0,273,1942,
06G,Fulton,588,23,214,119,1,357,3,32,15,0,50,407,
06I,Fulton,4072,265,1238,490,17,2010,61,239,80,7,387,2397,
06J,Fulton,2770,90,989,722,1,1802,26,193,85,0,304,2106,
06L1,Fulton,991,38,354,217,2,611,13,81,39,1,134,745,
06L2,Fulton,726,34,266,138,1,439,11,62,30,0,103,542,
06N,Fulton,1770,77,496,285,11,869,30,145,61,0,236,1105,
06Q,Fulton,571,44,186,58,4,292,6,25,5,2,38,330,
06R,Fulton,2015,62,627,364,1,1054,19,151,58,1,229,1283,
07A,Fulton,7691,466,2284,1184,16,3950,145,646,253,7,1051,5001,
07B,Fulton,2952,160,1019,569,1,1749,56,316,137,0,509,2258,
07C,Fulton,4512,232,1141,913,14,2300,54,339,244,0,637,2937,
07D,Fulton,4879,266,1495,591,20,2372,85,439,130,5,659,3031,
