Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Hollis Hand,Troup,3554,466,1181,559,1,2207,77,237,94,1,409,2616,
Administration Bldg,Troup,3907,372,664,412,6,1454,136,210,107,2,455,1909,
Hammett Rd,Troup,4354,498,1027,485,5,2015,167,304,127,0,598,2613,
Griggs Center,Troup,2457,257,301,256,3,817,106,147,80,3,336,1153,
West Point,Troup,2054,356,293,245,2,896,113,87,63,2,265,1161,
Hogansville,Troup,3806,347,1257,372,3,1979,91,380,96,0,567,2546,
East Vernon,Troup,3117,531,958,399,5,1893,133,226,58,1,418,2311,
Rosemont,Troup,3893,490,1389,484,4,2367,135,340,96,0,571,2938,
McClendon,Troup,3533,489,1272,385,6,2152,125,341,59,2,527,2679,
Long Cane,Troup,3249,583,919,303,3,1808,142,274,67,1,484,2292,
Gardner Newman,Troup,2876,288,934,332,4,1558,120,246,74,1,441,1999,
Gray Hill,Troup,1878,426,422,155,7,1010,123,125,38,0,286,1296,
Highland,Troup,1686,164,456,196,1,817,51,128,48,1,228,1045,
Northside,Troup,2600,279,796,344,3,1422,95,182,54,1,332,1754,
