Precinct,County,Registered Voters,Gail C. Robinson (I) (Rep)_Election Day Votes,Gail C. Robinson (I) (Rep)_Advanced Voting Votes,Gail C. Robinson (I) (Rep)_Absentee by Mail Votes,Gail C. Robinson (I) (Rep)_Provisional Votes,Gail C. Robinson (I) (Rep)_Choice Total,Total,
ANNX,Houston,4512,579,1436,789,4,2808,2808,
BMS,Houston,9536,1560,3121,1439,2,6122,6122,
CENT,Houston,7795,1187,2012,1048,1,4248,4248,
CGTC,Houston,4860,632,1633,603,4,2872,2872,
FMMS,Houston,8767,1384,2552,995,2,4933,4933,
HAFS,Houston,1805,662,372,142,1,1177,1177,
HCTC,Houston,6361,794,1398,757,3,2952,2952,
HEFS,Houston,1372,395,297,136,7,835,835,
HHPC,Houston,9610,1060,2054,1222,5,4341,4341,
MCMS,Houston,9181,1324,3053,1171,8,5556,5556,
NSES,Houston,2441,460,591,345,1,1397,1397,
RECR,Houston,9277,854,1131,822,7,2814,2814,
ROZR,Houston,13802,1871,4408,1695,8,7982,7982,
TMS,Houston,5286,712,1128,653,5,2498,2498,
TWPK,Houston,4415,768,1185,593,2,2548,2548,
VHS,Houston,6295,1123,2144,670,3,3940,3940,
