Precinct,County,Registered Voters,Janice Davidson Spires (I) (Rep)_Election Day Votes,Janice Davidson Spires (I) (Rep)_Advanced Voting Votes,Janice Davidson Spires (I) (Rep)_Absentee by Mail Votes,Janice Davidson Spires (I) (Rep)_Provisional Votes,Janice Davidson Spires (I) (Rep)_Choice Total,Total,
ANNX,Houston,4512,587,1424,809,4,2824,2824,
BMS,Houston,9536,1549,3100,1467,2,6118,6118,
CENT,Houston,7795,1173,1991,1057,1,4222,4222,
CGTC,Houston,4860,627,1613,609,4,2853,2853,
FMMS,Houston,8767,1364,2523,990,2,4879,4879,
HAFS,Houston,1805,666,375,151,0,1192,1192,
HCTC,Houston,6361,784,1391,770,3,2948,2948,
HEFS,Houston,1372,391,294,146,7,838,838,
HHPC,Houston,9610,1050,2040,1230,4,4324,4324,
MCMS,Houston,9181,1316,3027,1169,7,5519,5519,
NSES,Houston,2441,455,592,351,1,1399,1399,
RECR,Houston,9277,828,1138,807,7,2780,2780,
ROZR,Houston,13802,1859,4408,1697,7,7971,7971,
TMS,Houston,5286,701,1107,647,4,2459,2459,
TWPK,Houston,4415,764,1176,592,2,2534,2534,
VHS,Houston,6295,1121,2139,686,4,3950,3950,
