Precinct,County,Registered Voters,Amy E. Smith (I) (Rep)_Election Day Votes,Amy E. Smith (I) (Rep)_Advanced Voting Votes,Amy E. Smith (I) (Rep)_Absentee by Mail Votes,Amy E. Smith (I) (Rep)_Provisional Votes,Amy E. Smith (I) (Rep)_Choice Total,Total,
ANNX,Houston,4512,581,1438,789,4,2812,2812,
BMS,Houston,9536,1561,3116,1465,2,6144,6144,
CENT,Houston,7795,1188,2014,1052,1,4255,4255,
CGTC,Houston,4860,633,1644,607,4,2888,2888,
FMMS,Houston,8767,1384,2548,1004,2,4938,4938,
HAFS,Houston,1805,665,369,151,1,1186,1186,
HCTC,Houston,6361,792,1395,773,4,2964,2964,
HEFS,Houston,1372,399,296,142,7,844,844,
HHPC,Houston,9610,1062,2050,1227,4,4343,4343,
MCMS,Houston,9181,1332,3050,1163,8,5553,5553,
NSES,Houston,2441,459,591,345,1,1396,1396,
RECR,Houston,9277,845,1129,832,8,2814,2814,
ROZR,Houston,13802,1872,4411,1697,7,7987,7987,
TMS,Houston,5286,717,1124,658,5,2504,2504,
TWPK,Houston,4415,762,1183,594,2,2541,2541,
VHS,Houston,6295,1114,2138,666,3,3921,3921,
