county,precinct_name,precinct_id,SHP20_PRECINCT_I,SHP20_PRECINCT_N,SHP20_PRECINCT_I_CLEAN,SHP20_PRECINCT_N_CLEAN,NOV20_Precinct,NOV20_Precinct_CLEAN,NOV20_Precinct ID_CLEAN,NOV18_PRECINCT ID,NOV18_PRECINCT DESCRIPTION,NOV18_PRECINCT ID_CLEAN,NOV18_PRECINCT DESCRIPTION_CLEAN,SHP18_prec_shp,SHP18_prec_elec,SHP18_prec_shp_CLEAN,SHP18_prec_elec_CLEAN,SHP16_PRECINCT_I,SHP16_PRECINCT_N,SHP16_PRECINCT_I_CLEAN,SHP16_PRECINCT_N_CLEAN
Columbia,Eubank-blanchard Center,040,040,EUBANK-BLANCHARD CENTER,040,eubank-blanchard center,Eubank-Blanchard Center,eubank-blanchard center,,040,EUBANK/BLANCHARD CTR,040,eubank/blanchard ctr,EUBANK/BLANCHARD CENTER,Eubank/Blanchard Center,eubank/blanchard center,eubank/blanchard center,040,EUBANK/BLANCHARD CTR,040,eubank/blanchard ctr
Columbia,Damascus Baptist Church,051,051,DAMASCUS BAPTIST CHURCH,051,damascus baptist church,Damascus Baptist Church,damascus baptist church,,051,DAMASCUS BAPT ,051,damascus bapt ,DAMASCUS BAPTIST CHURCH,Damascus Baptist Church,damascus baptist church,damascus baptist church,051,DAMASCUS BAPT CHURCH,051,damascus bapt church
Columbia,Grovetown Public Safety Station 23696,033,033,GROVETOWN PUBLIC SAFETY STATION 2,033,grovetown public safety station 2,Grovetown Public Safety Station 23696,grovetown public safety station 23696,,033,GROVETOWN MIDDLE ,033,grovetown middle ,GROVETOWN MIDDLE SCHOOL,Grovetown Middle School,grovetown middle school,grovetown middle school,033,GROVETOWN MIDDLE SCH,033,grovetown middle sch
Columbia,Kiokee Baptist Church,010,010,KIOKEE BAPTIST CHURCH,010,kiokee baptist church,Kiokee Baptist Church,kiokee baptist church,,010,KIOKEE BAPT CHURCH,010,kiokee bapt church,KIOKEE BAPTIST CHURCH,Kiokee Baptist Church,kiokee baptist church,kiokee baptist church,010,KIOKEE BAPT CHURCH,010,kiokee bapt church
Columbia,New Life Church,018,018,NEW LIFE CHURCH,018,new life church,New Life Church,new life church,,018,NEW LIFE CHURCH,018,new life church,NEW LIFE CHURCH,New Life Church,new life church,new life church,,,,
Columbia,Harlem Senior Center,022,022,HARLEM SENIOR CENTER,022,harlem senior center,Harlem Senior Center,harlem senior center,,,,,,,,,,,,,
Columbia,Second Mt Moriah Baptist Church1027,024,024,SECOND MT MORIAH BAPTIST CHURCH,024,second mt moriah baptist church,Second Mt Moriah Baptist Church1027,second mt moriah baptist church1027,,,,,,,,,,,,,
Columbia,Mtz Col Fire Hdqtr.,110,,,,,,,,110,MTZ COL FIRE HDQTR.,110,mtz col fire hdqtr.,,,,,,,,
Columbia,,99999,,,,,,,,99999,99999,99999,99999,,,,,,,,
Columbia,Patriots Park,,,,,,,,,,,,,PATRIOTS PARK,Patriots Park,patriots park,patriots park,,,,
