Precinct,County,Registered Voters,Sandy Wisenbaker (I) (Rep)_Election Day Votes,Sandy Wisenbaker (I) (Rep)_Advanced Voting Votes,Sandy Wisenbaker (I) (Rep)_Absentee by Mail Votes,Sandy Wisenbaker (I) (Rep)_Provisional Votes,Sandy Wisenbaker (I) (Rep)_Choice Total,Total,
Senoia,Coweta,5838,1099,1992,838,1,3930,3930,
Moreland,Coweta,2758,948,630,367,0,1945,1945,
Pine Road,Coweta,2095,572,537,276,0,1385,1385,
Dresden,Coweta,839,361,121,89,0,571,571,
Newnan,Coweta,3478,502,566,401,0,1469,1469,
Sharpsburg,Coweta,4526,922,1615,504,1,3042,3042,
Fischer Road,Coweta,4328,772,1509,617,2,2900,2900,
Cedar Creek,Coweta,5330,1062,1778,837,0,3677,3677,
Grantville,Coweta,2572,796,431,255,1,1483,1483,
Haralson,Coweta,2339,823,533,253,0,1609,1609,
Welcome,Coweta,3212,1120,544,382,0,2046,2046,
Panther Creek,Coweta,3028,941,573,369,0,1883,1883,
Raymond,Coweta,2492,660,703,326,0,1689,1689,
Turin,Coweta,4477,1118,1485,572,0,3175,3175,
Smokey Road,Coweta,2559,529,464,299,1,1293,1293,
Central,Coweta,4395,523,688,388,3,1602,1602,
Newnan Centre,Coweta,20465,2747,5975,2763,1,11486,11486,
Greentop,Coweta,2846,589,588,447,0,1624,1624,
Expo Center,Coweta,1974,550,414,331,0,1295,1295,
White Oak,Coweta,4636,820,1485,565,1,2871,2871,
Madras,Coweta,4462,835,1377,679,2,2893,2893,
Cannongate,Coweta,3653,886,1163,492,0,2541,2541,
Westside,Coweta,838,174,91,85,0,350,350,
Northside,Coweta,2285,651,428,330,0,1409,1409,
Thomas Crossroads,Coweta,4962,905,1819,569,0,3293,3293,
Coweta Central Library,Coweta,1723,315,670,205,0,1190,1190,
