,Precinct,County,Registered Voters,Kim Schofield (I) (Dem)_Election Day Votes,Kim Schofield (I) (Dem)_Advanced Voting Votes,Kim Schofield (I) (Dem)_Absentee by Mail Votes,Kim Schofield (I) (Dem)_Provisional Votes,Kim Schofield (I) (Dem)_Choice Total,Total,calc_participation
20,Oak 2,Clayton,1974.0,242.0,428.0,230.0,9.0,909.0,909.0,46.0
18,Forest Park 2,Clayton,2821.0,328.0,577.0,383.0,8.0,1296.0,1296.0,45.9
17,Forest Park 1,Clayton,3566.0,427.0,527.0,387.0,6.0,1347.0,1347.0,37.8
19,Oak 1,Clayton,2635.0,333.0,743.0,290.0,3.0,1369.0,1369.0,52.0
16,EP03A,Fulton,4925.0,317.0,1557.0,801.0,3.0,2678.0,2678.0,54.4
15,EP02E,Fulton,1668.0,103.0,440.0,160.0,0.0,703.0,703.0,42.1
14,EP02D,Fulton,420.0,29.0,159.0,49.0,0.0,237.0,237.0,56.4
13,EP02C,Fulton,522.0,16.0,193.0,63.0,0.0,272.0,272.0,52.1
12,EP01B,Fulton,3473.0,215.0,954.0,443.0,9.0,1621.0,1621.0,46.7
11,EP01A,Fulton,2978.0,185.0,959.0,328.0,13.0,1485.0,1485.0,49.9
0,01S,Fulton,2118.0,236.0,474.0,206.0,5.0,921.0,921.0,43.5
8,CP02,Fulton,1208.0,79.0,358.0,167.0,1.0,605.0,605.0,50.1
7,CP01B,Fulton,422.0,21.0,140.0,47.0,1.0,209.0,209.0,49.5
6,12M,Fulton,2990.0,363.0,639.0,302.0,16.0,1320.0,1320.0,44.1
5,12J,Fulton,3154.0,257.0,701.0,334.0,13.0,1305.0,1305.0,41.4
4,12H2,Fulton,2998.0,279.0,691.0,385.0,4.0,1359.0,1359.0,45.3
3,12D,Fulton,1408.0,105.0,353.0,133.0,2.0,593.0,593.0,42.1
2,11J,Fulton,2092.0,181.0,504.0,308.0,16.0,1009.0,1009.0,48.2
1,01T,Fulton,1799.0,1.0,8.0,4.0,0.0,13.0,13.0,0.7
9,CP04A,Fulton,13.0,0.0,3.0,0.0,0.0,3.0,3.0,23.1
10,CP04B,Fulton,38.0,2.0,7.0,9.0,0.0,18.0,18.0,47.4
