,Precinct,County,Registered Voters,Joseph J. Davis (I)_Election Day Votes,Joseph J. Davis (I)_Advanced Voting Votes,Joseph J. Davis (I)_Absentee by Mail Votes,Joseph J. Davis (I)_Provisional Votes,Joseph J. Davis (I)_Choice Total,Total,"Harold Parker, Jr. (I)_Election Day Votes","Harold Parker, Jr. (I)_Advanced Voting Votes","Harold Parker, Jr. (I)_Absentee by Mail Votes","Harold Parker, Jr. (I)_Provisional Votes","Harold Parker, Jr. (I)_Choice Total",Carroll B. Purvis_Election Day Votes,Carroll B. Purvis_Advanced Voting Votes,Carroll B. Purvis_Absentee by Mail Votes,Carroll B. Purvis_Provisional Votes,Carroll B. Purvis_Choice Total,calc_participation
0,1A,Effingham,1965.0,422.0,686.0,151.0,1.0,1260.0,1260.0,,,,,,,,,,,64.1
16,5C,Effingham,1684.0,278.0,569.0,159.0,2.0,1008.0,1008.0,,,,,,,,,,,59.9
15,5B,Effingham,3962.0,596.0,1265.0,317.0,1.0,2179.0,2179.0,,,,,,,,,,,55.0
14,5A,Effingham,2924.0,481.0,1010.0,228.0,2.0,1721.0,1721.0,,,,,,,,,,,58.9
13,4C,Effingham,2837.0,459.0,984.0,230.0,0.0,1673.0,1673.0,,,,,,,,,,,59.0
12,4B,Effingham,1888.0,262.0,590.0,165.0,0.0,1017.0,1017.0,,,,,,,,,,,53.9
10,3D,Effingham,3125.0,536.0,1122.0,222.0,3.0,1883.0,1883.0,,,,,,,,,,,60.3
9,3C,Effingham,2060.0,335.0,759.0,145.0,1.0,1240.0,1240.0,,,,,,,,,,,60.2
11,4A,Effingham,3726.0,522.0,1355.0,294.0,2.0,2173.0,2173.0,,,,,,,,,,,58.3
7,3A,Effingham,1398.0,336.0,437.0,112.0,0.0,885.0,885.0,,,,,,,,,,,63.3
6,2C,Effingham,4621.0,738.0,1640.0,450.0,3.0,2831.0,2831.0,,,,,,,,,,,61.3
5,2B,Effingham,3010.0,577.0,877.0,271.0,1.0,1726.0,1726.0,,,,,,,,,,,57.3
4,2A,Effingham,3038.0,671.0,1027.0,273.0,1.0,1972.0,1972.0,,,,,,,,,,,64.9
3,1D,Effingham,2031.0,557.0,570.0,140.0,0.0,1267.0,1267.0,,,,,,,,,,,62.4
2,1C,Effingham,1446.0,459.0,321.0,101.0,0.0,881.0,881.0,,,,,,,,,,,60.9
1,1B,Effingham,3005.0,655.0,944.0,241.0,1.0,1841.0,1841.0,,,,,,,,,,,61.3
8,3B,Effingham,1553.0,333.0,452.0,122.0,0.0,907.0,907.0,,,,,,,,,,,58.4
24,Screven Rec Dept,Screven,0.0,,,,,,201.0,51.0,101.0,46.0,3.0,201.0,,,,,,
28,Cooperville Fire Station,Screven,0.0,,,,,,134.0,30.0,66.0,37.0,1.0,134.0,,,,,,
27,Jackson Fire Station,Screven,0.0,,,,,,210.0,93.0,77.0,40.0,0.0,210.0,,,,,,
26,Sr Citizens Center,Screven,0.0,,,,,,611.0,136.0,336.0,139.0,0.0,611.0,,,,,,
25,Greenhill Church,Screven,0.0,,,,,,513.0,180.0,259.0,74.0,0.0,513.0,,,,,,
23,Hiltonia,Screven,0.0,,,,,,470.0,132.0,267.0,71.0,0.0,470.0,,,,,,
18,Hunters,Screven,0.0,,,,,,282.0,99.0,122.0,54.0,7.0,282.0,,,,,,
21,Rocky Ford,Screven,0.0,,,,,,335.0,111.0,158.0,66.0,0.0,335.0,,,,,,
20,Jenk Hill Fire Sta,Screven,0.0,,,,,,594.0,145.0,335.0,113.0,1.0,594.0,,,,,,
19,Newington,Screven,0.0,,,,,,584.0,240.0,264.0,80.0,0.0,584.0,,,,,,
17,Sylvania,Screven,0.0,,,,,,648.0,105.0,361.0,181.0,1.0,648.0,,,,,,
22,Bay Branch,Screven,0.0,,,,,,596.0,192.0,329.0,74.0,1.0,596.0,,,,,,
35,District IV,Tattnall,2497.0,,,,,,1414.0,,,,,,329.0,860.0,225.0,0.0,1414.0,56.6
29,Cobbtown,Tattnall,761.0,,,,,,462.0,,,,,,212.0,171.0,79.0,0.0,462.0,60.7
30,Shiloh,Tattnall,1111.0,,,,,,449.0,,,,,,104.0,276.0,69.0,0.0,449.0,40.4
31,Collins,Tattnall,1482.0,,,,,,831.0,,,,,,194.0,513.0,124.0,0.0,831.0,56.1
32,Manassas,Tattnall,265.0,,,,,,156.0,,,,,,76.0,67.0,13.0,0.0,156.0,58.9
33,District II,Tattnall,2500.0,,,,,,1288.0,,,,,,252.0,868.0,168.0,0.0,1288.0,51.5
34,East Glennville,Tattnall,2506.0,,,,,,1505.0,,,,,,319.0,904.0,282.0,0.0,1505.0,60.1
36,District V,Tattnall,1062.0,,,,,,612.0,,,,,,196.0,338.0,78.0,0.0,612.0,57.6
