Precinct,County,Registered Voters,Shannon Wallace (I) (Rep)_Election Day Votes,Shannon Wallace (I) (Rep)_Advanced Voting Votes,Shannon Wallace (I) (Rep)_Absentee by Mail Votes,Shannon Wallace (I) (Rep)_Provisional Votes,Shannon Wallace (I) (Rep)_Choice Total,Total,
Air Acres,Cherokee,3050,503,913,464,2,1882,1882,
Arnold Mill,Cherokee,4884,868,1671,735,0,3274,3274,
Avery,Cherokee,3592,492,1515,565,0,2572,2572,
Ball Ground,Cherokee,4065,551,1818,387,1,2757,2757,
Bascomb,Cherokee,4115,658,1358,518,0,2534,2534,
Bells,Cherokee,5906,785,1602,759,1,3147,3147,
Booth,Cherokee,3899,462,1455,601,0,2518,2518,
Bradshaw,Cherokee,4491,541,1859,717,0,3117,3117,
Bridgemill,Cherokee,5113,688,2068,706,0,3462,3462,
Canton,Cherokee,8213,762,2543,1333,0,4638,4638,
Carmel,Cherokee,4581,662,1102,587,3,2354,2354,
Clayton,Cherokee,4906,795,1828,662,1,3286,3286,
Conns Creek,Cherokee,895,265,289,72,0,626,626,
Deer Run,Cherokee,3035,650,836,397,1,1884,1884,
Dixie,Cherokee,5733,707,1649,783,0,3139,3139,
Freehome,Cherokee,5790,761,2372,907,0,4040,4040,
Hickory Flat,Cherokee,7334,857,2958,1001,1,4817,4817,
Hightower,Cherokee,3483,510,1497,459,0,2466,2466,
Hillside,Cherokee,3155,410,1230,482,0,2122,2122,
Holly Springs,Cherokee,3262,516,1008,345,1,1870,1870,
Kellogg,Cherokee,5482,883,1509,627,2,3021,3021,
Liberty,Cherokee,8350,938,2898,1053,0,4889,4889,
Little River,Cherokee,7480,782,2290,1492,1,4565,4565,
Macedonia,Cherokee,4853,702,2053,705,0,3460,3460,
Mountain Road,Cherokee,3078,624,1019,422,1,2066,2066,
Neese,Cherokee,7642,904,2301,1140,1,4346,4346,
Oak Grove,Cherokee,3749,641,1028,493,0,2162,2162,
R M Moore,Cherokee,3468,691,1241,418,0,2350,2350,
R T Jones,Cherokee,2525,239,790,249,1,1279,1279,
Rosecreek,Cherokee,3748,572,1347,508,0,2427,2427,
Salacoa,Cherokee,727,273,131,67,0,471,471,
Sixes,Cherokee,3101,465,1120,487,0,2072,2072,
Sutallee,Cherokee,2540,731,810,284,1,1826,1826,
Teasley,Cherokee,7981,1244,2953,951,0,5148,5148,
Toonigh,Cherokee,6641,789,2507,877,0,4173,4173,
Union Hill,Cherokee,4207,858,1541,607,2,3008,3008,
Univeter,Cherokee,5434,625,2208,680,0,3513,3513,
Victoria,Cherokee,3132,615,1001,354,0,1970,1970,
Waleska,Cherokee,2875,595,826,466,0,1887,1887,
Wildcat,Cherokee,3215,565,1142,319,0,2026,2026,
Woodlands,Cherokee,3456,753,851,486,0,2090,2090,
Woodstock,Cherokee,7345,827,2211,943,2,3983,3983,
