Precinct,County,Registered Voters,Randy McGinley (Rep)_Election Day Votes,Randy McGinley (Rep)_Advanced Voting Votes,Randy McGinley (Rep)_Absentee by Mail Votes,Randy McGinley (Rep)_Provisional Votes,Randy McGinley (Rep)_Choice Total,Destiny Bryant (Dem)_Election Day Votes,Destiny Bryant (Dem)_Advanced Voting Votes,Destiny Bryant (Dem)_Absentee by Mail Votes,Destiny Bryant (Dem)_Provisional Votes,Destiny Bryant (Dem)_Choice Total,Total,
Bold Springs,Walton,4653,684,1783,545,2,3014,115,293,258,0,666,3680,
Whatley,Walton,1254,245,501,138,0,884,24,48,41,0,113,997,
Walker Park,Walton,3858,517,1421,399,0,2337,97,210,171,0,478,2815,
Gratis,Walton,1243,329,447,137,0,913,19,33,54,0,106,1019,
Between,Walton,4925,548,2103,497,1,3149,105,367,245,0,717,3866,
Walnut Grove,Walton,2661,500,916,208,0,1624,37,146,98,0,281,1905,
Loganville North,Walton,5225,502,1554,475,4,2535,144,521,309,0,974,3509,
Social Circle,Walton,4604,711,1293,333,3,2340,228,375,306,1,910,3250,
South Monroe,Walton,3910,267,1204,331,0,1802,102,401,204,0,707,2509,
North Monroe,Walton,4818,289,773,241,1,1304,300,685,491,3,1479,2783,
Loganville South,Walton,3768,329,1094,388,0,1811,164,385,246,0,795,2606,
West Walton,Walton,4219,553,1582,441,0,2576,101,355,203,0,659,3235,
Broken Arrow,Walton,4380,567,1652,398,0,2617,74,286,211,0,571,3188,
Bay Creek,Walton,3401,346,1383,349,1,2079,59,248,162,0,469,2548,
E Monroe,Walton,4119,332,814,218,1,1365,220,447,241,4,912,2277,
W Monroe,Walton,2027,241,848,212,0,1301,44,151,90,0,285,1586,
Tara,Walton,4050,271,1056,287,1,1615,164,815,364,2,1345,2960,
Mountain,Walton,1657,276,585,163,0,1024,43,83,50,0,176,1200,
Jersey,Walton,1970,652,584,172,1,1409,40,68,48,0,156,1565,
Blasingame,Walton,1115,396,316,98,0,810,31,35,34,1,101,911,
Good Hope,Walton,2149,631,635,159,0,1425,48,102,73,0,223,1648,
