Precinct,County,Registered Voters,Brian C. Robinson (Rep)_Election Day Votes,Brian C. Robinson (Rep)_Advanced Voting Votes,Brian C. Robinson (Rep)_Absentee by Mail Votes,Brian C. Robinson (Rep)_Provisional Votes,Brian C. Robinson (Rep)_Choice Total,Total,
Chauncey,Dodge,412,155,67,30,0,252,252,
Clark,Dodge,111,47,18,4,0,69,69,
Eddin,Dodge,1037,222,319,91,0,632,632,
Empire,Dodge,456,151,113,30,0,294,294,
Jaybird,Dodge,212,71,31,14,1,117,117,
Jones,Dodge,436,124,129,26,0,279,279,
Lee,Dodge,4816,494,1568,437,3,2502,2502,
McCranie,Dodge,293,101,67,21,0,189,189,
Milan,Dodge,332,111,64,22,0,197,197,
Mitchell,Dodge,333,110,91,16,1,218,218,
Mullis,Dodge,505,187,67,53,0,307,307,
Plainfield,Dodge,454,150,123,36,0,309,309,
Pondtown,Dodge,689,206,144,62,0,412,412,
Rawlins,Dodge,923,193,289,78,0,560,560,
Vilula,Dodge,170,69,31,7,0,107,107,
Yonker,Dodge,260,113,42,18,0,173,173,
