Precinct,County,Registered Voters,Donald W. Cleveland (I) (Dem)_Election Day Votes,Donald W. Cleveland (I) (Dem)_Advanced Voting Votes,Donald W. Cleveland (I) (Dem)_Absentee by Mail Votes,Donald W. Cleveland (I) (Dem)_Provisional Votes,Donald W. Cleveland (I) (Dem)_Choice Total,Total,
Locust Grove,Henry,6978,506,2619,1020,3,4148,4148,
Tussahaw,Henry,3409,388,926,284,0,1598,1598,
Sandy Ridge,Henry,4875,539,1564,417,4,2524,2524,
Westside,Henry,6971,617,1811,1009,7,3444,3444,
Lowes,Henry,9878,724,3369,1606,7,5706,5706,
South Hampton,Henry,5476,408,1955,672,2,3037,3037,
North Hampton,Henry,7156,487,2552,996,2,4037,4037,
Mt Carmel,Henry,5335,352,2231,958,1,3542,3542,
Red Oak,Henry,5610,387,2356,916,1,3660,3660,
Wesley Lakes,Henry,6144,486,2328,926,4,3744,3744,
McDonough,Henry,2838,230,1007,458,4,1699,1699,
McMullen,Henry,3719,402,1228,406,0,2036,2036,
East Lake,Henry,3389,248,1212,443,0,1903,1903,
Hickory Flat,Henry,5122,376,1993,819,1,3189,3189,
Stockbridge East-West,Henry,6541,441,2331,1178,5,3955,3955,
Stagecoach,Henry,3546,255,1178,448,1,1882,1882,
Cotton Indian,Henry,4785,296,1727,548,4,2575,2575,
Pleasant Grove,Henry,4135,208,1487,557,5,2257,2257,
Austin Road,Henry,3374,176,1385,476,2,2039,2039,
Swan Lake,Henry,3642,246,1119,422,1,1788,1788,
Shakerag,Henry,4047,261,1724,694,1,2680,2680,
Ellenwood,Henry,4275,202,1846,799,1,2848,2848,
Unity Grove,Henry,4850,338,1586,489,2,2415,2415,
Shiloh,Henry,4077,382,1314,564,8,2268,2268,
Pates Creek,Henry,5214,258,1655,894,6,2813,2813,
Oakland,Henry,4508,330,1526,684,1,2541,2541,
Lake Dow,Henry,5049,397,1718,702,1,2818,2818,
Flippen,Henry,4430,253,1734,861,0,2848,2848,
Stockbridge Central,Henry,4416,314,1428,569,2,2313,2313,
Kelleytown,Henry,3452,325,1286,430,0,2041,2041,
Lighthouse,Henry,3693,238,1367,534,0,2139,2139,
Dutchtown,Henry,2751,197,846,425,2,1470,1470,
Mt Bethel,Henry,3535,536,1003,306,1,1846,1846,
Grove Park,Henry,4079,340,1255,429,2,2026,2026,
Lake Haven,Henry,4260,348,1500,535,1,2384,2384,
McDonough Central,Henry,4250,266,1501,663,0,2430,2430,
Timberridge,Henry,2096,224,751,259,1,1235,1235,
