,Precinct,County,Registered Voters,Elena Parent (I) (Dem)_Election Day Votes,Elena Parent (I) (Dem)_Advanced Voting Votes,Elena Parent (I) (Dem)_Absentee by Mail Votes,Elena Parent (I) (Dem)_Provisional Votes,Elena Parent (I) (Dem)_Choice Total,Total,calc_participation
0,Avondale,DeKalb,2906.0,278.0,902.0,720.0,1.0,1901.0,1901.0,65.4
26,Johnson Estates,DeKalb,1600.0,52.0,534.0,549.0,0.0,1135.0,1135.0,70.9
27,Knollwood,DeKalb,2546.0,260.0,663.0,462.0,6.0,1391.0,1391.0,54.6
28,Lakeside High,DeKalb,3216.0,212.0,1058.0,742.0,1.0,2013.0,2013.0,62.6
29,Lavista Road,DeKalb,2223.0,148.0,589.0,655.0,3.0,1395.0,1395.0,62.8
30,Lavista,DeKalb,3223.0,211.0,884.0,665.0,7.0,1767.0,1767.0,54.8
31,Lin-Mary Lin Elem,DeKalb,3009.0,135.0,1110.0,928.0,7.0,2180.0,2180.0,72.4
32,McNair,DeKalb,2794.0,1.0,6.0,2.0,1.0,10.0,10.0,0.4
33,McLendon,DeKalb,3607.0,149.0,716.0,616.0,5.0,1486.0,1486.0,41.2
34,Medlock,DeKalb,2208.0,151.0,702.0,691.0,2.0,1546.0,1546.0,70.0
35,Montclair Elem,DeKalb,2194.0,217.0,646.0,247.0,6.0,1116.0,1116.0,50.9
36,Midway,DeKalb,3139.0,181.0,738.0,615.0,4.0,1538.0,1538.0,49.0
37,Metropolitan,DeKalb,3405.0,175.0,1379.0,740.0,7.0,2301.0,2301.0,67.6
38,North Decatur,DeKalb,2166.0,116.0,632.0,527.0,12.0,1287.0,1287.0,59.4
39,Oak Grove Elem,DeKalb,2253.0,167.0,691.0,608.0,0.0,1466.0,1466.0,65.1
40,Oakhurst,DeKalb,2398.0,114.0,1053.0,726.0,2.0,1895.0,1895.0,79.0
41,Peachcrest,DeKalb,2458.0,177.0,614.0,440.0,2.0,1233.0,1233.0,50.2
42,Ponce de Leon,DeKalb,3766.0,116.0,907.0,853.0,11.0,1887.0,1887.0,50.1
43,Sagamore Hills Elem,DeKalb,2925.0,194.0,920.0,858.0,0.0,1972.0,1972.0,67.4
44,Scott,DeKalb,2805.0,118.0,828.0,894.0,1.0,1841.0,1841.0,65.6
45,Shamrock,DeKalb,1600.0,138.0,463.0,487.0,5.0,1093.0,1093.0,68.3
46,Wadsworth,DeKalb,3159.0,273.0,851.0,644.0,7.0,1775.0,1775.0,56.2
25,Harris-Margaret Harris ED,DeKalb,1462.0,127.0,498.0,320.0,4.0,949.0,949.0,64.9
47,Winnona Park,DeKalb,2020.0,53.0,888.0,582.0,2.0,1525.0,1525.0,75.5
24,Hawthorne Elem,DeKalb,3884.0,291.0,1215.0,709.0,4.0,2219.0,2219.0,57.1
22,Fernbank Elem,DeKalb,2125.0,125.0,718.0,765.0,2.0,1610.0,1610.0,75.8
1,Avondale High,DeKalb,3151.0,133.0,1165.0,936.0,4.0,2238.0,2238.0,71.0
2,Boulevard,DeKalb,4675.0,258.0,1876.0,1213.0,2.0,3349.0,3349.0,71.6
3,Briar Vista Elem,DeKalb,2965.0,191.0,861.0,848.0,1.0,1901.0,1901.0,64.1
4,Briarlake Elem,DeKalb,1752.0,130.0,541.0,461.0,1.0,1133.0,1133.0,64.7
5,Briarwood,DeKalb,2428.0,162.0,784.0,477.0,1.0,1424.0,1424.0,58.6
6,Briarcliff,DeKalb,3122.0,155.0,792.0,819.0,6.0,1772.0,1772.0,56.8
7,Brookhaven,DeKalb,3444.0,0.0,2.0,2.0,0.0,4.0,4.0,0.1
8,Clairemont West,DeKalb,3264.0,143.0,1213.0,1081.0,3.0,2440.0,2440.0,74.8
9,Clairmont Road,DeKalb,3223.0,188.0,902.0,940.0,6.0,2036.0,2036.0,63.2
10,Coan Recreation Center,DeKalb,4230.0,205.0,1602.0,912.0,3.0,2722.0,2722.0,64.3
11,Cross Keys High,DeKalb,2260.0,151.0,615.0,504.0,3.0,1273.0,1273.0,56.3
12,Candler,DeKalb,3537.0,240.0,1015.0,590.0,8.0,1853.0,1853.0,52.4
13,Clairemont East,DeKalb,3226.0,104.0,1155.0,1163.0,4.0,2426.0,2426.0,75.2
14,Coralwood,DeKalb,3153.0,148.0,1045.0,971.0,2.0,2166.0,2166.0,68.7
15,Candler Park,DeKalb,4018.0,118.0,1755.0,1304.0,1.0,3178.0,3178.0,79.1
16,Dresden Elem,DeKalb,5141.0,298.0,1132.0,723.0,4.0,2157.0,2157.0,42.0
17,Decatur,DeKalb,1937.0,84.0,900.0,496.0,0.0,1480.0,1480.0,76.4
18,Druid Hills High,DeKalb,2725.0,138.0,669.0,679.0,2.0,1488.0,1488.0,54.6
19,East Lake,DeKalb,4139.0,213.0,1402.0,856.0,5.0,2476.0,2476.0,59.8
20,Emory South,DeKalb,3241.0,193.0,1051.0,912.0,7.0,2163.0,2163.0,66.7
21,Emory Road,DeKalb,2290.0,127.0,650.0,435.0,6.0,1218.0,1218.0,53.2
23,Glennwood,DeKalb,2715.0,83.0,877.0,819.0,4.0,1783.0,1783.0,65.7
48,Woodward,DeKalb,3193.0,176.0,1001.0,812.0,2.0,1991.0,1991.0,62.4
