County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,calc_participation
Coffee,25114.0,2430.0,6811.0,881.0,8.0,10130.0,1007.0,2186.0,912.0,3.0,4108.0,95.0,162.0,57.0,1.0,315.0,14553.0,57.9
Colquitt,25054.0,4120.0,5964.0,1360.0,10.0,11454.0,999.0,1668.0,1080.0,2.0,3749.0,134.0,168.0,61.0,1.0,364.0,15567.0,62.1
Columbia,127380.0,13248.0,29806.0,7381.0,42.0,50477.0,4153.0,13021.0,8386.0,27.0,25587.0,1016.0,1409.0,608.0,3.0,3036.0,79100.0,62.1
Cook,10632.0,1099.0,3247.0,491.0,0.0,4837.0,483.0,928.0,475.0,0.0,1886.0,52.0,81.0,31.0,1.0,165.0,6888.0,64.8
Coweta,102110.0,17845.0,23533.0,9668.0,5.0,51051.0,4552.0,8539.0,8128.0,13.0,21232.0,1196.0,990.0,715.0,3.0,2904.0,75187.0,73.6
Crawford,8512.0,1104.0,2634.0,537.0,1.0,4276.0,237.0,757.0,492.0,1.0,1487.0,52.0,68.0,37.0,0.0,157.0,5920.0,69.5
Crisp,12554.0,946.0,3169.0,802.0,3.0,4920.0,505.0,1343.0,786.0,1.0,2635.0,53.0,99.0,46.0,0.0,198.0,7753.0,61.8
Dade,11660.0,1892.0,3206.0,609.0,6.0,5713.0,221.0,593.0,324.0,1.0,1139.0,95.0,127.0,38.0,0.0,260.0,7112.0,61.0
Dawson,21529.0,2265.0,8874.0,1981.0,3.0,13123.0,189.0,936.0,876.0,0.0,2001.0,150.0,328.0,109.0,1.0,588.0,15712.0,73.0
DeKalb,546711.0,11906.0,31921.0,18445.0,172.0,62444.0,31038.0,152553.0,102005.0,1126.0,286722.0,3056.0,6683.0,3930.0,80.0,13749.0,362915.0,66.4
Decatur,16618.0,1415.0,4319.0,810.0,5.0,6549.0,715.0,2299.0,1388.0,8.0,4410.0,80.0,132.0,70.0,0.0,282.0,11241.0,67.6
Dodge,11439.0,2216.0,2691.0,703.0,5.0,5615.0,498.0,906.0,519.0,0.0,1923.0,67.0,72.0,33.0,0.0,172.0,7710.0,67.4
Dooly,5949.0,437.0,1374.0,258.0,2.0,2071.0,421.0,873.0,447.0,2.0,1743.0,33.0,39.0,11.0,0.0,83.0,3897.0,65.5
Dougherty,61172.0,4190.0,3838.0,2406.0,21.0,10455.0,6821.0,8615.0,7615.0,75.0,23126.0,378.0,245.0,202.0,11.0,836.0,34417.0,56.3
Douglas,102540.0,4656.0,15051.0,5498.0,12.0,25217.0,5575.0,21649.0,13230.0,39.0,40493.0,662.0,1143.0,617.0,5.0,2427.0,68137.0,66.4
Early,7320.0,765.0,1487.0,410.0,3.0,2665.0,584.0,963.0,649.0,0.0,2196.0,29.0,46.0,14.0,0.0,89.0,4950.0,67.6
Echols,2156.0,214.0,901.0,122.0,0.0,1237.0,25.0,82.0,22.0,0.0,129.0,9.0,22.0,4.0,0.0,35.0,1401.0,65.0
Effingham,44273.0,7142.0,13143.0,2500.0,15.0,22800.0,1494.0,3235.0,2092.0,10.0,6831.0,451.0,469.0,215.0,2.0,1137.0,30768.0,69.5
Elbert,12305.0,1757.0,3335.0,955.0,0.0,6047.0,496.0,1154.0,1020.0,0.0,2670.0,67.0,100.0,52.0,0.0,219.0,8936.0,72.6
Emanuel,13715.0,2416.0,2993.0,879.0,1.0,6289.0,748.0,1105.0,732.0,0.0,2585.0,86.0,87.0,46.0,1.0,220.0,9094.0,66.3
Evans,6135.0,448.0,1861.0,490.0,0.0,2799.0,215.0,676.0,302.0,0.0,1193.0,21.0,58.0,25.0,0.0,104.0,4096.0,66.8
Fannin,20399.0,3914.0,5507.0,2192.0,20.0,11633.0,334.0,915.0,1003.0,0.0,2252.0,134.0,153.0,113.0,2.0,402.0,14287.0,70.0
Fayette,92307.0,6270.0,24351.0,7765.0,56.0,38442.0,2953.0,16492.0,9876.0,58.0,29379.0,609.0,1467.0,613.0,5.0,2694.0,70515.0,76.4
Floyd,60650.0,7562.0,16370.0,4462.0,110.0,28504.0,1890.0,5114.0,3503.0,36.0,10543.0,516.0,666.0,259.0,6.0,1447.0,40494.0,66.8
Forsyth,163984.0,9471.0,60672.0,15414.0,28.0,85585.0,2699.0,19595.0,13264.0,20.0,35578.0,919.0,3157.0,1194.0,3.0,5273.0,126436.0,77.1
Franklin,15146.0,2199.0,5241.0,1399.0,1.0,8840.0,304.0,564.0,550.0,1.0,1419.0,89.0,135.0,49.0,0.0,273.0,10532.0,69.5
Fulton,806451.0,19474.0,92745.0,34711.0,844.0,147774.0,34120.0,204763.0,102690.0,2226.0,343799.0,4069.0,11131.0,4840.0,283.0,20323.0,511896.0,63.5
Gilmer,22264.0,4135.0,6632.0,2145.0,11.0,12923.0,372.0,1052.0,1116.0,0.0,2540.0,176.0,194.0,117.0,1.0,488.0,15951.0,71.6
Glascock,2039.0,380.0,754.0,184.0,0.0,1318.0,38.0,54.0,54.0,0.0,146.0,10.0,8.0,3.0,0.0,21.0,1485.0,72.8
Glynn,61952.0,4514.0,16225.0,4432.0,30.0,25201.0,1890.0,7089.0,5153.0,19.0,14151.0,386.0,770.0,300.0,3.0,1459.0,40811.0,65.9
Gordon,36429.0,6611.0,9488.0,2472.0,9.0,18580.0,913.0,1703.0,1292.0,2.0,3910.0,280.0,304.0,130.0,2.0,716.0,23206.0,63.7
Grady,15442.0,1957.0,3807.0,1078.0,7.0,6849.0,575.0,1732.0,1030.0,9.0,3346.0,75.0,88.0,50.0,0.0,213.0,10408.0,67.4
Greene,14171.0,834.0,5013.0,1357.0,2.0,7206.0,521.0,1721.0,1337.0,8.0,3587.0,54.0,133.0,67.0,0.0,254.0,11047.0,78.0
Gwinnett,581467.0,33855.0,89529.0,42114.0,223.0,165721.0,32225.0,115533.0,73536.0,363.0,221657.0,4887.0,7843.0,4321.0,55.0,17106.0,404484.0,69.6
Habersham,28264.0,2497.0,10710.0,2853.0,18.0,16078.0,427.0,1488.0,1137.0,2.0,3054.0,180.0,381.0,156.0,2.0,719.0,19851.0,70.2
Hall,0.0,10636.0,40352.0,12206.0,44.0,63238.0,3278.0,10247.0,7895.0,21.0,21441.0,1036.0,1962.0,815.0,6.0,3819.0,88498.0,0.0
Hancock,5827.0,266.0,613.0,240.0,0.0,1119.0,577.0,1055.0,1157.0,3.0,2792.0,25.0,28.0,23.0,0.0,76.0,3987.0,68.4
Haralson,20667.0,4119.0,6013.0,1739.0,4.0,11875.0,341.0,666.0,600.0,0.0,1607.0,149.0,177.0,81.0,0.0,407.0,13889.0,67.2
Harris,25626.0,5487.0,6543.0,2152.0,14.0,14196.0,1090.0,1870.0,1814.0,4.0,4778.0,255.0,211.0,148.0,0.0,614.0,19588.0,76.4
Hart,16929.0,2232.0,5511.0,1424.0,2.0,9169.0,498.0,1300.0,996.0,2.0,2796.0,109.0,159.0,52.0,0.0,320.0,12285.0,72.6
Heard,7762.0,1569.0,2086.0,655.0,1.0,4311.0,163.0,305.0,273.0,1.0,742.0,42.0,70.0,36.0,0.0,148.0,5201.0,67.0
Henry,171905.0,7818.0,31315.0,8130.0,25.0,47288.0,7660.0,42096.0,19862.0,68.0,69686.0,887.0,2182.0,833.0,7.0,3909.0,120883.0,70.3
Houston,105315.0,11415.0,21539.0,8305.0,43.0,41302.0,5717.0,12905.0,10889.0,44.0,29555.0,917.0,961.0,665.0,6.0,2549.0,73406.0,69.7
Irwin,6113.0,621.0,2067.0,370.0,3.0,3061.0,213.0,477.0,233.0,1.0,924.0,27.0,36.0,15.0,0.0,78.0,4063.0,66.5
Jackson,51951.0,4786.0,19707.0,4396.0,6.0,28895.0,875.0,3304.0,2454.0,1.0,6634.0,332.0,695.0,279.0,0.0,1306.0,36835.0,70.9
Jasper,10432.0,1482.0,3397.0,810.0,11.0,5700.0,270.0,695.0,624.0,1.0,1590.0,63.0,80.0,45.0,1.0,189.0,7479.0,71.7
Jeff Davis,8478.0,1325.0,2597.0,513.0,0.0,4435.0,226.0,462.0,257.0,0.0,945.0,42.0,58.0,17.0,0.0,117.0,5497.0,64.8
Jefferson,11334.0,1046.0,1902.0,431.0,4.0,3383.0,984.0,1597.0,1195.0,7.0,3783.0,50.0,70.0,32.0,1.0,153.0,7319.0,64.6
Jenkins,5066.0,542.0,1204.0,339.0,3.0,2088.0,280.0,501.0,378.0,1.0,1160.0,24.0,30.0,16.0,0.0,70.0,3318.0,65.5
Johnson,5611.0,738.0,1675.0,316.0,0.0,2729.0,192.0,543.0,356.0,0.0,1091.0,25.0,46.0,16.0,0.0,87.0,3907.0,69.6
Jones,0.0,2912.0,5574.0,1290.0,5.0,9781.0,750.0,2150.0,1554.0,0.0,4454.0,129.0,177.0,77.0,1.0,384.0,14619.0,0.0
Lamar,12839.0,1679.0,3701.0,804.0,8.0,6192.0,441.0,1096.0,877.0,2.0,2416.0,92.0,119.0,44.0,0.0,255.0,8863.0,69.0
Lanier,5462.0,543.0,1859.0,297.0,0.0,2699.0,117.0,363.0,232.0,0.0,712.0,25.0,52.0,20.0,0.0,97.0,3508.0,64.2
Laurens,32880.0,5467.0,6319.0,2321.0,3.0,14110.0,1738.0,3195.0,2559.0,2.0,7494.0,171.0,194.0,120.0,0.0,485.0,22089.0,67.2
Lee,22897.0,2977.0,7655.0,1218.0,4.0,11854.0,775.0,2180.0,1128.0,2.0,4085.0,148.0,210.0,57.0,0.0,415.0,16354.0,71.4
Liberty,35582.0,1615.0,4740.0,1279.0,2.0,7636.0,1510.0,6689.0,4039.0,2.0,12240.0,242.0,414.0,208.0,2.0,866.0,20742.0,58.3
Lincoln,6176.0,868.0,1788.0,425.0,1.0,3082.0,244.0,488.0,590.0,2.0,1324.0,39.0,54.0,27.0,0.0,120.0,4526.0,73.3
Long,10470.0,1050.0,2015.0,279.0,8.0,3352.0,352.0,1061.0,467.0,8.0,1888.0,73.0,119.0,31.0,0.0,223.0,5463.0,52.2
Lowndes,75356.0,5336.0,16951.0,3585.0,170.0,26042.0,2516.0,9964.0,5347.0,245.0,18072.0,365.0,702.0,268.0,18.0,1353.0,45467.0,60.3
Lumpkin,22407.0,1926.0,7867.0,2013.0,1.0,11807.0,247.0,1327.0,1084.0,0.0,2658.0,166.0,383.0,114.0,0.0,663.0,15128.0,67.5
Macon,6991.0,321.0,1244.0,137.0,0.0,1702.0,634.0,1316.0,673.0,0.0,2623.0,25.0,38.0,13.0,0.0,76.0,4401.0,63.0
Madison,20720.0,3349.0,5888.0,1682.0,2.0,10921.0,637.0,1327.0,1088.0,1.0,3053.0,198.0,200.0,93.0,0.0,491.0,14465.0,69.8
Marion,4913.0,708.0,1175.0,297.0,0.0,2180.0,211.0,562.0,443.0,0.0,1216.0,34.0,40.0,24.0,0.0,98.0,3494.0,71.1
McDuffie,15033.0,816.0,4359.0,905.0,0.0,6080.0,551.0,1889.0,1437.0,0.0,3877.0,63.0,148.0,47.0,0.0,258.0,10215.0,68.0
McIntosh,9292.0,771.0,2291.0,810.0,1.0,3873.0,393.0,1192.0,784.0,0.0,2369.0,60.0,79.0,47.0,0.0,186.0,6428.0,69.2
Meriwether,15337.0,2113.0,3189.0,975.0,2.0,6279.0,1121.0,1513.0,1396.0,5.0,4035.0,101.0,112.0,48.0,0.0,261.0,10575.0,69.0
Miller,3912.0,487.0,1187.0,262.0,2.0,1938.0,153.0,311.0,193.0,0.0,657.0,16.0,25.0,14.0,0.0,55.0,2650.0,67.7
Mitchell,13474.0,1503.0,2646.0,685.0,2.0,4836.0,761.0,1548.0,1422.0,4.0,3735.0,48.0,70.0,37.0,1.0,156.0,8727.0,64.8
Monroe,21138.0,2975.0,6745.0,1066.0,6.0,10792.0,614.0,2056.0,1235.0,2.0,3907.0,158.0,253.0,85.0,0.0,496.0,15195.0,71.9
Montgomery,5463.0,1054.0,1445.0,342.0,0.0,2841.0,229.0,368.0,283.0,0.0,880.0,33.0,46.0,9.0,0.0,88.0,3809.0,69.7
Morgan,14824.0,1828.0,5375.0,945.0,2.0,8150.0,435.0,1595.0,953.0,1.0,2984.0,106.0,168.0,63.0,2.0,339.0,11473.0,77.4
Murray,22284.0,3664.0,7282.0,1309.0,0.0,12255.0,465.0,944.0,616.0,0.0,2025.0,127.0,207.0,69.0,0.0,403.0,14683.0,65.9
Muscogee,130878.0,6284.0,16971.0,6701.0,18.0,29974.0,5976.0,23483.0,16217.0,25.0,45701.0,780.0,1360.0,775.0,5.0,2920.0,78595.0,60.1
Newton,78994.0,10525.0,7902.0,4843.0,16.0,23286.0,6372.0,12054.0,9997.0,21.0,28444.0,737.0,474.0,399.0,1.0,1611.0,53341.0,67.5
Oconee,30071.0,2665.0,11515.0,2921.0,1.0,17102.0,552.0,3631.0,2537.0,2.0,6722.0,224.0,520.0,196.0,1.0,941.0,24765.0,82.4
Oglethorpe,10844.0,1012.0,3459.0,936.0,2.0,5409.0,366.0,1047.0,791.0,1.0,2205.0,73.0,153.0,64.0,0.0,290.0,7904.0,72.9
Paulding,114945.0,9286.0,34356.0,9424.0,55.0,53121.0,3306.0,14174.0,9667.0,34.0,27181.0,876.0,1746.0,788.0,2.0,3412.0,83714.0,72.8
Peach,17996.0,918.0,4632.0,832.0,10.0,6392.0,745.0,3137.0,1623.0,3.0,5508.0,72.0,166.0,49.0,3.0,290.0,12190.0,67.7
Pickens,23766.0,5729.0,6074.0,1792.0,8.0,13603.0,533.0,913.0,955.0,0.0,2401.0,258.0,217.0,109.0,0.0,584.0,16588.0,69.8
Pierce,12717.0,1170.0,5543.0,913.0,0.0,7626.0,108.0,543.0,303.0,0.0,954.0,33.0,104.0,43.0,0.0,180.0,8760.0,68.9
Pike,0.0,2274.0,5715.0,907.0,3.0,8899.0,230.0,617.0,483.0,1.0,1331.0,82.0,155.0,43.0,0.0,280.0,10510.0,0.0
Polk,24189.0,2708.0,8697.0,1643.0,13.0,13061.0,524.0,1784.0,982.0,3.0,3293.0,154.0,289.0,94.0,4.0,541.0,16895.0,69.8
Pulaski,5687.0,308.0,2104.0,307.0,1.0,2720.0,145.0,624.0,310.0,0.0,1079.0,25.0,42.0,18.0,0.0,85.0,3884.0,68.3
Putnam,16003.0,1491.0,4912.0,1776.0,0.0,8179.0,427.0,1361.0,1333.0,0.0,3121.0,72.0,133.0,84.0,0.0,289.0,11589.0,72.4
Quitman,1547.0,151.0,326.0,87.0,0.0,564.0,147.0,165.0,126.0,1.0,439.0,7.0,14.0,6.0,0.0,27.0,1030.0,66.6
Rabun,13072.0,1145.0,4458.0,1649.0,0.0,7252.0,155.0,763.0,777.0,0.0,1695.0,70.0,150.0,92.0,0.0,312.0,9259.0,70.8
Randolph,4341.0,295.0,823.0,209.0,0.0,1327.0,379.0,753.0,442.0,3.0,1577.0,17.0,26.0,5.0,0.0,48.0,2952.0,68.0
Richmond,134749.0,8332.0,11937.0,6479.0,25.0,26773.0,10900.0,24174.0,20021.0,140.0,55235.0,1044.0,1144.0,790.0,14.0,2992.0,85000.0,63.1
Rockdale,65505.0,2359.0,7311.0,3015.0,13.0,12698.0,3372.0,17494.0,8956.0,22.0,29844.0,356.0,725.0,330.0,1.0,1412.0,43954.0,67.1
Schley,2882.0,295.0,1292.0,155.0,1.0,1743.0,60.0,214.0,140.0,0.0,414.0,8.0,20.0,7.0,0.0,35.0,2192.0,76.1
Screven,0.0,1232.0,2063.0,502.0,9.0,3806.0,554.0,1163.0,740.0,7.0,2464.0,38.0,58.0,23.0,2.0,121.0,6391.0,0.0
Seminole,5936.0,907.0,1352.0,265.0,0.0,2524.0,261.0,643.0,239.0,0.0,1143.0,26.0,23.0,15.0,0.0,64.0,3731.0,62.9
Spalding,45985.0,4995.0,8547.0,3383.0,499.0,17424.0,2369.0,4276.0,3923.0,323.0,10891.0,369.0,322.0,267.0,51.0,1009.0,29324.0,63.8
Stephens,0.0,1164.0,6584.0,1352.0,3.0,9103.0,265.0,1110.0,672.0,0.0,2047.0,80.0,207.0,75.0,0.0,362.0,11512.0,0.0
Stewart,2893.0,197.0,429.0,104.0,5.0,735.0,248.0,430.0,351.0,7.0,1036.0,20.0,15.0,4.0,0.0,39.0,1810.0,62.6
Sumter,17800.0,1464.0,3309.0,831.0,12.0,5616.0,1096.0,2989.0,1929.0,7.0,6021.0,63.0,94.0,55.0,0.0,212.0,11849.0,66.6
Talbot,4563.0,447.0,658.0,231.0,1.0,1337.0,501.0,584.0,875.0,0.0,1960.0,37.0,24.0,30.0,0.0,91.0,3388.0,74.2
Taliaferro,1245.0,95.0,191.0,55.0,0.0,341.0,88.0,198.0,214.0,0.0,500.0,4.0,8.0,4.0,0.0,16.0,857.0,68.8
Tattnall,12184.0,1471.0,3543.0,802.0,0.0,5816.0,373.0,973.0,490.0,0.0,1836.0,59.0,93.0,40.0,0.0,192.0,7844.0,64.4
Taylor,5400.0,330.0,1707.0,290.0,12.0,2339.0,258.0,562.0,447.0,3.0,1270.0,19.0,52.0,13.0,0.0,84.0,3693.0,68.4
Telfair,6032.0,865.0,1406.0,341.0,2.0,2614.0,296.0,516.0,592.0,6.0,1410.0,30.0,25.0,16.0,1.0,72.0,4096.0,67.9
Terrell,6594.0,654.0,1056.0,261.0,0.0,1971.0,519.0,904.0,816.0,0.0,2239.0,36.0,26.0,17.0,0.0,79.0,4289.0,65.0
Thomas,30028.0,2622.0,8499.0,1698.0,1.0,12820.0,1306.0,4347.0,2195.0,4.0,7852.0,165.0,275.0,89.0,0.0,529.0,21201.0,70.6
Tift,24449.0,2678.0,6808.0,1254.0,13.0,10753.0,950.0,2290.0,1287.0,13.0,4540.0,150.0,302.0,93.0,1.0,546.0,15839.0,64.8
Toombs,0.0,1721.0,4683.0,1197.0,5.0,7606.0,517.0,1164.0,974.0,4.0,2659.0,86.0,132.0,56.0,0.0,274.0,10539.0,0.0
Towns,10693.0,931.0,4030.0,1203.0,7.0,6171.0,107.0,634.0,635.0,1.0,1377.0,43.0,85.0,35.0,0.0,163.0,7711.0,72.1
Treutlen,0.0,380.0,1346.0,265.0,0.0,1991.0,108.0,457.0,268.0,0.0,833.0,20.0,27.0,20.0,0.0,67.0,2891.0,0.0
Troup,42964.0,4603.0,10419.0,2931.0,44.0,17997.0,2537.0,4828.0,3211.0,27.0,10603.0,270.0,374.0,159.0,4.0,807.0,29407.0,68.4
Turner,5582.0,355.0,1680.0,229.0,1.0,2265.0,311.0,719.0,274.0,1.0,1305.0,27.0,66.0,14.0,0.0,107.0,3677.0,65.9
Twiggs,6304.0,780.0,1163.0,296.0,0.0,2239.0,406.0,825.0,694.0,4.0,1929.0,40.0,37.0,25.0,0.0,102.0,4270.0,67.7
Union,19201.0,3221.0,6796.0,2198.0,10.0,12225.0,255.0,1056.0,1133.0,1.0,2445.0,121.0,177.0,114.0,0.0,412.0,15082.0,78.5
Upson,18175.0,1312.0,5912.0,1175.0,4.0,8403.0,595.0,1781.0,1444.0,0.0,3820.0,81.0,156.0,80.0,0.0,317.0,12540.0,69.0
Walker,42924.0,5305.0,13574.0,3498.0,7.0,22384.0,800.0,2210.0,1897.0,2.0,4909.0,380.0,512.0,203.0,0.0,1095.0,28388.0,66.1
Walton,70006.0,8935.0,22106.0,6022.0,12.0,37075.0,1897.0,5697.0,3816.0,11.0,11421.0,538.0,851.0,341.0,3.0,1733.0,50229.0,71.7
Ware,21994.0,2462.0,5731.0,1322.0,18.0,9533.0,518.0,1895.0,1480.0,23.0,3916.0,103.0,169.0,78.0,1.0,351.0,13800.0,62.7
Warren,3785.0,181.0,742.0,185.0,0.0,1108.0,281.0,587.0,508.0,0.0,1376.0,12.0,21.0,16.0,0.0,49.0,2533.0,66.9
Washington,12990.0,1368.0,2370.0,716.0,4.0,4458.0,990.0,1690.0,1687.0,5.0,4372.0,70.0,66.0,42.0,1.0,179.0,9009.0,69.4
Wayne,18104.0,2356.0,5908.0,1307.0,6.0,9577.0,419.0,1365.0,689.0,1.0,2474.0,99.0,156.0,55.0,0.0,310.0,12361.0,68.3
Webster,1705.0,132.0,458.0,118.0,0.0,708.0,123.0,255.0,221.0,0.0,599.0,5.0,2.0,5.0,0.0,12.0,1319.0,77.4
Wheeler,0.0,418.0,904.0,196.0,0.0,1518.0,191.0,274.0,181.0,0.0,646.0,12.0,27.0,9.0,0.0,48.0,2212.0,0.0
White,20622.0,3333.0,6499.0,2059.0,5.0,11896.0,303.0,906.0,862.0,0.0,2071.0,192.0,246.0,100.0,0.0,538.0,14505.0,70.3
Whitfield,54749.0,8498.0,12702.0,3529.0,44.0,24773.0,2366.0,4323.0,2472.0,13.0,9174.0,589.0,555.0,234.0,4.0,1382.0,35329.0,64.5
Wilcox,4661.0,700.0,1269.0,329.0,0.0,2298.0,268.0,336.0,200.0,0.0,804.0,21.0,25.0,11.0,0.0,57.0,3159.0,67.8
