,Precinct,County,Registered Voters,Johnny Crist (Rep)_Election Day Votes,Johnny Crist (Rep)_Advanced Voting Votes,Johnny Crist (Rep)_Absentee by Mail Votes,Johnny Crist (Rep)_Provisional Votes,Johnny Crist (Rep)_Choice Total,Jasmine Clark (I) (Dem)_Election Day Votes,Jasmine Clark (I) (Dem)_Advanced Voting Votes,Jasmine Clark (I) (Dem)_Absentee by Mail Votes,Jasmine Clark (I) (Dem)_Provisional Votes,Jasmine Clark (I) (Dem)_Choice Total,Total,calc_participation
0,BERKSHIRE A,Gwinnett,2555.0,176.0,243.0,121.0,0.0,540.0,255.0,417.0,322.0,0.0,994.0,1534.0,60.0
1,BERKSHIRE B,Gwinnett,5338.0,119.0,520.0,315.0,1.0,955.0,288.0,1384.0,865.0,3.0,2540.0,3495.0,65.5
2,GARNERS A,Gwinnett,3520.0,205.0,803.0,439.0,2.0,1449.0,139.0,700.0,446.0,0.0,1285.0,2734.0,77.7
3,CATES B,Gwinnett,1587.0,149.0,338.0,179.0,1.0,667.0,81.0,231.0,187.0,0.0,499.0,1166.0,73.5
4,BERKSHIRE D,Gwinnett,2945.0,143.0,512.0,310.0,1.0,966.0,122.0,600.0,510.0,0.0,1232.0,2198.0,74.6
5,BERKSHIRE E,Gwinnett,1997.0,169.0,458.0,210.0,0.0,837.0,76.0,354.0,282.0,1.0,713.0,1550.0,77.6
6,BERKSHIRE G,Gwinnett,2419.0,166.0,511.0,236.0,0.0,913.0,113.0,548.0,306.0,0.0,967.0,1880.0,77.7
7,BERKSHIRE J,Gwinnett,2731.0,162.0,593.0,285.0,0.0,1040.0,116.0,547.0,426.0,1.0,1090.0,2130.0,78.0
8,CATES O,Gwinnett,1434.0,159.0,240.0,146.0,3.0,548.0,99.0,255.0,199.0,2.0,555.0,1103.0,76.9
9,BERKSHIRE M,Gwinnett,1864.0,171.0,343.0,201.0,2.0,717.0,109.0,326.0,255.0,0.0,690.0,1407.0,75.5
10,BERKSHIRE N,Gwinnett,3128.0,115.0,770.0,366.0,0.0,1251.0,89.0,617.0,492.0,0.0,1198.0,2449.0,78.3
11,BERKSHIRE O,Gwinnett,2589.0,184.0,512.0,310.0,0.0,1006.0,127.0,439.0,364.0,2.0,932.0,1938.0,74.9
12,BERKSHIRE P,Gwinnett,1476.0,95.0,163.0,68.0,1.0,327.0,125.0,234.0,190.0,1.0,550.0,877.0,59.4
13,PINCKNEYVILLE Y,Gwinnett,3272.0,50.0,77.0,36.0,0.0,163.0,193.0,348.0,193.0,0.0,734.0,897.0,27.4
14,BERKSHIRE Q,Gwinnett,1802.0,167.0,310.0,177.0,1.0,655.0,104.0,289.0,229.0,1.0,623.0,1278.0,70.9
