Precinct,County,Registered Voters,Penny A. Penn (I) (Rep)_Election Day Votes,Penny A. Penn (I) (Rep)_Advanced Voting Votes,Penny A. Penn (I) (Rep)_Absentee by Mail Votes,Penny A. Penn (I) (Rep)_Provisional Votes,Penny A. Penn (I) (Rep)_Choice Total,Total,
01 Big Creek,Forsyth,11222,700,4605,1906,5,7216,7216,
02 Brandywine,Forsyth,4500,499,1275,609,2,2385,2385,
03 Browns Bridge,Forsyth,10740,914,4786,1337,3,7040,7040,
04 Chestatee,Forsyth,6776,635,3242,746,2,4625,4625,
05 Coal Mountain,Forsyth,7852,705,3674,814,1,5194,5194,
06 Crossroads,Forsyth,7061,584,3355,604,1,4544,4544,
07 Cumming,Forsyth,6281,425,2490,786,1,3702,3702,
08 Mashburn,Forsyth,8296,693,3721,1216,2,5632,5632,
10 Midway,Forsyth,11631,732,5864,1570,4,8170,8170,
15 Heardsville,Forsyth,8091,707,3922,959,0,5588,5588,
16 Otwell,Forsyth,6333,492,2812,906,3,4213,4213,
19 Old Atlanta,Forsyth,3739,229,1747,501,0,2477,2477,
21 South Forsyth,Forsyth,8318,372,4011,1294,3,5680,5680,
25 Windermere,Forsyth,9714,618,4489,1326,3,6436,6436,
27 Concord,Forsyth,9858,971,4931,974,3,6879,6879,
29 Polo,Forsyth,11222,838,4605,1792,0,7235,7235,
34 Fowler,Forsyth,4965,399,1981,700,1,3081,3081,
35 Johns Creek,Forsyth,8444,377,3435,1451,1,5264,5264,
36 Nichols,Forsyth,6989,429,3347,947,4,4727,4727,
37 Sawnee,Forsyth,11952,669,5790,1581,4,8044,8044,
