Precinct,County,Registered Voters,Rebecca (Becky) G. Crowe (I) (Rep)_Election Day Votes,Rebecca (Becky) G. Crowe (I) (Rep)_Advanced Voting Votes,Rebecca (Becky) G. Crowe (I) (Rep)_Absentee by Mail Votes,Rebecca (Becky) G. Crowe (I) (Rep)_Provisional Votes,Rebecca (Becky) G. Crowe (I) (Rep)_Choice Total,Total,
Pembroke,Bryan,2653,312,897,170,0,1379,1379,
Danielsiding,Bryan,2291,266,934,218,0,1418,1418,
Ellabell,Bryan,2341,406,874,156,1,1437,1437,
Black Creek,Bryan,2995,395,1013,193,1,1602,1602,
Ways Station,Bryan,1974,217,606,147,1,971,971,
RH Rec Complex,Bryan,3264,289,1060,247,1,1597,1597,
JF Gregory Park,Bryan,2885,176,1458,276,0,1910,1910,
Keller,Bryan,4270,379,1997,345,0,2721,2721,
Hwy 144 East,Bryan,5365,392,2300,515,1,3208,3208,
Public Safety Complex,Bryan,2570,268,813,175,1,1257,1257,
