Precinct,County,Registered Voters,Carter Infinger (I) (Rep)_Election Day Votes,Carter Infinger (I) (Rep)_Advanced Voting Votes,Carter Infinger (I) (Rep)_Absentee by Mail Votes,Carter Infinger (I) (Rep)_Provisional Votes,Carter Infinger (I) (Rep)_Choice Total,Total,
Pembroke,Bryan,2653,288,858,164,0,1310,1310,
Danielsiding,Bryan,2291,264,922,215,0,1401,1401,
Ellabell,Bryan,2341,406,857,155,1,1419,1419,
Black Creek,Bryan,2995,395,983,189,1,1568,1568,
Ways Station,Bryan,1974,218,603,143,1,965,965,
RH Rec Complex,Bryan,3264,290,1065,254,1,1610,1610,
JF Gregory Park,Bryan,2885,178,1445,274,0,1897,1897,
Keller,Bryan,4270,380,2004,359,0,2743,2743,
Hwy 144 East,Bryan,5365,394,2325,516,1,3236,3236,
Public Safety Complex,Bryan,2570,263,809,171,1,1244,1244,
