Precinct,County,Registered Voters,Tasha M. Mosley (I) (Dem)_Election Day Votes,Tasha M. Mosley (I) (Dem)_Advanced Voting Votes,Tasha M. Mosley (I) (Dem)_Absentee by Mail Votes,Tasha M. Mosley (I) (Dem)_Provisional Votes,Tasha M. Mosley (I) (Dem)_Choice Total,Total,
Ellenwood 1,Clayton,3020,234,1186,647,5,2072,2072,
Ellenwood 2,Clayton,3273,258,1327,596,4,2185,2185,
Forest Park 1,Clayton,3566,430,528,390,9,1357,1357,
Forest Park 2,Clayton,2821,326,574,390,11,1301,1301,
Forest Park 3,Clayton,2845,278,489,370,19,1156,1156,
Forest Park 4,Clayton,1783,195,403,205,0,803,803,
Forest Park 5,Clayton,3924,436,799,399,18,1652,1652,
Forest Park 6,Clayton,1463,134,360,154,4,652,652,
Jonesboro 1,Clayton,3244,299,973,608,6,1886,1886,
Jonesboro 2,Clayton,4345,397,1290,749,9,2445,2445,
Jonesboro 3,Clayton,4107,301,1269,814,8,2392,2392,
Jonesboro 4,Clayton,2574,235,551,280,6,1072,1072,
Jonesboro 5,Clayton,2064,264,569,330,0,1163,1163,
Jonesboro 6,Clayton,2574,166,700,585,3,1454,1454,
Jonesboro 7,Clayton,3174,295,964,526,6,1791,1791,
Jonesboro 8,Clayton,3947,447,1036,374,4,1861,1861,
Jonesboro 9,Clayton,1759,163,333,202,3,701,701,
Jonesboro 10,Clayton,3398,356,704,423,5,1488,1488,
Jonesboro 11,Clayton,3863,294,1226,762,2,2284,2284,
Jonesboro 12,Clayton,3067,326,861,428,14,1629,1629,
Jonesboro 13,Clayton,2140,256,688,379,4,1327,1327,
Jonesboro 14,Clayton,4116,304,1349,816,3,2472,2472,
Jonesboro 15,Clayton,2872,253,689,264,9,1215,1215,
Jonesboro 16,Clayton,2560,322,562,345,5,1234,1234,
Jonesboro 17,Clayton,3359,319,803,515,9,1646,1646,
Jonesboro 18,Clayton,3301,341,948,449,6,1744,1744,
Jonesboro 19,Clayton,3299,311,914,518,12,1755,1755,
Lake City,Clayton,3217,285,844,387,10,1526,1526,
Lovejoy 1,Clayton,4061,343,1430,647,2,2422,2422,
Lovejoy 2,Clayton,3611,261,1138,489,9,1897,1897,
Lovejoy 3,Clayton,1666,127,636,379,2,1144,1144,
Lovejoy 4,Clayton,4149,304,1590,638,4,2536,2536,
Lovejoy 5,Clayton,3451,317,1051,504,15,1887,1887,
Lovejoy 6,Clayton,3708,294,1276,619,8,2197,2197,
Lovejoy 7,Clayton,2779,253,825,224,6,1308,1308,
Morrow 1,Clayton,3328,419,764,372,2,1557,1557,
Morrow 2,Clayton,2081,141,540,275,3,959,959,
Morrow 3,Clayton,2407,189,627,378,5,1199,1199,
Morrow 4,Clayton,2112,215,504,282,3,1004,1004,
Morrow 5,Clayton,3056,290,1102,589,2,1983,1983,
Morrow 6,Clayton,3030,322,960,448,5,1735,1735,
Morrow 7,Clayton,2142,282,477,251,7,1017,1017,
Morrow 8,Clayton,3185,281,1132,546,10,1969,1969,
Morrow 9,Clayton,1509,133,418,222,1,774,774,
Morrow 10,Clayton,2342,176,840,290,3,1309,1309,
Morrow 11,Clayton,2295,248,686,291,2,1227,1227,
Oak 1,Clayton,2635,336,747,284,3,1370,1370,
Oak 2,Clayton,1974,244,422,221,9,896,896,
Oak 3,Clayton,2731,325,685,378,5,1393,1393,
Oak 4,Clayton,4233,456,1132,489,8,2085,2085,
Oak 5,Clayton,1795,182,401,85,4,672,672,
Panhandle 1,Clayton,2895,253,1080,599,2,1934,1934,
Panhandle 2,Clayton,3382,313,1251,518,5,2087,2087,
Riverdale 1,Clayton,2330,183,851,435,8,1477,1477,
Riverdale 2,Clayton,3431,322,923,551,26,1822,1822,
Riverdale 3,Clayton,3650,350,1121,614,7,2092,2092,
Riverdale 4,Clayton,4362,452,1005,657,8,2122,2122,
Riverdale 5,Clayton,2970,324,831,438,11,1604,1604,
Riverdale 6,Clayton,3661,381,693,402,10,1486,1486,
Riverdale 7,Clayton,3020,319,550,340,11,1220,1220,
Riverdale 8,Clayton,2895,258,925,617,5,1805,1805,
Riverdale 9,Clayton,2653,286,746,394,7,1433,1433,
Riverdale 10,Clayton,3176,338,684,294,9,1325,1325,
Riverdale 11,Clayton,1881,172,626,316,1,1115,1115,
Riverdale 12,Clayton,3065,318,920,531,3,1772,1772,
